Identificador,Nome Competição,Regata,Nome Competidor,Pontuação Regata (Nha),Classe Vela,Flag Name,Posição Geral,Pontuação Regata,Descarte,Punição,Flotilha,Total,Net,ID Competição
MAFALDA PIRES DE LIMA - Kite Fem. - World Championship 2024,World Championship 2024,Q3,MAFALDA PIRES DE LIMA,5.0-0-0,Kite Fem.,Silver,7,5.0,0,0,GERAL,223.0,223.0,
DERIN DENIZ SORGUC - Kite Fem. - World Championship 2024,World Championship 2024,Q3,DERIN DENIZ SORGUC,18.0-0-0,Kite Fem.,Silver,8,18.0,0,0,GERAL,226.0,226.0,
CATALINA TURIENZO - Kite Fem. - World Championship 2024,World Championship 2024,Q3,CATALINA TURIENZO,15.0-0-0,Kite Fem.,Silver,9,15.0,0,0,GERAL,266.0,266.0,
ANAIS MAI DESJARDINS - Kite Fem. - World Championship 2024,World Championship 2024,Q3,ANAIS MAI DESJARDINS,20.0-0-0,Kite Fem.,Silver,10,20.0,0,0,GERAL,272.0,272.0,
MARINA VODISEK - Kite Fem. - World Championship 2024,World Championship 2024,Q3,MARINA VODISEK,21.0-0-0,Kite Fem.,Silver,11,21.0,0,0,GERAL,305.0,305.0,
ELLA GEIGER - Kite Fem. - World Championship 2024,World Championship 2024,Q3,ELLA GEIGER,19.0-0-0,Kite Fem.,Silver,12,19.0,0,0,GERAL,309.0,309.0,
MARIA DO SOCORRO REIS - Kite Fem. - World Championship 2024,World Championship 2024,Q3,MARIA DO SOCORRO REIS,17.0-0-0,Kite Fem.,Silver,13,17.0,0,0,GERAL,333.0,333.0,
MARIE EVE MAYRAND - Kite Fem. - World Championship 2024,World Championship 2024,Q3,MARIE EVE MAYRAND,27.0-0-DNC,Kite Fem.,Silver,14,27.0,0,DNC,GERAL,321.0,321.0,
LUCY BILGER - Kite Fem. - World Championship 2024,World Championship 2024,Q3,LUCY BILGER,22.0-0-0,Kite Fem.,Silver,15,22.0,0,0,GERAL,332.0,332.0,
ADELAIDA MARQUENIE ROCA - Kite Fem. - World Championship 2024,World Championship 2024,Q3,ADELAIDA MARQUENIE ROCA,16.0-0-0,Kite Fem.,Silver,16,16.0,0,0,GERAL,344.0,344.0,
EMILY BUGEJA - Kite Fem. - World Championship 2024,World Championship 2024,Q3,EMILY BUGEJA,21.0-0-0,Kite Fem.,Silver,17,21.0,0,0,GERAL,382.0,382.0,
EMMA RENNIE - Kite Fem. - World Championship 2024,World Championship 2024,Q3,EMMA RENNIE,27.0-0-DNC,Kite Fem.,Silver,18,27.0,0,DNC,GERAL,376.0,376.0,
CARMEN VERDEYEN - Kite Fem. - World Championship 2024,World Championship 2024,Q3,CARMEN VERDEYEN,27.0-0-DNC,Kite Fem.,Silver,19,27.0,0,DNC,GERAL,382.0,382.0,
BENYAPA JANTAWAN - Kite Fem. - World Championship 2024,World Championship 2024,Q3,BENYAPA JANTAWAN,19.0-0-0,Kite Fem.,Silver,20,19.0,0,0,GERAL,393.0,393.0,
MARIJA DOLENC - Kite Fem. - World Championship 2024,World Championship 2024,Q3,MARIJA DOLENC,20.0-0-0,Kite Fem.,Silver,21,20.0,0,0,GERAL,413.0,413.0,
AIJA AMBRASA - Kite Fem. - World Championship 2024,World Championship 2024,Q3,AIJA AMBRASA,22.0-0-0,Kite Fem.,Silver,22,22.0,0,0,GERAL,412.0,412.0,
SOPHIE RENNIE - Kite Fem. - World Championship 2024,World Championship 2024,Q3,SOPHIE RENNIE,23.0-0-0,Kite Fem.,Silver,23,23.0,0,0,GERAL,412.0,412.0,
EMILIA KOSTI - Kite Fem. - World Championship 2024,World Championship 2024,Q3,EMILIA KOSTI,27.0-0-DNC,Kite Fem.,Silver,24,27.0,0,DNC,GERAL,441.0,441.0,
MARTYNA DAKOWICZ - Kite Fem. - World Championship 2024,World Championship 2024,Q3,MARTYNA DAKOWICZ,27.0-0-DNC,Kite Fem.,Silver,25,27.0,0,DNC,GERAL,450.0,450.0,
MAGDALENA WOYCIECHOWSKA - Kite Fem. - World Championship 2024,World Championship 2024,Q3,MAGDALENA WOYCIECHOWSKA,27.0-0-DNC,Kite Fem.,Silver,26,27.0,0,DNC,GERAL,513.0,513.0,
DERIN ATAKAN - Kite Fem. - World Championship 2024,World Championship 2024,Q4,DERIN ATAKAN,19.0-0-0,Kite Fem.,Silver,1,19.0,0,0,GERAL,162.0,162.0,
HELOISE PEGOURIE - Kite Fem. - World Championship 2024,World Championship 2024,Q4,HELOISE PEGOURIE,13.0-0-0,Kite Fem.,Silver,2,13.0,0,0,GERAL,165.0,165.0,
ZOE BOUTANG - Kite Fem. - World Championship 2024,World Championship 2024,Q4,ZOE BOUTANG,20.0-0-0,Kite Fem.,Silver,3,20.0,0,0,GERAL,189.0,189.0,
JUSTINA KITCHEN - Kite Fem. - World Championship 2024,World Championship 2024,Q4,JUSTINA KITCHEN,15.0-0-0,Kite Fem.,Silver,4,15.0,0,0,GERAL,207.0,207.0,
ALEXIA FANCELLI - Kite Fem. - World Championship 2024,World Championship 2024,Q4,ALEXIA FANCELLI,14.0-0-0,Kite Fem.,Silver,5,14.0,0,0,GERAL,204.0,204.0,
NOORA RUSKOLA - Kite Fem. - World Championship 2024,World Championship 2024,Q4,NOORA RUSKOLA,15.0-0-0,Kite Fem.,Silver,6,15.0,0,0,GERAL,204.0,204.0,
MAFALDA PIRES DE LIMA - Kite Fem. - World Championship 2024,World Championship 2024,Q4,MAFALDA PIRES DE LIMA,14.0-0-0,Kite Fem.,Silver,7,14.0,0,0,GERAL,223.0,223.0,
DERIN DENIZ SORGUC - Kite Fem. - World Championship 2024,World Championship 2024,Q4,DERIN DENIZ SORGUC,12.0-0-0,Kite Fem.,Silver,8,12.0,0,0,GERAL,226.0,226.0,
CATALINA TURIENZO - Kite Fem. - World Championship 2024,World Championship 2024,Q4,CATALINA TURIENZO,27.0-0-UFD,Kite Fem.,Silver,9,27.0,0,UFD,GERAL,266.0,266.0,
ANAIS MAI DESJARDINS - Kite Fem. - World Championship 2024,World Championship 2024,Q4,ANAIS MAI DESJARDINS,16.0-0-0,Kite Fem.,Silver,10,16.0,0,0,GERAL,272.0,272.0,
MARINA VODISEK - Kite Fem. - World Championship 2024,World Championship 2024,Q4,MARINA VODISEK,21.0-0-0,Kite Fem.,Silver,11,21.0,0,0,GERAL,305.0,305.0,
ELLA GEIGER - Kite Fem. - World Championship 2024,World Championship 2024,Q4,ELLA GEIGER,17.0-0-0,Kite Fem.,Silver,12,17.0,0,0,GERAL,309.0,309.0,
MARIA DO SOCORRO REIS - Kite Fem. - World Championship 2024,World Championship 2024,Q4,MARIA DO SOCORRO REIS,27.0-0-UFD,Kite Fem.,Silver,13,27.0,0,UFD,GERAL,333.0,333.0,
MARIE EVE MAYRAND - Kite Fem. - World Championship 2024,World Championship 2024,Q4,MARIE EVE MAYRAND,17.0-0-0,Kite Fem.,Silver,14,17.0,0,0,GERAL,321.0,321.0,
LUCY BILGER - Kite Fem. - World Championship 2024,World Championship 2024,Q4,LUCY BILGER,16.0-0-0,Kite Fem.,Silver,15,16.0,0,0,GERAL,332.0,332.0,
ADELAIDA MARQUENIE ROCA - Kite Fem. - World Championship 2024,World Championship 2024,Q4,ADELAIDA MARQUENIE ROCA,22.0-0-0,Kite Fem.,Silver,16,22.0,0,0,GERAL,344.0,344.0,
EMILY BUGEJA - Kite Fem. - World Championship 2024,World Championship 2024,Q4,EMILY BUGEJA,19.0-0-0,Kite Fem.,Silver,17,19.0,0,0,GERAL,382.0,382.0,
EMMA RENNIE - Kite Fem. - World Championship 2024,World Championship 2024,Q4,EMMA RENNIE,21.0-0-0,Kite Fem.,Silver,18,21.0,0,0,GERAL,376.0,376.0,
CARMEN VERDEYEN - Kite Fem. - World Championship 2024,World Championship 2024,Q4,CARMEN VERDEYEN,20.0-0-0,Kite Fem.,Silver,19,20.0,0,0,GERAL,382.0,382.0,
BENYAPA JANTAWAN - Kite Fem. - World Championship 2024,World Championship 2024,Q4,BENYAPA JANTAWAN,18.0-0-0,Kite Fem.,Silver,20,18.0,0,0,GERAL,393.0,393.0,
MARIJA DOLENC - Kite Fem. - World Championship 2024,World Championship 2024,Q4,MARIJA DOLENC,18.0-0-0,Kite Fem.,Silver,21,18.0,0,0,GERAL,413.0,413.0,
AIJA AMBRASA - Kite Fem. - World Championship 2024,World Championship 2024,Q4,AIJA AMBRASA,22.0-0-0,Kite Fem.,Silver,22,22.0,0,0,GERAL,412.0,412.0,
