,Position,Athlete,Nacionalidade,Regata,Pontuação Regata,Total,Net,Classe Vela,Nome Competição
158,8,"WENNEKES, SARA / SEVERNE,",NED,19F,16.0,152,99,IQFOIL FEM.,European Championship 2023
159,8,"WENNEKES, SARA / SEVERNE,",NED,MR,8.0,152,99,IQFOIL FEM.,European Championship 2023
160,9,"DE GEUS , LILIAN / TEAM",NED,1Q,3,236,136,IQFOIL FEM.,European Championship 2023
161,9,"DE GEUS , LILIAN / TEAM",NED,2Q,DNE 46,236,136,IQFOIL FEM.,European Championship 2023
162,9,"DE GEUS , LILIAN / TEAM",NED,3Q,7,236,136,IQFOIL FEM.,European Championship 2023
163,9,"DE GEUS , LILIAN / TEAM",NED,4Q,6,236,136,IQFOIL FEM.,European Championship 2023
164,9,"DE GEUS , LILIAN / TEAM",NED,5Q,5,236,136,IQFOIL FEM.,European Championship 2023
165,9,"DE GEUS , LILIAN / TEAM",NED,6Q,-9,236,136,IQFOIL FEM.,European Championship 2023
166,9,"DE GEUS , LILIAN / TEAM",NED,7Q,BFD (46),236,136,IQFOIL FEM.,European Championship 2023
167,9,"DE GEUS , LILIAN / TEAM",NED,8Q,5,236,136,IQFOIL FEM.,European Championship 2023
168,9,"DE GEUS , LILIAN / TEAM",NED,9F,11,236,136,IQFOIL FEM.,European Championship 2023
169,9,"DE GEUS , LILIAN / TEAM",NED,10F,11,236,136,IQFOIL FEM.,European Championship 2023
170,9,"DE GEUS , LILIAN / TEAM",NED,11F,RDG 9,236,136,IQFOIL FEM.,European Championship 2023
171,9,"DE GEUS , LILIAN / TEAM",NED,12F,5,236,136,IQFOIL FEM.,European Championship 2023
172,9,"DE GEUS , LILIAN / TEAM",NED,13F,7,236,136,IQFOIL FEM.,European Championship 2023
173,9,"DE GEUS , LILIAN / TEAM",NED,14F,5,236,136,IQFOIL FEM.,European Championship 2023
174,9,"DE GEUS , LILIAN / TEAM",NED,15F,7,236,136,IQFOIL FEM.,European Championship 2023
175,9,"DE GEUS , LILIAN / TEAM",NED,16F,3,236,136,IQFOIL FEM.,European Championship 2023
176,9,"DE GEUS , LILIAN / TEAM",NED,17F,-22,236,136,IQFOIL FEM.,European Championship 2023
177,9,"DE GEUS , LILIAN / TEAM",NED,18F,6,236,136,IQFOIL FEM.,European Championship 2023
178,9,"DE GEUS , LILIAN / TEAM",NED,19F,-23.0,236,136,IQFOIL FEM.,European Championship 2023
179,9,"DE GEUS , LILIAN / TEAM",NED,MR,9.0,236,136,IQFOIL FEM.,European Championship 2023
180,10,"SPYCHAKOV, KATY / ELDAN",ISR,1Q,4,248,117,IQFOIL FEM.,European Championship 2023
181,10,"SPYCHAKOV, KATY / ELDAN",ISR,2Q,8,248,117,IQFOIL FEM.,European Championship 2023
182,10,"SPYCHAKOV, KATY / ELDAN",ISR,3Q,5,248,117,IQFOIL FEM.,European Championship 2023
183,10,"SPYCHAKOV, KATY / ELDAN",ISR,4Q,DSQ (46),248,117,IQFOIL FEM.,European Championship 2023
184,10,"SPYCHAKOV, KATY / ELDAN",ISR,5Q,-19,248,117,IQFOIL FEM.,European Championship 2023
185,10,"SPYCHAKOV, KATY / ELDAN",ISR,6Q,11,248,117,IQFOIL FEM.,European Championship 2023
186,10,"SPYCHAKOV, KATY / ELDAN",ISR,7Q,3,248,117,IQFOIL FEM.,European Championship 2023
187,10,"SPYCHAKOV, KATY / ELDAN",ISR,8Q,10,248,117,IQFOIL FEM.,European Championship 2023
188,10,"SPYCHAKOV, KATY / ELDAN",ISR,9F,RDG 10,248,117,IQFOIL FEM.,European Championship 2023
189,10,"SPYCHAKOV, KATY / ELDAN",ISR,10F,10,248,117,IQFOIL FEM.,European Championship 2023
190,10,"SPYCHAKOV, KATY / ELDAN",ISR,11F,14,248,117,IQFOIL FEM.,European Championship 2023
191,10,"SPYCHAKOV, KATY / ELDAN",ISR,12F,6,248,117,IQFOIL FEM.,European Championship 2023
192,10,"SPYCHAKOV, KATY / ELDAN",ISR,13F,1,248,117,IQFOIL FEM.,European Championship 2023
193,10,"SPYCHAKOV, KATY / ELDAN",ISR,14F,3,248,117,IQFOIL FEM.,European Championship 2023
194,10,"SPYCHAKOV, KATY / ELDAN",ISR,15F,DNC (47),248,117,IQFOIL FEM.,European Championship 2023
195,10,"SPYCHAKOV, KATY / ELDAN",ISR,16F,9,248,117,IQFOIL FEM.,European Championship 2023
196,10,"SPYCHAKOV, KATY / ELDAN",ISR,17F,15,248,117,IQFOIL FEM.,European Championship 2023
197,10,"SPYCHAKOV, KATY / ELDAN",ISR,18F,-19,248,117,IQFOIL FEM.,European Championship 2023
198,10,"SPYCHAKOV, KATY / ELDAN",ISR,19F,8.0,248,117,IQFOIL FEM.,European Championship 2023
199,10,"SPYCHAKOV, KATY / ELDAN",ISR,MR,10.0,248,117,IQFOIL FEM.,European Championship 2023
200,11,"COUSIN, DELPHINE / BLANCHET",FRA,1Q,7,252,137,IQFOIL FEM.,European Championship 2023
201,11,"COUSIN, DELPHINE / BLANCHET",FRA,2Q,7,252,137,IQFOIL FEM.,European Championship 2023
202,11,"COUSIN, DELPHINE / BLANCHET",FRA,3Q,10,252,137,IQFOIL FEM.,European Championship 2023
203,11,"COUSIN, DELPHINE / BLANCHET",FRA,4Q,11,252,137,IQFOIL FEM.,European Championship 2023
204,11,"COUSIN, DELPHINE / BLANCHET",FRA,5Q,-19,252,137,IQFOIL FEM.,European Championship 2023
205,11,"COUSIN, DELPHINE / BLANCHET",FRA,6Q,7,252,137,IQFOIL FEM.,European Championship 2023
206,11,"COUSIN, DELPHINE / BLANCHET",FRA,7Q,5,252,137,IQFOIL FEM.,European Championship 2023
207,11,"COUSIN, DELPHINE / BLANCHET",FRA,8Q,-13,252,137,IQFOIL FEM.,European Championship 2023
208,11,"COUSIN, DELPHINE / BLANCHET",FRA,9F,12,252,137,IQFOIL FEM.,European Championship 2023
209,11,"COUSIN, DELPHINE / BLANCHET",FRA,10F,RET (46),252,137,IQFOIL FEM.,European Championship 2023
210,11,"COUSIN, DELPHINE / BLANCHET",FRA,11F,8,252,137,IQFOIL FEM.,European Championship 2023
211,11,"COUSIN, DELPHINE / BLANCHET",FRA,12F,13,252,137,IQFOIL FEM.,European Championship 2023
212,11,"COUSIN, DELPHINE / BLANCHET",FRA,13F,25,252,137,IQFOIL FEM.,European Championship 2023
213,11,"COUSIN, DELPHINE / BLANCHET",FRA,14F,1,252,137,IQFOIL FEM.,European Championship 2023
214,11,"COUSIN, DELPHINE / BLANCHET",FRA,15F,5,252,137,IQFOIL FEM.,European Championship 2023
215,11,"COUSIN, DELPHINE / BLANCHET",FRA,16F,5,252,137,IQFOIL FEM.,European Championship 2023
216,11,"COUSIN, DELPHINE / BLANCHET",FRA,17F,-37,252,137,IQFOIL FEM.,European Championship 2023
217,11,"COUSIN, DELPHINE / BLANCHET",FRA,18F,12,252,137,IQFOIL FEM.,European Championship 2023
218,11,"COUSIN, DELPHINE / BLANCHET",FRA,19F,9.0,252,137,IQFOIL FEM.,European Championship 2023
220,12,"STEINBERG, TAMAR",ISR,1Q,3,238,141,IQFOIL FEM.,European Championship 2023
221,12,"STEINBERG, TAMAR",ISR,2Q,-8,238,141,IQFOIL FEM.,European Championship 2023
222,12,"STEINBERG, TAMAR",ISR,3Q,-9,238,141,IQFOIL FEM.,European Championship 2023
223,12,"STEINBERG, TAMAR",ISR,4Q,1,238,141,IQFOIL FEM.,European Championship 2023
224,12,"STEINBERG, TAMAR",ISR,5Q,2,238,141,IQFOIL FEM.,European Championship 2023
225,12,"STEINBERG, TAMAR",ISR,6Q,2,238,141,IQFOIL FEM.,European Championship 2023
226,12,"STEINBERG, TAMAR",ISR,7Q,2,238,141,IQFOIL FEM.,European Championship 2023
227,12,"STEINBERG, TAMAR",ISR,8Q,1,238,141,IQFOIL FEM.,European Championship 2023
228,12,"STEINBERG, TAMAR",ISR,9F,6,238,141,IQFOIL FEM.,European Championship 2023
229,12,"STEINBERG, TAMAR",ISR,10F,21,238,141,IQFOIL FEM.,European Championship 2023
230,12,"STEINBERG, TAMAR",ISR,11F,4,238,141,IQFOIL FEM.,European Championship 2023
231,12,"STEINBERG, TAMAR",ISR,12F,2,238,141,IQFOIL FEM.,European Championship 2023
232,12,"STEINBERG, TAMAR",ISR,13F,21,238,141,IQFOIL FEM.,European Championship 2023
233,12,"STEINBERG, TAMAR",ISR,14F,19,238,141,IQFOIL FEM.,European Championship 2023
234,12,"STEINBERG, TAMAR",ISR,15F,-43,238,141,IQFOIL FEM.,European Championship 2023
235,12,"STEINBERG, TAMAR",ISR,16F,-37,238,141,IQFOIL FEM.,European Championship 2023
