Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,MRQ,Total,Nett
10,JONATAN VADNAI,2298,HUN,17.0,6.0,5.0,11.0,8.0,6.0,26.0,18.0,11.0,5.0,-,-,-,-,-,-,-,14.0,127.0,101.0
10,BREIANA WHITEHEAD,648,AUS,7.0,3.0,2.0,14.0,6.0,6.0,19.0,7.0,20.0,15.0,9.0,16.0,8.0,12.0,9.0,12.0,-,10.0,165.0,112.0
10,KATERINA ALTMANNOVA,2502,CZE,8.0,12.0,8.0,7.0,4.0,11.0,12.0,9.0,7.0,3.0,3.0,8.0,5.0,14.0,-,-,-,10.0,111.0,73.0
10,JANNIS MAUS,2138,GER,13.0,3.0,6.0,2.0,1.0,2.0,16.0,11.0,15.0,15.0,13.0,10.0,3.0,3.0,6.0,15.0,8.0,10.0,142.0,98.0
10,"ANDREW MOLLERUS, IAN MACDIARMID",260,USA,3.0,1.0,3.0,6.0,8.0,9.0,3.0,13.0,8.0,15.0,12.0,19.0,25.0,-,-,-,-,20.0,145.0,120.0
10,"HIPPOLYTE MACHETTI, ALOISE RETORNAZ",1903,,2.0,2.0,13.0,14.0,13.0,1.0,19.0,21.0,6.0,11.0,-,-,-,-,-,-,-,18.0,120.0,99.0
11,EMMA PLASSCHAERT,1301,BEL,2.0,4.0,48.0,13.0,1.0,21.0,16.0,18.0,12.0,21.0,-,-,-,-,-,-,-,-,156.0,108.0
11,"CATERINA BANTI, RUGGERO TITA",783,,1.0,24.0,3.0,7.0,13.0,14.0,2.0,24.0,16.0,11.0,3.0,9.0,-,-,-,-,-,-,127.0,103.0
11,DOMINIQUE STATER,1164,USA,10.0,14.0,15.0,5.0,9.0,10.0,13.0,3.0,17.0,11.0,8.0,18.0,23.0,4.0,-,-,-,-,160.0,102.0
11,GISELA PULIDO BORRELL,1684,ESP,11.0,19.0,3.0,6.0,19.0,17.0,20.0,4.0,8.0,9.0,4.0,7.0,6.0,26.0,26.0,3.0,-,-,188.0,117.0
11,THOMAS SAUNDERS,4775,NZL,5.0,1.0,7.0,3.0,15.0,1.0,5.0,32.0,26.0,38.0,-,-,-,-,-,-,-,-,133.0,95.0
11,"EVIE HASELDINE, OLIVIA PRICE",1382,,3.0,4.0,1.0,5.0,9.0,12.0,23.0,22.0,9.0,12.0,12.0,18.0,7.0,-,-,-,-,-,137.0,114.0
11,JULES CHANTREL,2378,FRA,8.0,22.0,11.0,19.0,10.0,12.0,15.0,17.0,10.0,8.0,19.0,4.0,9.0,8.0,-,-,-,-,172.0,112.0
11,MARTIN DOLENC,3227,CRO,2.0,6.0,4.0,3.0,7.0,8.0,10.0,19.0,12.0,10.0,9.0,8.0,5.0,11.0,13.0,10.0,20.0,-,157.0,111.0
11,"RODOLFO PIRES, BEATRIZ GAGO",4186,,8.0,6.0,3.0,5.0,1.0,3.0,29.0,9.0,25.0,28.0,-,-,-,-,-,-,-,-,117.0,88.0
11,"MIHOVIL FANTELA, SIME FANTELA",3474,,14.0,4.0,25.0,2.0,6.0,25.0,10.0,3.0,10.0,11.0,3.0,16.0,2.0,-,-,-,-,-,131.0,106.0
12,FILIP JURISIC,1461,CRO,2.0,11.0,14.0,7.0,37.0,3.0,8.0,48.0,1.0,13.0,-,-,-,-,-,-,-,-,144.0,96.0
12,"KEVIN FISCHER, YANN JAUVIN",2550,FRA,2.0,6.0,1.0,10.0,4.0,13.0,6.0,24.0,17.0,19.0,4.0,15.0,11.0,-,-,-,-,-,132.0,108.0
12,"CARLOTTA OMARI, SVEVA CARRARO",753,,10.0,3.0,8.0,13.0,7.0,20.0,20.0,6.0,12.0,4.0,5.0,22.0,12.0,-,-,-,-,-,142.0,120.0
12,TOMONORI ANAMI,4902,JPN,15.0,12.0,8.0,9.0,11.0,17.0,8.0,13.0,7.0,14.0,14.0,18.0,7.0,18.0,-,-,-,-,171.0,118.0
12,DENIS TARADIN,1091,CYP,5.0,5.0,4.0,4.0,17.0,14.0,6.0,8.0,6.0,7.0,24.0,14.0,20.0,10.0,9.0,28.0,14.0,-,195.0,126.0
12,"BIANCA CARUSO, GIACOMO FERRARI",567,,23.0,1.0,7.0,33.0,8.0,11.0,6.0,4.0,28.0,6.0,-,-,-,-,-,-,-,-,127.0,94.0
12,MIRTHE AKKERMAN,3514,NED,9.0,3.0,4.0,33.0,15.0,31.0,15.0,14.0,7.0,13.0,-,-,-,-,-,-,-,-,144.0,111.0
12,FUJIKO ONISHI,1578,JPN,12.0,18.0,6.0,11.0,14.0,12.0,6.0,11.0,14.0,9.0,5.0,10.0,23.0,7.0,-,-,-,-,158.0,103.0
12,JINGYUE CHEN,2223,CHN,5.0,4.0,7.0,5.0,11.0,8.0,10.0,14.0,6.0,10.0,10.0,14.0,24.0,13.0,10.0,20.0,-,-,171.0,120.0
12,"LUKAS HABERL, TANJA FRANK",2945,,10.0,14.0,15.0,3.0,2.0,12.0,7.0,19.0,17.0,12.0,5.0,8.0,-,-,-,-,-,-,124.0,105.0
13,LEONIE MEYER,2762,GER,12.0,9.0,8.0,6.0,15.0,12.0,9.0,26.0,14.0,16.0,8.0,10.0,18.0,11.0,7.0,2.0,-,-,183.0,127.0
13,FINN ALEXANDER,1469,AUS,7.0,2.0,2.0,1.0,12.0,13.0,32.0,19.0,51.0,14.0,-,-,-,-,-,-,-,-,153.0,102.0
13,"HERNAN UMPIERRE, FERNANDO DIZ",1888,URU,9.0,10.0,5.0,3.0,13.0,22.0,13.0,20.0,11.0,1.0,2.0,2.0,20.0,-,-,-,-,-,131.0,109.0
13,"RITA BOOTH FERRANDO, RUBEN BOOTH",4162,,11.0,2.0,3.0,3.0,8.0,19.0,16.0,10.0,24.0,6.0,21.0,11.0,-,-,-,-,-,-,134.0,110.0
13,"MARIAH MILLEN, ALEXANDRA TEN HOVE",3135,,8.0,1.0,18.0,3.0,5.0,15.0,22.0,15.0,20.0,26.0,17.0,5.0,8.0,-,-,-,-,-,163.0,137.0
13,AMBAR PAPAZIAN,182,FRA,18.0,9.0,13.0,13.0,11.0,23.0,14.0,10.0,13.0,5.0,11.0,4.0,18.0,16.0,-,-,-,-,178.0,119.0
