Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
31,"SEBASTIEN SCOTTO DI FASANO, KEVIN FISCHER",4421,,41.0,21.0,12.0,31.0,33.0,23.0,27.0,21.0,21.0,29.0,28.0,24.0,-,311.0,270.0
31,FILIP JURISIC,1461,CRO,6.0,1.0,35.0,33.0,33.0,36.0,33.0,26.0,-,-,-,-,-,203.0,167.0
31,"PAOLA BERGAMASCHI, MARIA OTTAVIA RAGGIO",3873,,11.0,18.0,34.0,4.0,37.0,37.0,31.0,10.0,32.0,38.0,31.0,34.0,-,317.0,279.0
31,HANNAH SNELLGROVE,1794,GBR,39.0,27.0,31.0,7.0,33.0,28.0,27.0,23.0,-,-,-,-,-,215.0,176.0
31,"GIOVANNA MICOL, LORENZO BRESSANI",1676,,24.0,34.0,40.0,21.0,20.0,25.0,32.0,16.0,40.0,27.0,18.0,-,-,297.0,257.0
32,"KATE MACGREGOR, MARY ROOK",2497,,18.0,38.0,21.0,38.0,21.0,32.0,34.0,8.0,24.0,30.0,40.0,28.0,-,332.0,292.0
32,COLIN CHENG,930,SIN,22.0,39.0,30.0,23.0,36.0,15.0,20.0,21.0,-,-,-,-,-,206.0,167.0
32,"MAXIM SEMENOV, ALINA SHCHETINKINA",3373,,17.0,35.0,31.0,30.0,30.0,36.0,29.0,27.0,27.0,20.0,33.0,-,-,315.0,279.0
32,CAGLA DONERTAS,698,TUR,31.0,19.0,21.0,19.0,39.0,12.0,41.0,36.0,-,-,-,-,-,218.0,177.0
32,"PAVEL KALINCHEV, PAVEL KARACHOV",3930,RUS,16.0,29.0,28.0,22.0,31.0,41.0,26.0,36.0,12.0,21.0,15.0,37.0,-,314.0,273.0
33,"TONI RIVAS, ELISABET LLARGUES MASACHS",4904,,30.0,30.0,21.0,25.0,34.0,32.0,33.0,28.0,33.0,29.0,21.0,-,-,316.0,282.0
33,"DEBORAH CAPOZZI, MAGGIE SHEA",1076,,30.0,39.0,38.0,12.0,27.0,24.0,35.0,33.0,25.0,35.0,20.0,26.0,-,344.0,305.0
33,SVENJA WEGER,4650,GER,37.0,8.0,18.0,29.0,31.0,37.0,37.0,24.0,-,-,-,-,-,221.0,184.0
33,"JULIEN D'ORTOLI, NOE DELPECH",2413,FRA,30.0,40.0,33.0,28.0,14.0,8.0,41.0,2.0,32.0,36.0,16.0,35.0,-,315.0,274.0
33,ALESSIO SPADONI,106,ITA,15.0,12.0,28.0,32.0,27.0,25.0,41.0,29.0,-,-,-,-,-,209.0,168.0
