Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,Total,Nett
36,"BENJAMIN GREZ, CRISTOBAL GREZ",512,,11.0,10.0,20.0,26.0,(32.0),7.0,25.0,11.0,15.0,1.0,14.0,3.0,7.0,10.0,3.0,(21.0),9.0,-,-,225.0,172.0
37,"BRICE YRIEIX, ALBANE DUBOIS",653,,(20.0),20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,(38.0),38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,-,522.0,464.0
37,"TIM ELSNER, MORITZ KLINGENBERG",4806,GER,12.0,2.0,6.0,(28.0),6.0,12.0,23.0,18.0,28.0,(18.0),15.0,9.0,13.0,12.0,9.0,5.0,5.0,-,-,221.0,175.0
38,"TIM FISCHER, FABIAN GRAF",4809,GER,24.0,(25.0),7.0,25.0,20.0,11.0,13.0,23.0,23.0,7.0,7.0,7.0,2.0,1.0,(11.0),10.0,2.0,-,-,218.0,182.0
39,"KEVIN FISCHER, JAUVIN YANN",2548,,19.0,17.0,11.0,(37.0),1.0,28.0,11.0,22.0,30.0,(20.0),1.0,1.0,5.0,2.0,12.0,12.0,11.0,-,-,240.0,183.0
40,"FREI MATHIEU, SEBASTIEN SCOTTO DI FASANO",1568,,21.0,20.0,27.0,19.0,(29.0),19.0,16.0,5.0,12.0,10.0,8.0,10.0,7.0,5.0,6.0,(13.0),1.0,-,-,228.0,186.0
41,"DOMINIK BUKSAK, SZYMON WIERZBICKI",1157,POL,(33.0),28.0,10.0,30.0,20.0,25.0,3.0,8.0,12.0,8.0,9.0,13.0,(20.0),8.0,5.0,1.0,6.0,-,-,239.0,186.0
42,"THOMAS BARROWS III, JOSEPH MORRIS",4754,,10.0,13.0,21.0,(37.0),7.0,6.0,21.0,11.0,25.0,14.0,3.0,(26.0),6.0,7.0,26.0,7.0,11.0,-,-,251.0,188.0
43,"JACK HAWKINS, CHRISTOPHER THOMAS",2046,GBR,26.0,(27.0),24.0,8.0,18.0,9.0,18.0,26.0,19.0,10.0,4.0,(12.0),2.0,11.0,2.0,12.0,10.0,-,-,238.0,199.0
44,"MARTI LLENA, SANTIAGO ALEGRE",3221,,23.0,17.0,(29.0),13.0,25.0,13.0,14.0,15.0,13.0,8.0,7.0,17.0,19.0,4.0,7.0,(26.0),26.0,-,-,276.0,221.0
45,"LARS VAN STEKELENBORG, FLORIS VAN DE WERKEN",2688,NED,13.0,26.0,19.0,(31.0),23.0,4.0,17.0,6.0,27.0,13.0,10.0,(26.0),12.0,18.0,7.0,14.0,12.0,-,-,278.0,221.0
46,"RORY HUNTER, NEIL HUNTER",4221,GBR,16.0,16.0,22.0,27.0,(30.0),18.0,24.0,27.0,14.0,2.0,13.0,3.0,13.0,11.0,14.0,2.0,(16.0),-,-,268.0,222.0
47,"JAKOB MEGGENDORFER, ANDREAS SPRANGER",2080,GER,20.0,14.0,17.0,9.0,23.0,32.0,26.0,(37.0),22.0,6.0,11.0,8.0,4.0,14.0,(26.0),4.0,13.0,-,-,286.0,223.0
48,"GABRIEL SKOCZEK, YANN ROCHERIEUX",1591,FRA,26.0,12.0,26.0,(27.0),26.0,17.0,26.0,23.0,17.0,11.0,5.0,6.0,11.0,5.0,10.0,7.0,(13.0),-,-,268.0,228.0
49,"CHRIS TAYLOR, SAM BATTEN",867,,18.0,21.0,25.0,24.0,24.0,14.0,22.0,(37.0),25.0,14.0,(17.0),5.0,3.0,9.0,8.0,11.0,10.0,-,-,287.0,233.0
50,"FREDERIK RASK, NIKOLAJ HOFFMANN BUHL",1561,DEN,24.0,20.0,25.0,8.0,15.0,16.0,27.0,(30.0),24.0,11.0,11.0,17.0,(21.0),17.0,6.0,9.0,3.0,-,-,284.0,233.0
51,"HUGO FEDRIGUCCI, VIRGIL AUBRIOT",1937,FRA,14.0,19.0,9.0,21.0,22.0,31.0,(32.0),17.0,31.0,6.0,14.0,6.0,16.0,7.0,10.0,11.0,(26.0),-,-,292.0,234.0
52,"JOEL TURNER, TOM SIGANTO",2255,,27.0,30.0,30.0,16.0,19.0,4.0,11.0,22.0,(31.0),(15.0),12.0,14.0,14.0,10.0,5.0,13.0,8.0,-,-,281.0,235.0
53,"TOBIAS HEMDORFF, SEBASTIAN BYRSTING",4843,DEN,25.0,(30.0),14.0,21.0,30.0,30.0,19.0,21.0,21.0,5.0,8.0,7.0,11.0,(20.0),17.0,6.0,2.0,-,-,287.0,237.0
54,"CARLOS PAZ, ALVARO DEL ARCO",744,,13.0,28.0,(37.0),23.0,6.0,23.0,25.0,29.0,16.0,12.0,16.0,(26.0),17.0,26.0,13.0,14.0,12.0,-,-,336.0,273.0
55,"HANNES WESTBERG, ALBIN BOMAN",1801,SWE,22.0,21.0,23.0,20.0,(29.0),12.0,28.0,28.0,26.0,12.0,20.0,11.0,(21.0),9.0,11.0,15.0,20.0,-,-,328.0,278.0
56,"IVAN ZOTOV, IVAN ZOTOV",2029,,29.0,22.0,22.0,12.0,10.0,31.0,(36.0),24.0,28.0,16.0,16.0,(20.0),6.0,15.0,18.0,15.0,15.0,-,-,335.0,279.0
