Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
16,WALKENBACH PHILIP,5081,,(47.0),32.0,23.0,(39.0),59.0,-,-,-,-,-,-,-,-,-,-,20.0,9.0,25.0,21.0,8.0,-,-,-,-,-,283.0,197.0
16,"MARTIN WIZNER, PABLO GARCIA PORTELA",3238,,2.0,5.0,13.0,3.0,3.0,14.0,19.0,4.0,(29.0),25.0,9.0,8.0,16.0,25.0,17.0,-,-,-,-,-,-,-,-,-,-,192.0,163.0
16,MARQUES EDUARDO,3207,,(28.0),170.0,11.0,6.0,10.0,-,-,-,-,-,-,-,-,-,-,17.0,32.0,18.0,22.0,(34.0),-,-,-,-,-,195.0,133.0
16,"LAURA SCHOFEGGER, LISA FARTHOFER",2710,,17.0,15.0,13.0,19.0,22.0,14.0,10.0,7.0,29.0,24.0,4.0,(30.0),13.0,25.0,-,-,-,-,-,-,-,-,-,-,-,242.0,212.0
17,"HELENA WOLFF, LAURA ZEEBERG",1857,,30.0,6.0,7.0,27.0,23.0,1.0,17.0,12.0,28.0,1.0,26.0,(33.0),26.0,18.0,-,-,-,-,-,-,-,-,-,-,-,255.0,222.0
17,"VALENTIN MULLER, MORITZ FIEBIG",4965,GER,(20.0),11.0,13.0,18.0,1.0,14.0,20.0,20.0,4.0,19.0,12.0,19.0,4.0,4.0,9.0,-,-,-,-,-,-,-,-,-,-,188.0,168.0
17,KRUTSKIKH DANIIL,2639,,16.0,40.0,21.0,(45.0),8.0,-,-,-,-,-,-,-,-,-,-,(47.0),29.0,17.0,19.0,26.0,-,-,-,-,-,232.0,140.0
17,MAKRI MARILENA,3025,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.0,20.0,(51.0),6.0,26.0,(36.0),16.0,25.0,17.0,8.0,236.0,149.0
17,BENHAROCH MAOR,504,,19.0,21.0,32.0,33.0,(41.0),-,-,-,-,-,-,-,-,-,-,(40.0),27.0,21.0,23.0,21.0,-,-,-,-,-,278.0,197.0
18,MIKKOLA MONIKA,3486,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,7.0,24.0,22.0,(79.0),21.0,21.0,34.0,10.0,(38.0),269.0,152.0
18,DUKIC MILIVOJ,1181,,(59.0),80.0,12.0,22.0,9.0,-,-,-,-,-,-,-,-,-,-,45.0,21.0,20.0,(59.0),6.0,-,-,-,-,-,261.0,143.0
18,MCMAHON JAMIE,3402,,30.0,(53.0),28.0,29.0,(59.0),-,-,-,-,-,-,-,-,-,-,30.0,19.0,8.0,28.0,28.0,-,-,-,-,-,312.0,200.0
18,"ALBERT TORRES, ELIAS ARETZ",75,ESP,13.0,7.0,8.0,10.0,18.0,7.0,9.0,2.0,13.0,20.0,(25.0),14.0,19.0,9.0,20.0,-,-,-,-,-,-,-,-,-,-,194.0,169.0
18,"MARGHERITA PORRO, MATILDA DISTEFANO",3106,,16.0,16.0,(38.0),32.0,15.0,3.0,19.0,2.0,15.0,6.0,22.0,14.0,25.0,38.0,-,-,-,-,-,-,-,-,-,-,-,261.0,223.0
19,VERHULST GAUTHIER,5005,,(47.0),25.0,20.0,45.0,(50.0),-,-,-,-,-,-,-,-,-,-,12.0,16.0,31.0,22.0,32.0,-,-,-,-,-,300.0,203.0
19,"JACK HAWKINS, CHRIS THOMAS",2044,,19.0,3.0,11.0,6.0,10.0,8.0,5.0,5.0,22.0,5.0,24.0,(26.0),17.0,23.0,12.0,-,-,-,-,-,-,-,-,-,-,196.0,170.0
19,VILLA NICOL*,5046,,19.0,190.0,(27.0),13.0,11.0,-,-,-,-,-,-,-,-,-,-,20.0,22.0,21.0,(25.0),24.0,-,-,-,-,-,201.0,149.0
19,LUKOYANOVA ALEXANDRA,2964,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.0,(51.0),23.0,13.0,15.0,6.0,13.0,(46.0),22.0,26.0,257.0,160.0
19,"SOPHIE STEINLEIN, BENTE BATZING",4550,,27.0,10.0,22.0,7.0,13.0,17.0,(32.0),18.0,24.0,21.0,3.0,22.0,18.0,23.0,-,-,-,-,-,-,-,-,-,-,-,257.0,225.0
20,"JOSHUA RICHNER, NILO SCHARER",2350,SUI,22.0,7.0,1.0,9.0,7.0,15.0,10.0,18.0,17.0,(23.0),14.0,17.0,20.0,8.0,6.0,-,-,-,-,-,-,-,-,-,-,194.0,171.0
20,HALOUZKA JAKUB,1776,,29.0,35.0,(46.0),29.0,35.0,-,-,-,-,-,-,-,-,-,-,(59.0),26.0,18.0,10.0,25.0,-,-,-,-,-,312.0,207.0
20,ZELKO ZAN LUKA,5265,,1.0,20.0,(37.0),1.0,4.0,-,-,-,-,-,-,-,-,-,-,(54.0),40.0,34.0,33.0,48.0,-,-,-,-,-,254.0,163.0
20,"GABRIELA CZAPSKA, HANNA RAJCHERT",1593,POL,31.0,30.0,11.0,12.0,4.0,23.0,25.0,8.0,12.0,(38.0),27.0,15.0,4.0,28.0,-,-,-,-,-,-,-,-,-,-,-,268.0,230.0
20,NICHOLLS MATILDA,3650,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,12.0,19.0,33.0,17.0,34.0,27.0,(45.0),(44.0),14.0,253.0,164.0
