Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,Total,Nett
32,"LLOYD WILLIAMS HENRY, ALLOWAY WILL",2852,GBR,10.0,16.0,10.0,16.0,12.0,(31.0),10.0,7.0,14.0,17.0,10.0,15.0,8.0,1.0,-,-,-,177,146
33,"FURUYA SHINGEN, HACHIYAMA SHINJI",1582,JPN,20.0,19.0,(28.0),23.0,14.0,20.0,9.0,17.0,11.0,9.0,2.0,17.0,5.0,16.0,-,-,-,210,182
34,"HEMDORFF TOBIAS, NIELSEN MARKUS OLIVER",1864,DEN,10.0,(31.0),23.0,28.0,27.0,22.0,14.0,2.0,5.0,10.0,4.0,29.0,6.0,3.0,-,-,-,214,183
35,"FEDRIGUCCI HUGO, AUBRIOT VIRGIL",1428,FRA,13.0,17.0,14.0,17.0,17.0,10.0,21.0,26.0,(35.0),13.0,12.0,3.0,11.0,11.0,-,-,-,220,185
36,"SLAP LEVI, D'HONDT JOACHIM",4514,BEL,27.0,20.0,19.0,21.0,6.0,11.0,5.0,4.0,(35.0),18.0,14.0,14.0,7.0,19.0,-,-,-,220,185
37,"VAN STEKELENBORG LARS, BRAMERVAER DANIEL ROBERT",4990,NED,18.0,16.0,17.0,10.0,16.0,21.0,22.0,9.0,20.0,3.0,(25.0),11.0,12.0,13.0,-,-,-,213,188
38,"NOSOV KONSTANTIN, GAIDAENKO ALEKSANDR",3766,RUS,7.0,21.0,21.0,18.0,17.0,(31.0),12.0,22.0,13.0,20.0,5.0,18.0,14.0,10.0,-,-,-,229,198
39,"HISCOCK SIMON, BUDDEN DANIEL",1907,GBR,11.0,13.0,26.0,12.0,24.0,20.0,15.0,1.0,10.0,26.0,20.0,(30.0),17.0,14.0,-,-,-,239,209
40,"MATHISEN TOMAS, MATHISEN MADS",3299,NOR,23.0,17.0,15.0,17.0,7.0,13.0,(27.0),12.0,15.0,8.0,21.0,24.0,24.0,18.0,-,-,-,241,214
41,"DICKSON ROBERT, WADDILOVE SEAN",1117,IRL,19.0,11.0,24.0,(29.0),25.0,19.0,6.0,3.0,6.0,29.0,19.0,27.0,19.0,15.0,-,-,-,251,222
42,"HANSEN MICHAEL, SLETTEN MATHIAS",1807,DEN,23.0,24.0,19.0,19.0,26.0,15.0,4.0,28.0,7.0,(35.0),17.0,9.0,21.0,12.0,-,-,-,259,224
43,"VAN DONGEN CAS, VUGT VAN",4985,NED,21.0,24.0,4.0,25.0,21.0,12.0,13.0,21.0,(35.0),14.0,6.0,13.0,22.0,29.0,-,-,-,260,225
44,"SILEN VICTOR, SILEN CHRISTOFFER",4477,FIN,25.0,22.0,18.0,23.0,16.0,4.0,23.0,20.0,17.0,2.0,15.0,22.0,(30.0),21.0,-,-,-,258,228
45,"HOUTMAN SCIPIO, BECKER ROBIN",1919,NED,6.0,25.0,17.0,14.0,23.0,11.0,25.0,11.0,16.0,23.0,(33.0),20.0,20.0,20.0,-,-,-,264,231
46,"ROIHU JUUSO, ROIHU HENRI",4197,EST,20.0,19.0,20.0,13.0,10.0,6.0,19.0,(30.0),(20.0),19.0,9.0,23.0,28.0,28.0,-,-,-,264,234
47,"MEIER-ANDERSEN KLAES, NIELSEN CARL EMIL",3416,DEN,19.0,6.0,23.0,(31.0),21.0,(31.0),31.0,15.0,9.0,22.0,24.0,25.0,16.0,7.0,-,-,-,280,249
48,"DONNELLY SEAN, DONNELLY TADGH",1171,IRL,12.0,28.0,21.0,8.0,18.0,23.0,20.0,(32.0),22.0,25.0,28.0,19.0,10.0,17.0,-,-,-,283,251
49,"BUGALLO ARRIOLA LUIS, LORENZO ROMAN JORGE",686,ESP,(18.0),21.0,(31.0),20.0,19.0,22.0,(33.0),18.0,23.0,12.0,8.0,12.0,27.0,27.0,-,-,-,291,258
