Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
27,"WILLEMIJN OFFERMAN, JUDITH ENGBERTS",5139,,19.0,(38.0),8.0,31.0,24.0,36.0,21.0,21.0,5.0,28.0,22.0,-,253.0,215.0
27,"LACHY GILMOUR, RYAN DONALDSON",2663,,13.0,24.0,(26.0),26.0,20.0,26.0,16.0,-,-,-,-,-,151.0,125.0
28,"LILI SEBESI, ALBANE DUBOIS",2799,FRA,32.0,15.0,24.0,36.0,(37.0),26.0,15.0,24.0,3.0,27.0,18.0,-,257.0,220.0
28,WANNES VAN LAER,5088,BEL,4.0,49.0,24.0,32.0,45.0,(52.0),33.0,25.0,24.0,17.0,-,-,305.0,253.0
28,"CHRIS TAYLOR, SAMUEL BATTEN",868,,26.0,13.0,37.0,(40.0),19.0,8.0,28.0,-,-,-,-,-,171.0,131.0
29,"MEGAN BRICKWOOD, ELEANOR ALDRIDGE",3405,,27.0,34.0,26.0,12.0,(39.0),35.0,20.0,26.0,21.0,25.0,12.0,-,277.0,238.0
29,"UBERTO CRIVELLI VISCONTI, GIANMARCO TOGNI",4929,ITA,8.0,27.0,36.0,14.0,36.0,(38.0),11.0,-,-,-,-,-,170.0,132.0
29,ROBERT DAVIS,4167,CAN,36.0,32.0,34.0,10.0,(57.0),22.0,34.0,23.0,44.0,31.0,-,-,323.0,266.0
30,ENRIQUE JOSE ARATHOON PACAS,1319,ESA,62.0,59.0,19.0,26.0,15.0,19.0,10.0,4.0,56.0,(69.0),-,-,339.0,270.0
30,"CARLOTTA OMARI, MATILDA DISTEFANO",752,,22.0,26.0,7.0,35.0,(38.0),2.0,24.0,35.0,26.0,30.0,35.0,-,280.0,242.0
30,"PETER JANEZIC, SEBASTIAN PRINCIC",3970,,28.0,30.0,18.0,21.0,9.0,(34.0),26.0,-,-,-,-,-,166.0,132.0
31,"ANNA YAMAZAKI, SENA TAKANO",306,,28.0,10.0,35.0,25.0,10.0,28.0,26.0,28.0,(40.0),22.0,34.0,-,286.0,246.0
31,BRUNO FONTES,674,BRA,41.0,46.0,22.0,2.0,50.0,26.0,39.0,24.0,(55.0),21.0,-,-,326.0,271.0
31,"FRITIOF HEDSTROM, OTTO HAMEL",1575,,27.0,(33.0),20.0,33.0,31.0,7.0,22.0,-,-,-,-,-,173.0,140.0
32,"ANGELIKA KOHLENDORFER, LISA FARTHOFER",279,,25.0,6.0,39.0,19.0,32.0,6.0,(40.0),38.0,32.0,19.0,38.0,-,294.0,254.0
32,STEFANO PESCHIERA,4591,PER,32.0,10.0,54.0,25.0,60.0,(69.0),55.0,15.0,9.0,11.0,-,-,340.0,271.0
32,"ALEXANDER HEINZEMANN, JUSTIN BARNES",121,,(41.0),29.0,33.0,13.0,6.0,36.0,25.0,-,-,-,-,-,183.0,142.0
33,ELIOT MERCERON,1252,SUI,39.0,27.0,33.0,(48.0),26.0,37.0,32.0,22.0,23.0,39.0,-,-,326.0,278.0
33,"HUGO FEDRIGUCCI, MARTIN GUEZ",1936,,(41.0),23.0,8.0,36.0,37.0,3.0,38.0,-,-,-,-,-,186.0,145.0
33,"FRANCESCA BERGAMO, ALICE SINNO",1517,,31.0,11.0,32.0,29.0,29.0,30.0,(35.0),12.0,25.0,31.0,27.0,-,292.0,257.0
34,FRANCISCO GUARAGNA RIGONAT,1529,ARG,66.0,21.0,(69.0),14.0,32.0,30.0,48.0,33.0,11.0,28.0,-,-,352.0,283.0
34,"ERIN RAFUSE, MILLEN MARIAH",1348,,24.0,9.0,(34.0),28.0,30.0,24.0,34.0,23.0,33.0,34.0,29.0,-,302.0,268.0
34,"MICHAEL HANSEN, MATHIAS LEHM SLETTEN",3445,,20.0,(35.0),19.0,12.0,28.0,33.0,35.0,-,-,-,-,-,182.0,147.0
35,"KURT HANSEN, HARRY MORTON",2650,,(36.0),31.0,23.0,30.0,12.0,25.0,29.0,-,-,-,-,-,186.0,150.0
35,"LIVIA NAEF, NELIA PUHZE",2849,,23.0,17.0,23.0,(40.0),25.0,29.0,30.0,34.0,31.0,36.0,33.0,-,321.0,281.0
35,MILIVOJ DUKIC,3492,MNE,5.0,62.0,31.0,44.0,55.0,54.0,21.0,8.0,17.0,(69.0),-,-,366.0,297.0
36,"DOMINIKA VADUROVA, SARA TKADLECOVA",1162,,29.0,35.0,29.0,32.0,27.0,28.0,31.0,25.0,(40.0),33.0,30.0,-,339.0,299.0
36,JONATAN VADNAI,2298,HUN,(61.0),40.0,32.0,5.0,31.0,38.0,36.0,26.0,54.0,36.0,-,-,359.0,298.0
36,"IAN CHEKH, IVAN ZOTOV",1959,,31.0,(38.0),22.0,24.0,29.0,17.0,32.0,-,-,-,-,-,193.0,155.0
37,"VICTORIA PAYNE, ALICE E MASTERMAN",5032,,36.0,37.0,(38.0),34.0,35.0,38.0,36.0,27.0,35.0,6.0,31.0,-,353.0,315.0
37,ANTONY MUNOS,347,FRA,29.0,13.0,(69.0),33.0,52.0,9.0,38.0,42.0,40.0,43.0,-,-,368.0,299.0
37,"WILLIAM JONES, EVAN DEPAUL",5142,,32.0,(37.0),35.0,23.0,26.0,27.0,36.0,-,-,-,-,-,216.0,179.0
38,ZAN LUKA ZELKO,5260,SLO,35.0,(52.0),29.0,30.0,30.0,14.0,49.0,46.0,47.0,20.0,-,-,352.0,300.0
38,"MATHILDE LOVADINA, LEA PERNET",3296,,(38.0),4.0,37.0,37.0,34.0,31.0,37.0,37.0,34.0,37.0,37.0,-,363.0,325.0
38,"NILS CARSTENSEN, JAN FRIGGE",3720,GER,35.0,(40.0),24.0,35.0,27.0,23.0,39.0,-,-,-,-,-,223.0,183.0
39,"SIMONE FERRARESE, VALERIO GALATI",4502,,37.0,26.0,25.0,(38.0),34.0,35.0,34.0,-,-,-,-,-,229.0,191.0
39,"VERONIKA ZIVNA, KATERINA ZIVNA",5012,,35.0,16.0,33.0,38.0,36.0,37.0,38.0,(40.0),40.0,35.0,36.0,-,384.0,344.0
39,LUKE ELLIOTT,2961,AUS,33.0,29.0,55.0,50.0,34.0,3.0,41.0,36.0,27.0,(69.0),-,-,377.0,308.0
40,"KLAES MEIE, R-ANDERSEN, CARL EMIL BAAD NIELSEN",2586,,30.0,36.0,30.0,39.0,35.0,37.0,(40.0),-,-,-,-,-,247.0,207.0
40,MITCHELL KENNEDY,3519,AUS,(69.0),6.0,35.0,63.0,63.0,12.0,3.0,11.0,48.0,69.0,-,-,379.0,310.0
41,KAZUMASA SEGAWA,2520,JPN,48.0,(69.0),46.0,57.0,25.0,7.0,58.0,43.0,20.0,7.0,-,-,380.0,311.0
42,SAM WHALEY,4294,GBR,10.0,18.0,(69.0),42.0,43.0,28.0,57.0,40.0,45.0,29.0,-,-,381.0,312.0
43,NICOLO VILLA,3693,ITA,(64.0),55.0,45.0,35.0,20.0,40.0,26.0,58.0,18.0,16.0,-,-,377.0,313.0
44,AGUSTIN VIDAL INCATASCIATO,41,ARG,(55.0),22.0,53.0,34.0,38.0,32.0,37.0,51.0,22.0,25.0,-,-,369.0,314.0
45,JUAN PABLO BISIO,2367,ARG,(56.0),56.0,17.0,51.0,11.0,48.0,31.0,39.0,33.0,46.0,-,-,388.0,332.0
46,NIELS BROEKHUIZEN,3694,NED,49.0,(69.0),13.0,40.0,54.0,6.0,59.0,29.0,51.0,37.0,-,-,407.0,338.0
47,JOEL RODRIGUEZ,2251,ESP,14.0,47.0,18.0,(69.0),59.0,44.0,53.0,14.0,32.0,69.0,-,-,419.0,350.0
48,MAREK ZALESKI,3100,USA,60.0,30.0,52.0,46.0,13.0,58.0,35.0,(64.0),16.0,45.0,-,-,419.0,355.0
49,FRANCISCO RENNA,1533,ARG,59.0,28.0,38.0,47.0,40.0,(63.0),29.0,34.0,31.0,50.0,-,-,419.0,356.0
50,WILLIAM DE SMET,5141,BEL,37.0,58.0,50.0,36.0,41.0,(61.0),50.0,60.0,7.0,22.0,-,-,422.0,361.0
51,LOIC QUEYROUX,2863,FRA,44.0,50.0,58.0,53.0,24.0,34.0,44.0,54.0,1.0,(69.0),-,-,431.0,362.0
52,TOMAS PELLEJERO,4880,ARG,45.0,48.0,39.0,43.0,37.0,56.0,(69.0),35.0,43.0,35.0,-,-,450.0,381.0
53,MAXIM NIKOLAEV,3372,RUS,47.0,35.0,57.0,11.0,47.0,31.0,52.0,47.0,(58.0),55.0,-,-,440.0,382.0
54,KHAIRULNIZAM MOHD AFENDY,2555,MAS,25.0,33.0,40.0,29.0,62.0,42.0,43.0,(69.0),60.0,54.0,-,-,457.0,388.0
55,JOAO PEDRO HERRLEIN SOUTO DE OLIVEI,2244,,(65.0),36.0,61.0,62.0,51.0,15.0,47.0,61.0,36.0,38.0,-,-,472.0,407.0
56,ETIENNE LE PEN,1365,FRA,53.0,66.0,(69.0),45.0,48.0,45.0,56.0,55.0,38.0,4.0,-,-,479.0,410.0
57,MAXIME MAZARD,3376,FRA,50.0,65.0,56.0,12.0,49.0,60.0,42.0,16.0,62.0,(69.0),-,-,481.0,412.0
58,MARTIS PAJARSKAS,3255,LTU,52.0,43.0,47.0,41.0,(64.0),62.0,40.0,49.0,41.0,40.0,-,-,479.0,415.0
59,DAN SELF,1012,AUS,58.0,44.0,60.0,56.0,23.0,33.0,(65.0),52.0,50.0,52.0,-,-,493.0,428.0
60,KAROLIS JANULIONIS,2492,LTU,43.0,39.0,43.0,(61.0),56.0,57.0,46.0,38.0,53.0,53.0,-,-,489.0,428.0
61,SAGIE GLANTZ,4275,ISR,(69.0),54.0,44.0,55.0,19.0,49.0,62.0,62.0,63.0,23.0,-,-,500.0,431.0
62,IGOR LES,1975,MNE,16.0,19.0,51.0,52.0,(69.0),59.0,45.0,65.0,69.0,69.0,-,-,514.0,445.0
63,YANIC GENTRY,5208,MEX,54.0,57.0,36.0,39.0,(65.0),55.0,60.0,63.0,46.0,42.0,-,-,517.0,452.0
64,ZENO GREGORIN,5267,ITA,46.0,64.0,59.0,18.0,61.0,(69.0),61.0,32.0,64.0,51.0,-,-,525.0,456.0
65,FILLAH KARIM,1466,CAN,40.0,63.0,62.0,60.0,42.0,(69.0),63.0,57.0,61.0,34.0,-,-,551.0,482.0
66,MARCO GALLO,3086,ITA,42.0,31.0,42.0,(69.0),69.0,51.0,69.0,69.0,69.0,69.0,-,-,580.0,511.0
67,JUSTIN NORTON,2433,CAN,57.0,60.0,63.0,64.0,28.0,64.0,64.0,59.0,(65.0),56.0,-,-,580.0,515.0
68,JOAQUIN BLANCO,2248,ESP,26.0,16.0,(69.0),69.0,69.0,69.0,69.0,69.0,69.0,69.0,-,-,594.0,525.0
