Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
20,"P SYLVAN CARL, BOMAN ALBIN",3849,SWE,17.0,5.0,3.0,7.0,4.0,10.0,(26.0),11.0,24.0,24.0,(26.0),23.0,12.0,16.0,19.0,-,227,201
20,"MELZACKA ALEKSANDRA LOBODA, KINGA",3421,POL,(21.0),12.0,17.0,16.0,11.0,17.0,5.0,1.0,3.0,1.0,12.0,9.0,5.0,8.0,5.0,0.0,143,122
21,"SEBESI LILI, DUBOIS ALBANE",4424,FRA,5.0,20.0,15.0,18.0,(21.0),14.0,4.0,3.0,1.0,3.0,18.0,6.0,7.0,13.0,2.0,0.0,150,129
21,"BOTIN LE CHEVER IAGO, LOPEZ MARRA IAGO",632,ESP,(24.0),11.0,20.0,12.0,5.0,5.0,1.0,2.0,1.0,15.0,4.0,1.0,1.0,1.0,1.0,-,104,80
22,"MUNTE CARLA, MUNTE MARTA",3574,ESP,15.0,11.0,16.0,13.0,7.0,13.0,20.0,(30.0),2.0,7.0,2.0,10.0,9.0,5.0,7.0,0.0,167,137
22,"LEFEBVRE YANNICK, PELSMAEKERS TOM",2731,BEL,16.0,19.0,(25.0),7.0,8.0,4.0,3.0,1.0,2.0,14.0,2.0,5.0,4.0,8.0,21.0,-,139,114
23,"OMARI CARLOTTA, OMARI DISTEFANO MATILDA",3818,ITA,18.0,19.0,22.0,10.0,18.0,10.0,11.0,(30.0),9.0,4.0,1.0,4.0,15.0,3.0,6.0,0.0,180,150
23,"FISCHER ERWAN, JULIEN THIBAULT",1480,FRA,15.0,8.0,16.0,10.0,10.0,5.0,16.0,6.0,3.0,2.0,16.0,22.0,7.0,(30.0),2.0,-,168,138
24,"HAWKINS WILLIAM THOMAS, CHRISTOPHER",1830,GBR,(32.0),10.0,5.0,2.0,17.0,9.0,6.0,7.0,11.0,7.0,6.0,20.0,11.0,2.0,28.0,-,173,141
24,"RUSKOLA NOORA, WULFF MIKAELA",4249,FIN,(28.0),18.0,10.0,15.0,15.0,9.0,1.0,4.0,6.0,8.0,9.0,5.0,6.0,(30.0),17.0,0.0,181,151
25,"HOUTMAN SCIPIO, VAN VUGT PIM",1920,NED,15.0,11.0,19.0,12.0,(21.0),17.0,9.0,5.0,10.0,10.0,15.0,13.0,9.0,4.0,9.0,-,179,158
25,"BERGAMO FRANCESCA, SINNO ALICE",530,ITA,19.0,18.0,18.0,20.0,6.0,(21.0),8.0,7.0,7.0,5.0,7.0,11.0,3.0,11.0,(20.0),0.0,181,160
26,"MEGGENDORFER ANDREAS, SPRANGER ANDREAS",3407,GER,7.0,22.0,13.0,5.0,11.0,23.0,5.0,9.0,12.0,5.0,17.0,(28.0),13.0,19.0,4.0,-,193,165
26,"KRONLOF SIRRE, VALJUS SELMA",2637,FIN,17.0,5.0,15.0,18.0,23.0,15.0,6.0,(30.0),19.0,15.0,5.0,12.0,16.0,4.0,14.0,0.0,214,184
