Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
39,YOAV OMER,5226,ISR,11.0,19.0,15.0,20.0,18.0,(23.0),-,-,-,-,-,-,-,-,-,-,-,37.0,32.0,39.0,(54.0),12.0,3.0,19.0,33.0,31.0,(47.0),18.0,15.0,446.0,322.0
39,KATERINA SVIKOVA,2503,CZE,18.0,41.0,42.0,(53.0),23.0,34.0,11.0,45.0,(52.0),(47.0),45.0,37.0,21.0,23.0,30.0,3.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,537.0,385.0
40,MAJA KUCHTA,3019,,(58.0),32.0,19.0,(60.0),(58.0),49.0,10.0,43.0,27.0,26.0,44.0,26.0,28.0,25.0,36.0,9.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,561.0,385.0
40,JORGE ARANZUEQUE-CAMPELLO,2318,,14.0,11.0,35.0,(63.0),28.0,29.0,-,-,-,-,-,-,-,-,-,-,-,43.0,35.0,(49.0),30.0,9.0,16.0,17.0,(67.0),32.0,6.0,6.0,11.0,501.0,322.0
41,ANNA SAGULENKO,301,,33.0,38.0,51.0,34.0,(55.0),(55.0),8.0,33.0,33.0,42.0,30.0,7.0,27.0,(73.0),31.0,21.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,582.0,399.0
41,DANIELE BENEDETTI,1038,,21.0,16.0,21.0,23.0,(35.0),27.0,-,-,-,-,-,-,-,-,-,-,-,(71.0),(58.0),43.0,55.0,21.0,21.0,6.0,24.0,20.0,8.0,18.0,5.0,493.0,329.0
42,KATERINA ALTMANNOVA,2502,CZE,30.0,(54.0),44.0,(48.0),33.0,35.0,8.0,44.0,44.0,38.0,36.0,(57.0),35.0,30.0,26.0,2.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,568.0,409.0
42,FERNANDO LAMADRID-TRUEBA,1450,,(42.0),23.0,18.0,22.0,32.0,25.0,-,-,-,-,-,-,-,-,-,-,-,39.0,(43.0),(46.0),15.0,18.0,15.0,16.0,35.0,33.8,25.0,7.0,9.0,463.8,332.8
43,RINA NIIJIMA,4158,,(60.0),37.0,41.0,(46.0),(43.0),39.0,11.0,41.0,15.0,39.0,26.0,42.0,22.0,38.0,33.0,11.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,558.0,409.0
43,JAMES HATCHER,2096,,25.0,18.0,13.0,25.0,21.0,(29.0),-,-,-,-,-,-,-,-,-,-,-,27.0,45.0,32.0,40.0,12.0,20.0,12.0,32.0,(55.0),(51.0),4.0,11.0,472.0,337.0
44,ALEKSANDRA BLINNIKKA,95,FIN,(61.0),35.0,(46.0),39.0,29.0,38.0,7.0,27.0,28.0,33.0,38.0,31.0,(49.0),33.0,46.0,21.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,571.0,415.0
44,ROMAIN GHIO,4204,,24.0,(25.0),7.0,9.0,23.0,14.0,-,-,-,-,-,-,-,-,-,-,-,(72.0),48.0,23.0,50.0,17.0,12.0,10.0,(65.0),61.0,17.0,15.0,18.0,510.0,348.0
45,LINOY GEVA,2835,,36.0,19.0,48.0,(57.0),41.0,40.0,3.0,46.0,37.0,(59.0),39.0,(52.0),31.0,42.0,42.0,2.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,603.0,435.0
45,TOMER VARDIMON,4897,ISR,(32.0),21.0,17.0,21.0,29.0,26.0,-,-,-,-,-,-,-,-,-,-,-,(63.0),20.0,55.0,(64.0),9.0,4.0,9.0,30.0,40.0,61.0,2.0,10.0,513.0,354.0
46,SARA CHOLNOKY,4340,,47.0,47.0,33.0,30.0,45.0,(58.0),13.0,39.0,(54.0),50.0,(55.0),41.0,36.0,32.0,35.0,9.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,628.0,461.0
46,NIKLAS LILLELUND,3705,DEN,7.0,27.0,8.0,16.0,(39.0),23.0,-,-,-,-,-,-,-,-,-,-,-,24.0,48.0,52.0,(75.0),14.0,8.0,12.0,(76.0),53.0,43.0,8.0,13.0,546.0,356.0
47,MATTEO BENZ,3317,,16.0,(39.0),12.0,15.0,31.0,24.0,-,-,-,-,-,-,-,-,-,-,-,33.0,57.0,45.0,(65.0),7.0,21.0,19.0,(60.0),24.0,31.0,14.0,14.0,527.0,363.0
47,BRUNA MELLO,672,,42.0,43.0,38.0,44.0,42.0,48.0,12.0,48.0,(50.0),(53.0),(54.0),22.0,18.0,40.0,39.0,19.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,621.0,464.0
48,JOOST VINK,2312,NED,(33.0),18.0,16.0,28.0,25.0,22.0,-,-,-,-,-,-,-,-,-,-,-,55.0,24.0,51.0,33.0,15.0,7.0,15.0,(62.0),(67.0),42.0,6.0,7.0,526.0,364.0
48,WAI-YAN NGAI,5079,,43.0,36.0,35.0,(49.0),46.0,46.0,12.0,38.0,(47.0),36.0,35.0,47.0,(53.0),37.0,41.0,8.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,616.0,467.0
49,RADOSLAW FURMANSKI,4084,POL,31.0,22.0,(46.0),28.0,11.0,20.0,-,-,-,-,-,-,-,-,-,-,-,46.0,31.0,(62.0),32.0,12.0,11.0,8.0,(48.0),37.0,46.0,16.0,13.0,520.0,364.0
49,ANNA KHVORIKOVA,293,,49.0,(57.0),30.0,29.0,50.0,37.0,14.0,40.0,38.0,35.0,(56.0),54.0,54.0,45.0,(73.0),12.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,691.0,505.0
50,ODA STOKSTAD-BADHOLT,3774,,45.0,(56.0),47.0,51.0,37.0,50.0,15.0,(54.0),51.0,32.0,53.0,45.0,38.0,27.0,(54.0),10.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,677.0,513.0
50,MAX BEAMAN,3352,GBR,39.0,24.0,26.0,27.0,(80.0),20.0,-,-,-,-,-,-,-,-,-,-,-,48.0,(73.0),50.0,20.0,18.0,4.0,4.0,34.0,(53.0),33.0,18.0,12.0,583.0,377.0
51,SIL HOEKSTRA,4474,,13.0,24.0,24.0,(31.0),18.0,19.0,-,-,-,-,-,-,-,-,-,-,-,(68.0),37.0,47.0,(60.0),13.0,12.0,18.0,54.0,54.0,23.0,8.0,13.0,536.0,377.0
51,SOFIA RENNA,4529,ITA,48.0,42.0,(58.0),40.0,51.0,44.0,9.0,(57.0),53.0,54.0,41.0,38.0,43.0,43.0,(73.0),21.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,723.0,535.0
52,ALISA ENGELMANN,161,GER,56.0,52.0,(63.0),55.0,(57.0),51.0,10.0,51.0,49.0,46.0,40.0,32.0,47.0,55.0,(58.0),8.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,738.0,560.0
52,MADS JEPSEN,2991,,15.0,20.0,17.0,12.0,(25.0),22.0,-,-,-,-,-,-,-,-,-,-,-,(59.0),50.0,(58.0),56.0,19.0,13.0,20.0,31.0,45.0,45.0,13.0,9.0,529.0,387.0
53,HELENA WANSER,1855,,(55.0),(61.0),51.2,47.0,44.0,53.0,16.0,47.0,48.0,45.0,46.0,50.0,(73.0),50.0,47.0,12.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,755.2,566.2
53,CHING-YIN CHENG,855,,23.0,26.0,(32.0),24.0,22.0,18.0,-,-,-,-,-,-,-,-,-,-,-,(80.0),68.0,27.0,(74.0),13.0,10.0,11.0,38.0,42.0,54.0,10.0,3.0,575.0,389.0
54,JEROME PASQUETTE,2186,,26.0,31.0,(61.0),33.0,26.0,32.0,-,-,-,-,-,-,-,-,-,-,-,44.0,33.0,38.0,(78.0),10.0,21.0,11.0,41.0,33.0,(67.0),5.0,9.0,599.0,393.0
54,LINA ERZEN,2814,,57.0,55.0,(73.0),33.0,48.0,47.0,14.0,50.0,(59.0),52.0,59.0,46.0,(62.0),47.0,53.0,9.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,774.0,580.0
55,KAMIL MANOWIECKI,2460,,23.0,30.0,22.0,(46.0),27.0,21.0,-,-,-,-,-,-,-,-,-,-,-,(64.0),60.0,37.0,(67.0),15.0,8.0,12.0,49.0,35.0,34.0,18.0,7.0,575.0,398.0
55,ONISHI FUJIKO,3824,,53.0,53.0,53.0,54.0,47.0,52.0,13.0,49.0,46.0,(55.0),43.0,(73.0),(65.0),44.0,43.0,21.0,19.0,-,-,-,-,-,-,-,-,-,-,-,-,783.0,590.0
56,DANIEL BASIK-TASHTASH,1018,,13.0,25.0,19.0,(32.0),30.0,27.0,-,-,-,-,-,-,-,-,-,-,-,28.0,(64.0),61.0,(71.0),9.0,21.0,14.0,51.5,46.0,39.0,4.0,14.0,568.5,401.5
56,DANAE PONTIFEX,1013,GRE,50.0,51.0,54.0,(61.0),34.0,(60.0),10.0,53.0,55.0,51.0,(61.0),49.0,50.0,52.0,52.0,16.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,774.0,592.0
57,RYTIS JASIUNAS,4267,LTU,20.0,(50.0),37.0,25.0,22.0,13.0,-,-,-,-,-,-,-,-,-,-,-,41.0,54.0,60.0,18.0,11.0,21.0,16.0,55.0,(75.0),(63.0),7.0,9.0,597.0,409.0
57,TUVA OPPEDAL,4924,NOR,29.0,(58.0),45.0,(64.0),(61.0),56.0,17.0,56.0,56.0,43.0,58.0,53.0,55.0,48.0,57.0,21.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,794.0,611.0
58,STEPHEN ALLEN,4606,,27.0,15.0,18.0,16.0,15.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,53.0,51.0,(64.0),59.0,8.0,8.0,5.0,(80.0),48.0,56.0,18.0,18.0,592.0,415.0
58,JANA SLIVOVA,2126,,52.0,(73.0),(73.0),45.0,53.0,45.0,12.0,52.0,57.0,(60.0),57.0,60.0,56.0,49.0,51.0,14.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,824.0,618.0
