Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
63,"DON WHITCRAFT, DYLAN WHITCRAFT",1165,THA,21.0,23.0,16.0,12.0,19.0,(25.0),16.0,13.0,8.0,13.0,16.0,-,-,-,-,-,-,-,-,182.0,157.0
64,"THEO REVIL, TIMOTHEE DEPERY",4738,,26.0,24.0,23.0,17.0,(27.0),24.0,15.0,10.0,10.0,8.0,2.0,-,-,-,-,-,-,-,-,186.0,159.0
65,"ENZO LOBRY, LOUIS RAYNAL",1321,,18.0,15.0,(22.0),19.0,22.0,19.0,10.0,15.0,7.0,14.0,22.0,-,-,-,-,-,-,-,-,183.0,161.0
66,"CAMPBELL STANTON, WILL SHAPLAND",711,NZL,21.0,23.0,19.0,22.0,(24.0),16.0,4.0,4.0,19.0,23.0,11.0,-,-,-,-,-,-,-,-,186.0,162.0
67,"HARRISON SLY, THOMAS DWYER",1813,,25.0,17.0,23.0,13.0,25.0,(26.0),18.0,6.0,15.0,20.0,3.0,-,-,-,-,-,-,-,-,191.0,165.0
68,"SAM MORGAN, PAT MORGAN",4289,,22.0,16.0,19.0,20.0,21.0,17.0,21.0,9.0,5.0,19.0,(24.0),-,-,-,-,-,-,-,-,193.0,169.0
69,"JUHO KOTIRANTA, ROBIN BERNER",2375,,(24.0),23.0,21.0,17.0,19.0,21.0,9.0,18.0,1.0,21.0,20.0,-,-,-,-,-,-,-,-,194.0,170.0
70,"AHMED AL HASANI, ABDULRAHMAN AL MASHARI",47,,22.0,(25.0),20.0,25.0,24.0,6.0,13.0,16.0,14.0,17.0,23.0,-,-,-,-,-,-,-,-,205.0,180.0
71,"RYAN WOOD, ANDREW WOOD",4266,,26.0,14.0,(27.0),22.0,25.0,20.0,20.0,20.0,20.0,7.0,7.0,-,-,-,-,-,-,-,-,208.0,181.0
72,"LEWIS ANDERSON, REECE CAULFIELD",2778,,9.0,19.0,26.0,15.0,22.0,21.0,19.0,(27.0),13.0,24.0,18.0,-,-,-,-,-,-,-,-,213.0,186.0
73,"DYLAN JONES, JONATHAN KELLY",1194,,(27.0),22.0,17.0,25.0,26.0,26.0,14.0,25.0,21.0,16.0,10.0,-,-,-,-,-,-,-,-,229.0,202.0
74,"HAYDEN HARDING, CASEY BATES",1833,,(24.0),24.0,21.0,24.0,24.0,19.0,12.0,24.0,16.0,22.0,17.0,-,-,-,-,-,-,-,-,227.0,203.0
75,"BEAU JUNK, ALEXANDER MARINELLI",481,,18.0,(26.0),25.0,26.0,23.0,25.0,17.0,17.0,18.0,18.0,21.0,-,-,-,-,-,-,-,-,234.0,208.0
76,"HAYDEN BROWN, MACKENZIE BIRD",1832,,23.0,(26.0),22.0,26.0,23.0,24.0,23.0,23.0,23.0,15.0,13.0,-,-,-,-,-,-,-,-,241.0,215.0
77,"WILLIAM BRIDGE, JOSHUA SLOMAN",5140,,25.0,21.0,21.0,25.0,25.0,25.0,24.0,19.0,17.0,(26.0),19.0,-,-,-,-,-,-,-,-,247.0,221.0
78,"DYLAN JANUS, CONOR HAY",1192,,22.0,(27.0),27.0,26.0,26.0,23.0,25.0,22.0,24.0,25.0,25.0,-,-,-,-,-,-,-,-,272.0,245.0
