Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,MRQ,Total,Nett
60,EMILY HALL,1298,,27.0,32.0,31.0,19.0,37.0,29.0,(46.0),28.0,3.0,9.0,6.0,25.0,1.0,15.0,19.0,23.0,24.0,(45.0),-,-,419,266
61,ZHEN HUANG,5272,CHN,19.0,23.0,41.0,27.0,47.0,33.0,29.0,29.0,24.0,32.0,5.0,7.0,1.0,1.0,-,-,-,-,-,-,318,198
61,DANAE PONTIFEX,1013,GRE,23.0,22.0,(46.0),16.0,25.0,20.0,19.0,23.0,15.0,13.0,18.0,16.0,19.0,13.0,37.0,18.0,36.0,(45.0),-,-,424,271
62,FABIAN WOLF,1395,GER,38.0,24.0,34.0,36.0,31.0,39.0,26.0,35.0,3.0,3.0,4.0,3.0,9.0,2.0,-,-,-,-,-,-,287,201
62,LUCY KENYON,2928,GBR,31.0,27.0,34.0,35.0,33.0,30.0,25.0,29.0,17.0,19.0,28.0,17.0,3.0,11.0,5.0,28.0,25.0,(45.0),-,-,442,300
63,DILARA URALP PALOMBO,1130,TUR,25.0,24.0,28.0,29.0,30.0,36.0,27.0,26.0,21.0,25.0,16.0,22.0,25.0,19.0,13.0,26.0,15.0,13.0,-,-,420,303
63,JINGYE HUANG,2222,CHN,47.0,33.0,28.0,31.0,26.0,30.0,23.0,33.0,13.0,16.0,6.0,6.0,2.0,13.0,-,-,-,-,-,-,307,211
64,CAROLA COLASANTO,759,,(46.0),36.0,38.0,34.0,32.0,26.0,29.0,30.0,16.0,28.0,15.0,13.0,7.0,11.0,23.0,16.0,23.0,20.0,-,-,443,308
64,RADOSLAW FURMANSKI,4084,POL,37.0,31.0,30.0,23.0,29.0,(58.0),(58.0),27.0,4.0,12.0,9.0,4.0,7.0,15.0,-,-,-,-,-,-,344,213
65,MALIK HOVELING HOVELING,3034,,25.0,26.0,29.0,27.0,27.0,26.0,29.0,25.0,8.0,5.0,16.0,12.0,23.0,19.0,-,-,-,-,-,-,297,216
65,MAYA GYSLER,3389,NOR,(46.0),29.0,33.0,33.0,38.0,33.0,23.0,(46.0),23.0,14.0,25.0,8.0,17.0,23.0,11.0,(45.0),13.0,19.0,-,-,479,317
66,LUKA MRATOVIC,2939,,33.0,29.0,25.0,32.0,40.0,41.0,34.0,33.0,6.0,7.0,7.0,8.0,12.0,8.0,-,-,-,-,-,-,315,222
