Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,F,Q,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,SQ,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,20Q,SMQ,M/F5Q,Total,Nett
60,"JESPER BAHR, FYNN KAUFHOLD",2192,GER,29.0,26.0,30.0,20.0,32.0,31.0,11.0,32.0,24.0,-,-,(47.0),34.0,(47.0),18.0,12.0,5.0,28.0,(47.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,473.0,426.0
61,MATIAS DYCK,3304,ECU,23.0,20.0,33.0,31.0,22.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,(49.0),3.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,208.0,159.0,
61,KATERINA ALTMANNOVA,2502,CZE,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,(35.0),19.0,19.0,(49.0),31.0,21.0,21.0,21.0,20.0,,23.0,7.0,14.0,(48.0),(37.0),29.0,11.0,33.0,5.0,24.0,8.0,-,-,475.0,306.0
61,LIN PLETIKOS,2812,SLO,30.0,39.0,23.0,28.0,22.0,24.0,24.0,3.0,20.0,-,-,24.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,239.0,200.0
61,LEONARDO TOMASINI,2759,ITA,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,7.0,17.0,29.0,11.0,30.0,(38.0),36.0,31.0,(40.0),-,425.0,3.0,8.0,1.0,5.0,5.0,7.0,15.0,(28.0),(22.0),-,,-,337.25,209.25
61,"JENS-CHRISTIAN DEHN-TOFTEHOJ, MADS FUGLBJERG",2177,DEN,18.0,32.0,30.0,31.0,(37.0),33.0,(37.0),(37.0),15.0,-,-,31.0,25.0,20.0,22.0,36.0,38.0,34.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,482.0,444.0
61,"ROSA DONNER, NIKLAS HABERL",4223,AUT,(32.0),(32.0),(32.0),(32.0),(32.0),(31.0),(31.0),(31.0),(31.0),-,-,(31.0),(31.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,346.0,314.0
62,GIOVANNA PRADA,1677,BRA,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,(35.0),25.0,31.0,33.0,25.0,(34.0),33.0,27.0,24.0,,28.0,10.0,(48.0),11.0,15.0,13.0,14.0,(18.0),8.0,9.0,2.0,-,-,443.0,308.0
62,"MARTIN WIZNER, JAIME WIZNER",3237,ESP,6.0,(37.0),13.0,35.0,28.0,28.0,22.0,23.0,11.0,-,-,37.0,26.0,5.0,(47.0),39.0,(47.0),(47.0),(47.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,498.0,451.0
62,ARTHIT MIKHAIL ROMANYK,382,THA,11.0,(35.0),23.0,8.0,21.0,30.0,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,23.0,14.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,196.0,161.0,
62,HAO CHEN,1810,CHN,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,27.0,(35.0),25.0,23.0,22.0,25.0,28.0,28.0,(43.0),-,1.0,1.0,1.0,1.0,5.0,(27.0),19.0,3.0,(60.0),4.0,-,,-,378.0,213.0
62,PIA CONRADI,4010,GER,21.0,33.0,42.0,13.0,36.0,8.0,20.0,26.0,7.0,-,-,33.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,243.0,201.0
63,MAKOTO TOMIZAWA,3023,JPN,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,7.0,31.0,21.0,19.0,(33.0),23.0,29.0,(43.0),15.0,-,7.0,7.0,3.0,5.0,(19.0),11.0,(33.0),11.0,9.0,15.0,-,,-,341.0,213.0
63,ALEXANDRE BOITE,134,FRA,18.0,23.0,16.0,24.0,14.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0,16.0,31.0,(43.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,218.0,175.0,
63,"DUNCAN GREGOR, FREDDIE LONSDALE",1183,GBR,29.0,34.0,16.0,27.0,21.0,34.0,20.0,(37.0),35.0,-,-,(47.0),43.0,41.0,17.0,23.0,21.0,26.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500.0,453.0
63,YU CHEN,5233,CHN,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,23.0,(37.0),(49.0),37.0,33.0,33.0,34.0,28.0,34.0,,30.0,(23.0),10.0,15.0,3.0,11.0,9.0,(19.0),4.0,11.0,12.0,-,-,455.0,327.0
63,MARILENA MAKRI,3154,CYP,31.0,40.0,41.0,39.0,14.0,1.0,40.0,1.0,17.0,-,-,21.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,246.0,205.0
64,SYLVIE STANNAGE,4657,AUS,28.0,38.0,27.0,34.0,29.0,17.0,21.0,9.0,11.0,-,-,17.0,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,250.0,212.0
64,ANASTASIOS PANAGIOTIDIS,208,GRE,26.0,26.0,26.0,25.0,2.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,(39.0),18.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,215.0,176.0,
64,SOPHIA  MEYER,4539,GER,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,(35.0),31.0,35.0,31.0,33.0,29.0,(37.0),24.0,25.0,,27.0,21.0,12.0,6.0,21.0,(25.0),16.0,11.0,(22.0),3.0,13.0,-,-,457.0,338.0
64,"JAN PERNARCIC, GIOVANNI SANDRINI",2120,ITA,(37.0),24.0,(37.0),28.0,31.0,18.0,27.0,(37.0),(37.0),-,-,(47.0),41.0,9.0,(47.0),16.0,20.0,35.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,501.0,454.0
64,FEDERICO ALAN PILLONI,1419,ITA,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,13.0,11.0,9.0,15.0,(39.0),21.0,24.0,60.0,(32.0),-,11.0,6.0,21.0,3.0,(23.0),3.0,1.0,6.0,13.0,(60.0),-,,-,371.0,217.0
65,FABIAN WOLF,1395,GER,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,25.0,25.0,25.0,11.0,(31.0),28.0,26.0,(44.0),24.0,-,5.0,5.0,(60.0),(27.0),17.0,1.0,9.0,13.0,4.0,3.0,-,,-,383.0,221.0
65,FUJIKO ONISHI,1578,JPN,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,(39.0),19.0,33.0,25.0,19.0,(48.0),35.0,38.0,32.0,,35.0,(48.0),11.0,(20.0),17.0,19.0,12.0,14.0,10.0,16.0,20.0,-,-,510.0,355.0
65,NIKOLAJ BORCH,3711,DEN,22.0,21.0,38.0,23.0,33.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,12.0,(39.0),22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,227.0,188.0,
65,SOPHIE ZIMMERMANN,4556,PER,32.0,31.0,35.0,36.0,10.0,4.0,39.0,2.0,24.0,-,-,29.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,255.0,216.0
65,"VALENTIN MULLER, MORITZ FIEBIG",4965,GER,19.0,20.0,26.0,29.0,31.0,32.0,29.0,30.0,28.0,-,-,(47.0),37.0,39.0,23.0,38.0,34.0,23.0,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,510.0,463.0
66,YOSHIHIRO SUZUKI,5231,JPN,22.0,23.0,24.0,19.0,20.0,(43.0),-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,18.0,19.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231.0,188.0,
66,SARA SAVELLI,4341,ITA,47.0,19.0,31.0,37.0,33.0,7.0,(31.0),24.0,5.0,-,-,7.0,33.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,274.0,227.0
66,ALEKSANDRA BLINNIKKA,95,FIN,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,25.0,27.0,31.0,21.0,(39.0),29.0,(44.0),30.0,31.0,,35.0,26.0,25.0,(31.0),15.0,13.0,(35.0),20.0,12.0,7.0,23.0,-,-,519.0,370.0
66,JUOZAS BERNOTAS,2425,LTU,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,15.0,21.0,25.0,25.0,(36.0),(37.0),31.0,19.0,27.0,-,13.0,(17.0),5.0,3.0,3.0,7.0,7.0,12.0,(21.0),9.0,-,,-,333.0,222.0
66,"MALTHE EBDRUP, CLEMENT AASHOLM-BRADLEY",3041,DEN,21.0,33.0,32.0,18.0,32.0,34.0,28.0,27.0,34.0,-,-,10.0,42.0,35.0,35.0,37.0,28.0,36.0,38.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,520.0,478.0
67,"PAVLOS KAGIALIS, IOANNIS ORFANOS",3932,GRE,27.0,27.0,(37.0),21.0,27.0,23.0,35.0,34.0,27.0,-,-,33.0,18.0,40.0,(47.0),(47.0),(47.0),32.0,33.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,555.0,508.0
67,XIAONI CHEN,5185,CHN,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,27.0,29.0,37.0,33.0,35.0,31.0,38.0,(40.0),33.0,,(40.0),20.0,21.0,14.0,11.0,7.0,8.0,17.0,(23.0),20.0,(28.0),-,-,512.0,381.0
67,MAX BEAMAN,3352,GBR,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,33.0,27.0,15.0,17.0,(43.0),29.0,20.0,3550.0,(50.0),-,3.0,14.0,10.0,9.0,(41.0),(41.0),1.0,2.0,3.0,8.0,-,,-,401.5,226.5
67,CATERINA ROMERO,785,PER,24.0,33.0,34.0,35.0,29.0,31.0,13.0,16.0,16.0,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,263.0,228.0
67,JUSTIN BARTH,2431,GER,28.0,23.0,(44.0),22.0,24.0,30.0,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,41.0,11.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233.0,189.0,
68,"MATEUSZ GWOZDZ, LUKASZ MACHOWSKI",3275,POL,34.0,33.0,(37.0),33.0,33.0,30.0,27.0,29.0,31.0,-,-,36.0,19.0,26.0,(47.0),24.0,31.0,41.0,(47.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,558.0,511.0
68,DANAE PONTIFEX,1013,GRE,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,31.0,35.0,33.0,(41.0),39.0,32.0,(41.0),27.0,29.0,,34.0,(48.0),17.0,13.0,9.0,(37.0),15.0,25.0,13.0,22.0,16.0,-,-,557.0,390.0
68,RENAR ROOLAHT,4128,EST,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,17.0,15.0,23.0,17.0,25.0,(60.0),(60.0),25.0,45.0,-,(36.0),(29.0),13.0,7.0,7.0,13.0,15.0,4.0,1.0,6.0,-,,-,418.0,233.0
68,ADRIANA PENRUDDOCKE,25,BER,27.0,37.0,44.0,30.0,39.0,5.0,7.0,44.0,19.0,-,-,2.0,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,279.0,235.0
68,TIM,4803,GER,GERTC4,27.0,12.0,31.0,25.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,(42.0),12.0,31.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,231.0,189.0
69,SANTIAGO SAMPAIO,4332,POR,11.0,25.0,31.0,32.0,15.0,24.0,-,-,-,-,-,-,-,-,-,-,-,-,-,(42.0),15.0,26.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,232.0,190.0,
69,"GUSTAV AASHOLM-BRADLEY, FREDERIK RAGAN MELBYE",1755,DEN,36.0,30.0,28.0,26.0,34.0,33.0,34.0,31.0,33.0,-,-,35.0,(47.0),37.0,33.0,(47.0),18.0,39.0,39.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,580.0,533.0
69,GUNHAK CHOI,1753,KOR,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,19.0,33.0,23.0,23.0,29.0,(58.0),32.0,25.0,(39.0),-,2.0,(16.0),14.0,5.0,7.0,5.0,3.0,(21.0),5.0,10.0,-,,-,369.0,235.0
69,MOLLY SACKER,3540,GBR,36.0,21.0,34.0,46.0,45.0,12.0,4.0,15.0,(51.0),-,-,4.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,286.0,235.0
69,ADA TAN,11,TUR,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,33.0,19.0,27.0,35.0,31.0,36.0,(39.0),(39.0),34.0,,39.0,11.0,16.0,19.0,11.0,9.0,26.0,(29.0),24.0,(33.0),26.0,-,-,536.0,396.0
70,LAURA SCHEWE,2706,GER,42.0,30.0,21.0,28.0,(52.0),35.0,18.0,18.0,10.0,-,-,15.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,298.0,246.0
70,"ANDRE REGUERO, ANDRE GUARAGNA",229,PUR,(37.0),34.0,33.0,33.0,35.0,35.0,32.0,(37.0),(37.0),-,-,38.0,44.0,38.0,(47.0),(47.0),(47.0),40.0,40.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,654.0,607.0
