Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
44,"FREDERIK RASK, NIKOLAJ HOFFMANN BUHL",1561,DEN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,19.0,20.0,15.0,14.0,16.0,19.0,18.0,15.0,(25.0),12.0,12.0,0.0,0.0,0.0,0.0,207,182
45,"LEVI SLAP, MAX SLAP",2772,BEL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,28.0,15.0,(30.0),20.0,19.6,17.0,25.0,10.0,5.0,19.0,22.0,0.0,0.0,0.0,0.0,"215,6","185,6"
46,"NILS CARSTENSEN, JAN FRIGGE",3720,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(35.0),18.0,27.0,9.0,15.0,22.0,16.0,8.0,14.0,25.0,20.0,20.0,0.0,0.0,0.0,0.0,229,194
47,"HUGO FEDRIGUCCI, VIRGIL AUBRIOT",1937,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(31.0),21.0,16.0,1.0,24.0,38.0,10.0,20.0,17.0,25.0,11.0,18.0,0.0,0.0,0.0,0.0,232,201
48,"PAVEL KALINCHEV, PAVEL KARACHOV",3930,RUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0,13.0,15.0,10.0,15.0,13.0,15.0,(25.0),25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,226,201
49,"STYLIANOS SOTIRIOU, ALFONSO PANAGIOTIDIS",4632,GRE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,15.0,20.0,24.0,(25.0),22.0,4.0,17.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,234,209
50,"TIM ELSNER, MORITZ KLINGENBERG",4806,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.0,(27.0),22.0,21.0,22.0,14.0,3.0,5.0,6.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,159,132
51,"KONSTANTIN NOSOV, ALEKSANDR GAIDAENKO",2611,RUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(29.0),25.0,23.0,23.0,18.0,14.0,9.0,1.0,4.0,5.0,13.0,4.0,0.0,0.0,0.0,0.0,168,139
52,"HENRY LLOYD WILLIAMS, WILLIAM ALLOWAY",1881,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,26.0,(27.0),22.0,27.0,20.0,4.0,3.0,3.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,167,140
53,"CHRISTOPHER TAYLOR, SAMUEL BATTEN",895,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,(38.0),18.0,29.0,19.0,38.0,5.0,2.0,1.0,6.0,10.0,25.0,0.0,0.0,0.0,0.0,197,159
54,"HANNES WESTBERG, ALBIN BOMAN",1801,SWE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,23.0,(26.0),12.0,19.0,25.0,1.0,9.0,17.0,10.0,6.0,16.0,0.0,0.0,0.0,0.0,189,163
55,"YAN CHEKH, IVAN ZOTOV",5200,RUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,15.0,(38.0),27.0,38.0,27.0,6.0,12.0,5.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,218,180
56,"PONTUS DACKHAMMAR, MARCUS HOGLANDER",4056,SWE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,17.0,(38.0),25.0,30.0,26.0,11.0,7.0,7.0,17.0,12.0,12.0,0.0,0.0,0.0,0.0,228,190
57,"TOBIAS HEMDORFF, SEBASTIAN BYRSTING",4843,DEN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.0,22.0,24.0,26.0,24.0,(30.0),7.0,25.0,2.0,1.0,25.0,18.0,0.0,0.0,0.0,0.0,221,191
58,"ANTONIS TSIBOUKELIS, STYLIANOS NOUTSOS",346,GRE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(33.0),29.0,25.0,24.0,29.0,29.0,18.0,8.0,8.0,13.0,5.0,10.0,0.0,0.0,0.0,0.0,231,198
59,"VICTOR SILEN, CHRISTOFFER SILEN",5026,FIN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.0,25.0,28.0,(35.0),29.0,29.0,16.0,6.0,12.0,15.0,2.0,9.0,0.0,0.0,0.0,0.0,237,202
60,"DENIS SHCHEGLOV, MICHAIL POPOV",1089,RUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,(38.0),38.0,28.0,27.0,32.0,15.0,14.0,9.0,12.0,11.0,5.0,0.0,0.0,0.0,0.0,252,214
61,"JOLBERT VAN DIJK, PIM VAN VUGT",2286,NED,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,(38.0),38.0,32.0,18.0,35.0,25.0,4.0,11.0,2.0,14.0,17.0,0.0,0.0,0.0,0.0,257,219
62,"SAMUEL CURTIS, BENJAMIN CRAGG",4306,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.0,28.0,(38.0),32.0,32.0,27.0,8.0,11.0,25.0,16.0,18.0,7.0,0.0,0.0,0.0,0.0,269,231
63,"JACOB CLASEN, JOHANNES DREESEN",2056,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.0,(38.0),26.0,20.0,38.0,26.0,25.0,25.0,13.0,14.0,1.0,14.0,0.0,0.0,0.0,0.0,270,232
64,"ROBERT DICKSON, SEAN WADDILOVE",4168,IRL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0,(38.0),38.0,26.0,33.0,30.0,10.0,16.0,25.0,25.0,8.0,2.0,0.0,0.0,0.0,0.0,271,233
