Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
24,"FEDERICO ALONSO TELLECHEA, ARTURO ALONSO TELLECHEA",1421,,14.0,20.0,17.0,19.0,20.0,(26.0),14.0,18.0,26.0,21.0,17.0,10.0,-,222.0,196.0
24,PAULINE LIEBIG,3925,GER,31.0,(56.0),5.0,15.0,12.0,3.0,26.0,31.0,50.0,30.0,-,-,-,259.0,203.0
25,"LUCAS RUAL, EMILE AMOROS",2911,FRA,8.0,24.0,22.0,27.0,18.0,23.0,(29.0),22.0,27.0,3.0,5.0,24.0,-,232.0,203.0
25,MARIE BARRUE,3140,FRA,37.0,22.0,(42.0),25.0,6.0,37.0,21.0,8.0,23.0,26.0,-,-,-,247.0,205.0
26,"LEVI SLAP, JOACHIM D'HONDT",2771,,16.0,9.0,(27.0),24.0,25.0,21.0,21.0,19.0,23.0,16.0,26.0,16.0,-,243.0,216.0
26,JOYCE FLORIDIA,2351,ITA,33.0,8.0,10.0,20.0,37.0,(41.0),19.0,10.0,27.0,41.0,-,-,-,246.0,205.0
27,PERNELLE MICHON,3962,FRA,15.0,13.0,25.0,(46.0),36.0,8.0,14.0,33.0,26.0,37.0,-,-,-,253.0,207.0
27,"HUGO FEDRIGUCCI, VIRGIL AUBRIOT",1937,FRA,17.0,16.0,(29.0),20.0,19.0,12.0,20.0,23.0,19.0,29.0,29.0,29.0,-,262.0,233.0
28,NAZLI CAGLA DONERTAS,3624,TUR,32.0,25.0,20.0,41.0,29.0,39.0,(56.0),11.0,16.0,12.0,-,-,-,281.0,225.0
28,"VICTOR SILEN, CHRISTOFFER SILEN",5026,FIN,19.0,26.0,16.0,23.0,28.0,27.0,(29.0),26.0,24.0,29.0,27.0,27.0,-,301.0,272.0
29,HADDON HUGHES,1769,USA,19.0,(52.0),33.0,44.0,41.0,14.0,12.0,35.0,20.0,13.0,-,-,-,283.0,231.0
30,DAPHNE VAN DER VAART,1044,NED,14.0,23.0,21.0,38.0,24.0,32.0,(56.0),56.0,10.0,17.0,-,-,-,291.0,235.0
31,MARTINA REINO CACHO,3242,ESP,18.0,27.0,19.0,(45.0),33.0,27.0,35.0,30.0,28.0,24.0,-,-,-,286.0,241.0
32,EKATERINA ZYUZINA,1222,RUS,38.0,36.0,(56.0),33.0,9.0,56.0,30.0,19.0,6.0,29.0,-,-,-,312.0,256.0
33,DONGSHUANG ZHANG,1170,CHN,20.0,12.0,44.0,12.0,38.0,26.0,29.0,(49.0),43.0,36.0,-,-,-,309.0,260.0
34,VALENTINA BALBI,4967,ITA,41.0,38.0,31.0,27.0,26.0,20.0,23.0,21.0,34.0,(44.0),-,-,-,305.0,261.0
35,SANDRA LULIC,4318,CRO,49.0,29.0,(50.0),48.0,18.0,6.0,16.0,43.0,31.0,33.0,-,-,-,323.0,273.0
36,MAELLE FRASCARI,2994,,30.0,35.0,23.0,43.0,34.0,(56.0),24.0,23.0,48.0,27.0,-,-,-,343.0,287.0
37,PIA KUHLMANN,4013,GER,(52.0),49.0,51.0,19.0,23.0,24.0,17.0,41.0,44.0,21.0,-,-,-,341.0,289.0
38,CAROLINA ALBANO,760,ITA,34.0,18.0,28.0,42.0,39.0,31.0,(56.0),28.0,37.0,46.0,-,-,-,359.0,303.0
39,LOUISE CERVERA,2886,FRA,12.0,45.0,27.0,(56.0),28.0,28.0,39.0,56.0,30.0,39.0,-,-,-,360.0,304.0
40,AOIFE HOPKINS,350,IRL,26.0,50.0,48.0,22.0,53.0,43.0,8.0,27.0,36.0,(56.0),-,-,-,369.0,313.0
41,RUBEI YUAN,4233,CHN,25.0,42.0,47.0,34.0,44.0,25.0,(56.0),40.0,39.0,20.0,-,-,-,372.0,316.0
42,AISLING KELLER,57,IRL,44.0,30.0,26.0,24.0,27.0,22.0,(56.0),56.0,46.0,42.0,-,-,-,373.0,317.0
43,DOLORES MOREIRA FRASCHINI,1156,URU,28.0,34.0,24.0,35.0,16.0,13.0,(56.0),56.0,56.0,56.0,-,-,-,374.0,318.0
44,ANNA POHLAK,300,EST,35.0,32.0,45.0,26.0,46.0,35.0,(56.0),32.0,33.0,40.0,-,-,-,380.0,324.0
45,ERICA PARTANEN,1330,FIN,42.0,46.0,43.0,47.0,(49.0),23.0,32.0,45.0,38.0,18.0,-,-,-,383.0,334.0
46,ATHANASIA FAKIDI,406,GRE,45.0,44.0,40.0,(50.0),47.0,47.0,36.0,36.0,32.0,38.0,-,-,-,415.0,365.0
47,AINA BAUZA ROIG,54,ESP,43.0,39.0,41.0,32.0,48.0,34.0,40.0,42.0,47.0,(50.0),-,-,-,416.0,366.0
48,DANIELA RIVERA,1037,VEN,40.0,48.0,38.0,(49.0),43.0,38.0,27.0,47.0,40.0,49.0,-,-,-,419.0,370.0
49,FRANCESCA FRAZZA,1521,ITA,47.0,43.0,34.0,(51.0),42.0,48.0,28.0,34.0,51.0,51.0,-,-,-,429.0,378.0
50,CRISTINA PUJOL,981,ESP,46.0,37.0,36.0,36.0,(52.0),50.0,33.0,46.0,49.0,48.0,-,-,-,433.0,381.0
51,ECEM GUZEL,1198,TUR,54.0,40.0,(56.0),37.0,45.0,46.0,38.0,37.0,41.0,47.0,-,-,-,441.0,385.0
52,PALOMA SCHMIDT GUTIERREZ,3866,PER,(51.0),51.0,37.0,39.0,51.0,49.0,41.0,44.0,45.0,43.0,-,-,-,451.0,400.0
53,CORAILE VITTECOQ,951,,53.0,47.0,49.0,(56.0),50.0,42.0,56.0,48.0,52.0,45.0,-,-,-,498.0,442.0
54,MARIT BOUWMEESTER,3179,NED,2.0,(56.0),56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,-,-,-,506.0,450.0
55,ANDREA NORDQUIST,233,SUI,(56.0),56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,-,-,-,560.0,504.0
