Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
121,FENG PATRICK ZITENG,1440,,57.0,65.0,71.0,53.0,48.0,(76.0),28.0,38.0,23.0,-,459.0,383.0
122,BERBEROV MIHAIL,528,,63.0,55.0,66.0,66.0,32.0,47.0,54.0,8.0,(77.0),-,468.0,391.0
123,MAIER JONAH,3009,,61.0,59.0,63.0,60.0,(67.0),49.0,45.0,28.0,26.0,-,458.0,391.0
124,WARNBERG ARON,5093,,(65.0),57.0,59.0,59.0,43.0,51.0,39.0,40.0,57.0,-,470.0,405.0
125,TISCHER CHRISTOPH ALEXANDER,4831,,63.0,(72.0),67.0,62.0,63.0,56.0,47.0,18.0,37.0,-,485.0,413.0
126,TALIJUNAS GIEDRIUS,4672,,57.0,(71.0),71.0,48.0,69.0,48.0,60.0,48.0,16.0,-,488.0,417.0
127,AMARAL LUIZ FELIPE,180,,48.0,61.0,62.0,20.0,65.0,53.0,53.0,(77.0),56.0,-,495.0,418.0
128,SCHACKE JACOB,4374,,64.0,60.0,67.0,45.0,(70.0),64.0,55.0,27.0,49.0,-,501.0,431.0
129,BARL JURE,451,,67.0,(73.0),64.0,68.0,57.0,67.0,52.0,25.0,36.0,-,509.0,436.0
130,DUBRA KARLIS,1180,,60.0,48.0,69.0,67.0,62.0,61.0,(77.0),34.0,41.0,-,519.0,442.0
131,STROMME TINUS,4627,,66.0,(69.0),66.0,68.0,69.0,58.0,21.0,65.0,33.0,-,515.0,446.0
132,STEFFAN FERDINAND,4593,,68.0,60.0,61.0,56.0,67.0,(76.0),36.0,59.0,39.0,-,522.0,446.0
133,HOMME HALAND SOREN,1912,,52.0,67.0,(74.0),65.0,61.0,60.0,57.0,35.0,51.0,-,522.0,448.0
134,SUNDERLAND WILLIAM,4639,,59.0,57.0,61.0,63.0,(66.0),61.0,58.0,26.0,65.0,-,516.0,450.0
135,ARVEDI ANDREA,395,,(71.0),68.0,68.0,69.0,60.0,62.0,51.0,10.0,63.0,-,522.0,451.0
136,BOSSI JEREMY,630,,67.0,58.0,65.0,61.0,51.0,51.0,(77.0),46.0,52.0,-,528.0,451.0
