Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,1Q,2Q,3Q,4Q,5Q,6Q,7Q,Total,Nett
50,FREDERIKSEN KENNETH,1563,,16.0,(46.0),31.0,40.0,-,-,28.0,32.0,38.0,(55.0),54.0,31.0,41.0,412.0,311.0
51,WOLGRAM KAI,5164,,25.0,21.0,26.0,(30.0),-,-,37.0,29.0,33.0,37.0,56.0,48.0,(63.0),405.0,312.0
51,CHELLI VALENTINA,836,,(51.0),(54.0),51.0,51.0,41.0,47.0,51.0,42.0,39.0,48.0,-,-,-,475.0,370.0
52,RICCI LUCREZIA LUNA,4147,,41.0,46.0,53.0,53.0,(57.0),(57.0),49.0,32.0,57.0,54.0,-,-,-,499.0,385.0
52,LAUKKANEN NOEL,2693,,35.0,(50.0),15.0,13.0,-,-,(63.0),52.0,16.0,63.0,48.0,37.0,39.0,431.0,318.0
53,TANFERNA ENRICO,4686,,47.0,36.0,10.0,(55.0),-,-,34.0,25.0,(63.0),42.0,50.0,38.0,54.0,454.0,336.0
53,COMPANY BLANCA,937,,52.0,36.0,47.0,50.0,(57.0),51.0,(53.0),52.0,47.0,52.0,-,-,-,497.0,387.0
54,LEE WONN KYE,2728,,10.0,45.0,34.0,(50.0),-,-,(63.0),47.0,42.0,38.0,46.0,27.0,51.0,453.0,340.0
54,PARODI NINA,3883,,48.0,54.0,54.0,(57.0),(57.0),57.0,45.0,37.0,51.0,55.0,-,-,-,515.0,401.0
55,BOCCUNI TOMMASO,606,,38.0,30.0,(49.0),36.0,-,-,46.0,57.0,53.0,12.0,42.0,(59.0),34.0,456.0,348.0
55,INI BEATRICE,1994,,(57.0),(57.0),57.0,57.0,57.0,57.0,57.0,57.0,33.0,39.0,-,-,-,528.0,414.0
56,BOUCKAERT LAURA,634,,55.0,(57.0),(57.0),57.0,57.0,57.0,54.0,55.0,52.0,57.0,-,-,-,558.0,444.0
56,IOANNIDIS ALEXANDROS,1996,,35.0,(52.0),42.0,27.0,-,-,42.0,49.0,40.0,43.0,39.0,(57.0),48.0,474.0,365.0
57,SAMORODNY TADEUSZ WITOLD,4298,,21.0,(56.0),50.0,33.0,-,-,43.0,46.0,43.0,39.0,40.0,(53.0),52.0,476.0,367.0
58,JANSEN LARS,2139,,29.0,(44.0),44.0,21.0,-,-,51.0,(54.0),39.0,36.0,51.0,52.0,50.0,471.0,373.0
59,AHMAD ASRI MUHAMMAD FAIZAL,45,,29.0,(48.0),38.0,36.0,-,-,52.0,50.0,47.0,14.0,55.0,(56.0),55.0,480.0,376.0
60,GONZALVEZ FONS JORGE,1706,,15.0,(57.0),47.0,42.0,-,-,39.0,48.0,55.0,48.0,47.0,(58.0),56.0,512.0,397.0
61,HIGGINS JOSHUA,1896,,21.0,36.0,48.0,(58.0),-,-,48.0,55.0,51.0,50.0,(58.0),55.0,46.0,526.0,410.0
62,VAN DER VALK STIJN,4983,,13.0,(55.0),52.0,34.0,-,-,49.0,56.0,48.0,58.0,59.0,(63.0),63.0,550.0,432.0
