Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,Total,Nett
44,"GABRIEL SKOCZEK ,  SEBASTIEN SCOTTO DI FASANO",1590,FRA,15.0,16.0,(26.0),10.0,22.0,23.0,4.0,26.0,16.0,18.0,23.0,13.0,5.0,-,217,191
44,"MARTINA CASTAGNA, LUCIA MIANI",3241,ITA,(25.0),25.0,25.0,25.0,18.0,18.0,19.0,23.0,23.0,23.0,18.0,17.0,17.0,0.0,276,251
45,"YAN CHEKH ,  IVAN ZOTOV",5199,RUS,18.0,(28.0),11.0,15.0,24.0,5.0,19.0,21.0,19.0,21.0,17.0,21.0,3.0,-,222,194
45,"KATE MACGREGOR, KIRSTIE URWIN",2496,GBR,17.0,18.0,13.0,20.0,(23.0),23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.0,275,252
46,"RUFINA TAN, CONNIE RIVERRA TSEN",4240,MAS,(25.0),25.0,25.0,25.0,23.0,20.0,14.0,23.0,23.0,23.0,17.0,23.0,12.0,0.0,278,253
46,"CHRIS TAYLOR ,  SAM BATTEN",865,GBR,7.0,19.0,(22.0),21.0,15.0,22.0,11.0,16.0,16.0,16.0,18.0,19.0,15.0,-,217,195
47,"KLARA WESTER, REBECCA NETZLER",2590,SWE,25.0,(25.0),25.0,25.0,23.0,15.0,17.0,23.0,23.0,23.0,23.0,23.0,23.0,0.0,293,268
47,"DAVID MORI ,  JUSTIN BARNES",1060,CAN,(28.0),18.0,21.0,11.0,23.0,3.0,24.0,16.0,17.0,13.0,24.0,22.0,26.0,-,246,218
48,"NILS CARSTENSEN ,  JAN FRIGGE",3719,GER,(38.0),27.0,22.0,12.0,20.0,24.0,16.0,18.0,18.0,20.0,20.0,14.0,12.0,-,261,223
49,"ALEC ANDERSON ,  CHRISTOPHER BROCKBANK",83,IVB,30.0,(38.0),24.0,2.0,14.0,20.0,21.0,26.0,26.0,26.0,21.0,8.0,26.0,-,282,244
50,"ANDREW MOLLERUS ,  MATTHEW MOLLERUS",259,USA,(38.0),25.0,20.0,7.0,17.0,26.0,26.0,23.0,21.0,23.0,26.0,26.0,26.0,-,304,266
51,"GUSTAV PETTERSON ,  MARCUS ANJEMARK",1756,SWE,22.0,20.0,(38.0),32.0,1.0,2.0,2.0,1.0,2.0,1.0,14.0,2.0,7.0,-,144,106
52,"JOLBERT VAN DIJK ,  DANIEL BRAMERVAER",2284,NED,(26.0),25.0,17.0,24.0,2.0,7.0,1.0,11.0,6.0,15.0,7.0,1.0,2.0,-,144,118
53,"JAKOB MEGGENDORFER ,  MARCO GRASSE",2079,GER,21.0,(30.0),28.0,29.0,9.0,6.0,8.0,4.0,4.0,3.0,5.0,4.0,1.0,-,152,122
54,"DAVID LIEBENBERG ,  DANIEL MORRIS",1058,USA,(27.0),24.0,16.0,26.0,5.0,3.0,7.0,2.0,3.0,5.0,10.0,18.0,5.0,-,151,124
55,"TOBIAS HEMDORFF ,  SEBASTIAN BYRSTING",4842,DEN,29.0,24.0,(34.0),25.0,3.0,1.0,3.0,7.0,1.0,2.0,15.0,9.0,9.0,-,162,128
56,"MARIO SEGERS ,  FEDERICO VILLAMBROSA",3169,ARG,20.0,(38.0),34.0,16.0,19.0,11.0,9.0,5.0,9.0,7.0,2.0,15.0,4.0,-,189,151
57,"KIM NICLAS HOLSTE ,  YANNIK HOLSTE",2566,GER,23.0,28.0,12.0,(34.0),7.0,22.0,5.0,3.0,5.0,25.0,1.0,7.0,19.0,-,191,157
58,"VICTOR PAYA CANAL ,  ENRIQUE ORTIZ RAPALO",5024,ESP,26.0,(38.0),14.0,28.0,6.0,13.0,25.0,6.0,11.0,13.0,21.0,3.0,3.0,-,207,169
59,"TIM FISCHER ,  FABIAN GRAF",4808,GER,(38.0),30.0,29.0,30.0,22.0,5.0,11.0,14.0,7.0,6.0,6.0,5.0,8.0,-,211,173
60,"LARS VAN STEKELENBORG ,  FLORIS VAN DE WERKEN",2687,NED,(32.0),29.0,23.0,27.0,12.0,4.0,6.0,8.0,8.0,4.0,8.0,25.0,25.0,-,211,179
61,"VICTOR SILEN ,  CHRISTOFFER SILEN",5025,FIN,30.0,(34.0),30.0,27.0,20.0,8.0,4.0,16.0,12.0,14.0,4.0,6.0,12.0,-,217,183
62,"GRAEME WILLCOX ,  ANDREW TARBOTON",1714,RSA,(27.0),27.0,15.0,23.0,17.0,9.0,12.0,15.0,14.0,16.0,12.0,13.0,13.0,-,213,186
63,"TOM METHVEN ,  WILLIAM ALLOWAY",4861,GBR,24.0,18.0,(26.0),25.0,4.0,18.0,15.0,25.0,25.0,25.0,9.0,8.0,10.0,-,232,206
64,"SAMUEL CURTIS ,  BENJAMIN CLEGG",4305,GBR,29.0,26.0,31.0,(38.0),15.0,10.0,10.0,10.0,15.0,9.0,22.0,16.0,25.0,-,256,218
65,"JACOB CLASEN ,  JOHANNES DREESEN",2055,GER,(38.0),29.0,38.0,33.0,10.0,12.0,20.0,9.0,25.0,8.0,18.0,14.0,11.0,-,265,227
66,"EETU KOTIRANTA ,  TOM WENDT",1210,FIN,31.0,32.0,(35.0),10.0,14.0,21.0,13.0,25.0,13.0,10.0,23.0,19.0,21.0,-,267,232
67,"JAMES OLSSON ,  HENRIK ERIKSSON",2100,SWE,(38.0),26.0,33.0,37.0,18.0,25.0,19.0,13.0,10.0,25.0,16.0,12.0,6.0,-,278,240
68,"MAX STINGELE ,  LUKAS SCHAPER",3367,GER,(38.0),38.0,27.0,29.0,8.0,14.0,22.0,12.0,25.0,25.0,13.0,11.0,16.0,-,278,240
69,"OSCAR SILEN ,  ARTHUR THERMAN",3835,FIN,(38.0),31.0,30.0,32.0,16.0,15.0,18.0,17.0,25.0,25.0,17.0,10.0,14.0,-,288,250
70,"MAX MARCOUR ,  DOMINIC FRITZE",3363,GER,(38.0),38.0,31.0,35.0,13.0,17.0,14.0,25.0,25.0,25.0,3.0,21.0,20.0,-,305,267
71,"TOMI OIKKONEN ,  RISTO PESOLA",4898,FIN,(38.0),38.0,32.0,34.0,24.0,23.0,21.0,25.0,18.0,11.0,11.0,17.0,17.0,-,309,271
72,"OLE KUCK ,  MATS LUDWIG",3799,GER,(38.0),31.0,32.0,31.0,11.0,20.0,16.0,25.0,25.0,25.0,20.0,20.0,18.0,-,312,274
73,"HUGO FEDRIGUCCI ,  VIRGIL AUBRIOT",1935,FRA,(38.0),38.0,38.0,36.0,23.0,16.0,17.0,25.0,16.0,17.0,19.0,22.0,15.0,-,320,282
74,"JASPER STEFFENS ,  TOM LENNART BRAUCKMANN",2151,GER,(38.0),33.0,33.0,31.0,21.0,19.0,25.0,25.0,17.0,12.0,25.0,25.0,25.0,-,329,291
