Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,Total,Nett
24,ALEKSI TAPPER,100,FIN,3.0,9.0,19.0,9.0,18.0,35.0,16.0,25.0,134.0,99.0
25,ALISE SANTORUM,162,ITA,31.0,53.0,37.0,34.0,30.0,15.0,-,-,242.0,189.0
25,MIHAIL BERBEROV,3472,BUL,39.0,25.0,17.0,38.0,32.0,25.0,29.0,-,205.0,166.0
25,CAROLINA ALBANO,760,ITA,17.0,26.0,22.0,1.0,22.0,13.0,27.0,0.0,128.0,102.0
25,TIM CONRADI,4804,GER,26.0,8.0,16.0,(47.0),27.0,23.0,25.0,-,172.0,125.0
25,LOURENCO MATEUS,2888,POR,16.0,1.0,18.0,26.0,2.0,9.0,32.0,28.0,132.0,100.0
26,MATILDA NICHOLLS,3307,GBR,32.0,25.0,5.0,10.0,21.0,5.0,42.0,0.0,140.0,108.0
26,AMELIE ELSTNER,185,GER,50.0,41.0,39.0,5.0,36.0,(56.0),-,-,240.0,190.0
26,ALESSANDRO FRACASSI,102,ITA,44.0,35.0,31.0,30.0,35.0,15.0,32.0,-,222.0,178.0
26,ROBERTO RINALDI,4176,ITA,23.0,38.0,18.0,14.0,26.0,19.0,32.0,-,170.0,132.0
26,CESARE BARABINO,807,ITA,15.0,14.0,16.0,12.0,5.0,27.0,23.0,17.0,129.0,102.0
27,EVANGELIA KARAGEORGOU,1374,GRE,3.0,11.0,13.0,38.0,18.0,18.0,47.0,0.0,148.0,110.0
27,ACHILLEAS GHICAS,10,GRE,35.0,24.0,25.0,39.0,35.0,32.0,27.0,-,217.0,178.0
27,VIKTOR KATELIEV,5042,ESP,8.0,11.0,20.0,28.0,33.0,38.0,34.0,-,172.0,134.0
27,KLARA HIMMELOVA,2588,CZE,14.0,40.0,28.0,37.0,34.0,231.0,-,-,190.0,
27,REM PULCI MAGEN,4126,ISR,10.0,23.0,8.0,16.0,7.0,28.0,28.0,10.0,130.0,102.0
28,ANASTASIOS PANAGIOTIDIS,208,GRE,34.0,1.0,15.0,18.0,10.0,18.0,40.0,7.0,143.0,103.0
28,ALENKA VALENCIC,101,SLO,27.0,2.0,28.0,8.0,12.0,(56.0),37.0,0.0,170.0,114.0
28,ALEXANDROS IOANNIDIS,138,GRE,13.0,16.0,13.0,23.0,37.0,34.0,38.0,-,174.0,136.0
28,CLARA GRAVELY,908,CAN,38.0,10.0,52.0,42.0,31.0,(56.0),-,-,243.0,191.0
28,MALCOLM BENN SMITH,3028,BER,39.0,24.0,33.0,35.0,30.0,24.0,37.0,-,222.0,183.0
29,MAYA PILNIK,3392,ISR,42.0,48.0,41.0,19.0,38.0,13.0,-,-,245.0,197.0
29,ECEM GUZEL,1198,TUR,10.0,31.0,26.0,21.0,(56.0),12.0,20.0,0.0,176.0,120.0
29,JUSTIN BARTH,2431,GER,1.0,13.0,2.0,11.0,11.0,(47.0),(47.0),19.0,151.0,104.0
29,LEOPOLD BRANDL,2764,GER,38.0,39.0,6.0,34.0,41.0,28.0,39.0,-,225.0,184.0
29,ADOLFO VIRGILI PASQUAL DEL RIQUELME,21,ESP,21.0,29.0,16.0,14.0,38.0,26.0,30.0,-,174.0,136.0
30,ARISTOTELIS CHATZISTAMATIOU,367,GRE,32.0,7.0,41.0,42.0,42.0,27.0,36.0,-,227.0,185.0
30,EBRU BOLAT,1197,ROU,24.0,40.0,17.0,14.0,29.0,5.0,33.0,0.0,162.0,122.0
30,YOGEV ALCALAY,5227,ISR,(47.0),32.0,14.0,21.0,12.0,24.0,35.0,-,185.0,138.0
30,ALEXANDRE KOWALSKI,137,FRA,31.0,8.0,3.0,6.0,29.0,17.0,13.0,34.0,141.0,107.0
30,MARINA SERRANO CASTRO,3161,ESP,20.0,42.0,45.0,23.0,25.0,42.0,-,-,245.0,197.0
31,KAI WOLGRAM,2450,GBR,43.0,40.0,38.0,37.0,36.0,39.0,14.0,-,247.0,204.0
31,VALERIY KUDRYASHOV,4974,UKR,24.0,34.0,26.0,12.0,24.0,29.0,24.0,-,173.0,139.0
31,GIORGIA DELLA VALLE,1673,ITA,19.0,17.0,(56.0),6.0,(56.0),8.0,16.0,0.0,178.0,122.0
31,PIETRO GIACOMONI,4025,ITA,4.0,5.0,4.0,30.0,23.0,33.0,43.0,11.0,153.0,110.0
31,GESA PAPENTHIN,1651,GER,16.0,45.0,(56.0),31.0,35.0,22.0,-,-,255.0,199.0
32,LOUKIANOS ZAMIT,2887,GRE,20.0,22.0,26.0,19.0,32.0,37.0,20.0,-,176.0,139.0
32,MILAN VUJASINOVIC,3490,CRO,2.0,26.0,17.0,11.0,6.0,31.0,44.0,27.0,164.0,120.0
32,MICHAEL PALIOS,3452,GRE,29.0,41.0,34.0,40.0,40.0,31.0,35.0,-,250.0,209.0
32,BEATA DOKOUPILOVA,479,CZE,28.0,44.0,7.0,26.0,53.0,50.0,-,-,253.0,200.0
32,YELYZAVETA VYNOHRADOVA,5220,UKR,36.0,14.0,37.0,5.0,17.0,9.0,43.0,0.0,161.0,124.0
33,JASON KEFALLONITIS,2148,GRE,28.0,4.0,30.0,1.0,7.0,40.0,11.0,44.0,165.0,121.0
33,TOMASZ BENDLEWSKI,4892,POL,30.0,44.0,41.0,41.0,38.0,38.0,22.0,-,254.0,210.0
33,VEJAS STRELCIUNAS,5004,LTU,29.0,20.0,39.0,16.0,26.0,27.0,22.0,-,179.0,140.0
33,MARIA ELENI KALAKONA,3117,GRE,13.0,(56.0),15.0,38.0,46.0,35.0,-,-,258.0,202.0
33,SILVIA ZENNARO,4489,ITA,47.0,8.0,34.0,26.0,28.0,7.0,21.0,0.0,171.0,124.0
34,ARTHUR FARLEY,387,GBR,19.0,21.0,37.0,4.0,4.0,24.0,12.0,40.0,161.0,121.0
34,DIEGO PELETEIRO HERRERO,1126,ESP,36.0,33.0,43.0,42.0,41.0,(46.0),21.0,-,262.0,216.0
34,BOZIDAR GOLUBIC,640,CRO,41.0,9.0,35.0,12.0,36.0,28.0,23.0,-,184.0,143.0
34,SARA SAVELLI,4341,ITA,20.0,30.0,32.0,17.0,12.0,20.0,25.0,0.0,156.0,124.0
34,PETRA MASTELIC,3982,CRO,36.0,24.0,47.0,51.0,29.0,39.0,-,-,254.0,203.0
35,DIANA MARKOVA,1112,BUL,47.0,43.0,20.0,33.0,40.0,256.0,-,-,206.0,
35,ARTHIT MIKHAIL ROMANYK,382,THA,2.0,12.0,32.0,20.0,15.0,30.0,31.0,14.0,156.0,124.0
35,KAREL RATNIK,2477,EST,41.0,43.0,42.0,37.0,44.0,26.0,31.0,-,264.0,220.0
35,MARIA VITTORIA ARSENI,3133,ITA,(29.0),9.0,31.0,11.0,32.0,14.0,31.0,0.0,157.0,125.0
35,FILIP OLSZEWSKI,1462,POL,15.0,40.0,13.0,27.0,30.0,21.0,37.0,-,183.0,143.0
36,PEP CAZADOR,3955,ESP,19.0,14.0,11.0,30.0,8.0,23.0,20.0,41.0,166.0,125.0
36,ATHANASIOS TRIGKONIS,408,GRE,43.0,34.0,40.0,37.0,45.0,36.0,33.0,-,268.0,223.0
36,NETHRA KUMANAN,3635,IND,(42.0),18.0,34.0,(56.0),17.0,3.0,12.0,0.0,182.0,126.0
36,MARIA VLACHOU,3134,GRE,21.0,35.0,40.0,40.0,41.0,248.0,-,-,206.0,
36,ANTON MESSERITSCH,336,AUT,28.0,30.0,5.0,29.0,25.0,43.0,29.0,-,189.0,146.0
37,MIA MARIN LILIENTHAL,3439,EST,(56.0),45.0,41.0,22.0,42.0,18.0,-,-,265.0,209.0
37,CHRISTOPHER MARSH,893,THA,8.0,18.0,28.0,19.0,35.0,39.0,42.0,-,189.0,147.0
37,GONZALO SUAREZ PEREZ,1705,ESP,38.0,11.0,18.0,2.0,21.0,19.0,22.0,36.0,167.0,129.0
37,SHEILA MARTINEZ,4454,ESP,45.0,22.0,7.0,9.0,18.0,15.0,(56.0),0.0,172.0,127.0
37,GIOVANNI DE PAULI,1680,ITA,35.0,41.0,40.0,44.0,39.0,(46.0),28.0,-,273.0,227.0
38,ATHANASIOS KYFIDIS,407,GRE,(47.0),28.0,22.0,20.0,24.0,14.0,39.0,-,194.0,147.0
38,KRISTINA BOJA,2631,SRB,41.0,36.0,26.0,33.0,43.0,49.0,-,-,263.0,220.0
38,PIA KUHLMANN,4013,GER,2.0,23.0,19.0,42.0,15.0,20.0,49.0,0.0,170.0,128.0
38,ADONIS BOUGIOURIS,22,GRE,27.0,33.0,9.0,1.0,13.0,32.0,15.0,(47.0),177.0,130.0
38,FERDINAND STEFFAN,1442,AUT,37.0,34.0,43.0,43.0,42.0,34.0,40.0,-,273.0,230.0
39,THEO PEYRE,4736,FRA,6.0,12.0,20.0,28.0,6.0,26.0,39.0,33.0,170.0,131.0
39,JONAH MAIER,2288,AUT,45.0,39.0,43.0,43.0,41.0,35.0,34.0,-,280.0,235.0
39,MATILDA TALLURI,3308,ITA,37.0,9.0,41.0,23.0,20.0,10.0,30.0,0.0,170.0,129.0
39,NICOL SEGNINI,3669,ITA,45.0,49.0,22.0,(56.0),51.0,12.0,-,-,279.0,223.0
39,TOMMASO BOCCUNI,4901,ITA,16.0,15.0,24.0,36.0,28.0,42.0,36.0,-,197.0,155.0
40,BRUNO GASPIC,676,CRO,5.0,6.0,14.0,33.0,16.0,29.0,33.0,35.0,171.0,136.0
40,ISABEL HERNANDEZ PENA,2009,ESP,25.0,25.0,23.0,24.0,3.0,23.0,32.0,0.0,155.0,130.0
40,KENJE SEM WERPERS,2537,ITA,21.0,15.0,19.0,31.0,42.0,41.0,28.0,-,197.0,155.0
40,ESTERE KUMPINA,1359,LAT,47.0,48.0,50.0,44.0,(56.0),8.0,-,-,284.0,228.0
40,TIMO COUPEK,4817,SUI,42.0,42.0,38.0,40.0,43.0,33.0,42.0,-,280.0,237.0
41,GAYA DATIASHVILI,1622,ISR,46.0,42.0,30.0,33.0,36.0,290.0,-,-,236.0,
41,DIMITRIS PAPADIMITRIOU,1134,GRE,17.0,3.0,(47.0),33.0,13.0,(46.0),(46.0),-,205.0,158.0
41,FERRUCCIO ARVEDI,1455,SUI,37.0,42.0,42.0,42.0,44.0,40.0,38.0,-,285.0,241.0
41,PHILIP WALKENBACH,3992,GER,11.0,18.0,14.0,8.0,2.0,(47.0),37.0,(47.0),184.0,137.0
41,LARA HIMMES,2680,ESP,9.0,46.0,20.0,16.0,(56.0),8.0,35.0,0.0,190.0,134.0
42,LUDVIG LINDQVIST,2931,SWE,12.0,20.0,2.0,17.0,8.0,41.0,41.0,39.0,180.0,139.0
42,ADRIANA PENRUDDOCKE,25,BER,35.0,33.0,51.0,48.0,34.0,38.0,-,-,292.0,239.0
42,PATROKLOS THEODOROS TSARAMYRSIS,3901,GRE,32.0,6.0,30.0,22.0,(33.0),35.0,40.0,-,198.0,158.0
42,ASCENSION ROCA DE TOGORES,398,ESP,25.0,32.0,43.0,10.0,27.0,6.0,36.0,0.0,179.0,136.0
42,DIONISIS FATSIADIS,1140,GRE,42.0,42.0,42.0,41.0,44.0,37.0,41.0,-,289.0,245.0
43,TEETOS TAKSINAPAN,4712,THA,44.0,43.0,45.0,45.0,45.0,41.0,43.0,-,306.0,261.0
43,PAUL VERON,3918,FRA,36.0,36.0,34.0,8.0,14.0,31.0,(46.0),-,205.0,159.0
43,HELENA WOLFF,1856,DEN,21.0,35.0,19.0,15.0,16.0,25.0,41.0,0.0,172.0,137.0
43,PAOLO FREDDI,3874,ITA,9.0,37.0,10.0,14.0,17.0,38.0,42.0,16.0,183.0,141.0
43,ELISAVET ILIOPOULOU,1255,GRE,22.0,48.0,41.0,46.0,48.0,295.0,-,-,242.0,
44,DIMITRIOS ANASTASIADIS,1132,GRE,46.0,43.0,44.0,46.0,46.0,42.0,44.0,-,311.0,265.0
44,SAMANTHA EDWARDS,4296,GBR,39.0,55.0,49.0,38.0,35.0,32.0,-,-,300.0,245.0
44,MATTEO BERTACCHI,3318,ITA,(19.0),3.0,23.0,9.0,29.0,37.0,29.0,31.0,180.0,143.0
44,SPYROS PROVELEGIOS,4565,GRE,34.0,23.0,6.0,38.0,28.0,40.0,33.0,-,202.0,162.0
44,ROSINE BAUDET,4225,SUI,8.0,6.0,26.0,34.0,35.0,21.0,44.0,0.0,174.0,139.0
45,ZACHEE WAYAG,5256,FRA,42.0,45.0,44.0,43.0,45.0,(46.0),(46.0),-,311.0,265.0
45,ANDREAS KRABBE CHRISTENSEN,241,DEN,30.0,31.0,26.0,6.0,34.0,36.0,41.0,-,204.0,163.0
45,ALFONSO FERNANDEZ,144,ESP,11.0,2.0,24.0,15.0,37.0,42.0,17.0,38.0,186.0,144.0
45,CRISTINA CASTELLANOS,977,GUA,12.0,51.0,(56.0),5.0,24.0,12.0,40.0,0.0,200.0,144.0
45,SOFIIA NAUMENKO,4536,UKR,26.0,27.0,51.0,43.0,54.0,53.0,-,-,300.0,246.0
46,JEREMY MOUTOUT,2181,MON,12.0,10.0,15.0,(47.0),16.0,34.0,27.0,42.0,203.0,156.0
46,CHRISTINA MARIA MENI,882,GRE,35.0,6.0,9.0,30.0,10.0,36.0,(56.0),0.0,182.0,146.0
