Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,Total,Nett
33,NAGISA MIURA,3598,JPN,41.0,34.0,(49.0),(47.0),46.0,-,-,-,-,-,-,-,-,-,-,-,-,34.0,36.0,33.0,32.0,3.0,46.0,-,-,-,-,-,-,-,-,-,-,-,-,401.0,305.0
34,"FRANCESCA BERGAMO, ALICE SINNO",1517,,11.0,30.0,14.0,16.0,25.0,12.0,9.0,12.0,10.0,2.0,10.0,(37.0),14.0,16.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231.0,194.0
34,"JORGE LIMA, JOSE LUIS COSTA",2321,,(31.0),31.0,15.0,20.0,4.0,9.0,22.0,13.0,11.0,1.0,2.0,19.0,3.0,10.0,2.0,12.0,-,(31.0),31.0,15.0,20.0,4.0,9.0,22.0,13.0,11.0,1.0,2.0,19.0,3.0,10.0,2.0,12.0,-,-,205.0,174.0
34,GEORGINA POVALL,1643,GBR,6.0,10.0,(27.0),13.0,19.0,-,-,-,-,-,-,-,-,-,-,-,-,37.0,28.0,35.0,40.0,(45.0),2.0,-,-,-,-,-,-,-,-,-,-,-,-,262.0,190.0
34,FILIP CISZKIEWICZ,1459,POL,16.0,(53.0),25.0,40.0,21.0,24.0,-,-,-,-,-,-,-,-,-,-,-,8.0,37.0,46.0,34.0,(53.0),6.0,-,-,-,-,-,-,-,-,-,-,-,-,363.0,257.0
34,MARIELA NIKOLOVA,3148,BUL,40.0,45.0,(57.0),(57.0),57.0,-,-,-,-,-,-,-,-,-,-,-,-,36.0,22.0,30.0,23.0,29.0,23.0,-,-,-,-,-,-,-,-,-,-,-,-,419.0,305.0
34,KEN FUJIMOTO,2536,JPN,34.0,35.0,(47.0),42.0,(49.0),47.0,-,-,-,-,-,-,-,-,-,-,-,21.0,27.0,38.0,40.0,37.0,34.0,-,-,-,-,-,-,-,-,-,-,-,-,451.0,355.0
34,WANNES VAN LAER,5088,BEL,(26.0),12.0,11.0,10.0,12.0,8.0,-,-,-,-,-,-,-,-,-,-,-,21.0,21.0,44.0,(50.0),31.0,26.0,-,-,-,-,-,-,-,-,-,-,-,-,272.0,196.0
35,"TESS LLOYD, JAIME RYAN",4723,,24.0,17.0,(27.0),14.0,15.0,26.0,20.0,4.0,22.0,15.0,6.0,11.0,23.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,227.0,200.0
35,MITCHELL KENNEDY,3519,AUS,4.0,15.0,7.0,7.0,(17.0),3.0,-,-,-,-,-,-,-,-,-,-,-,2.0,(52.0),34.0,48.0,40.0,37.0,-,-,-,-,-,-,-,-,-,-,-,-,266.0,197.0
35,STEFANI MUZAKOVA,4584,BUL,32.0,41.0,(46.0),44.0,42.0,-,-,-,-,-,-,-,-,-,-,-,-,30.0,24.0,35.0,28.0,(46.0),32.0,-,-,-,-,-,-,-,-,-,-,-,-,400.0,308.0
35,MARSHALL MCCANN,3213,USA,27.0,20.0,(33.0),24.0,16.0,23.0,-,-,-,-,-,-,-,-,-,-,-,26.0,32.0,41.0,(46.0),30.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,347.0,268.0
35,ERIKS KARLIS ZVILNA,1343,LAT,47.0,44.0,41.0,(48.0),46.0,(50.0),-,-,-,-,-,-,-,-,-,-,-,33.0,17.0,30.0,42.0,25.0,32.0,-,-,-,-,-,-,-,-,-,-,-,-,455.0,357.0
35,"YAGO LANGE, KLAUS LANGE",5194,,18.0,15.0,9.0,10.0,4.0,22.0,17.0,7.0,2.0,13.0,11.0,(33.0),11.0,17.0,22.0,1.0,-,18.0,15.0,9.0,10.0,4.0,22.0,17.0,7.0,2.0,13.0,11.0,(33.0),11.0,17.0,22.0,1.0,-,-,212.0,179.0
35,SILVIA ZENNARO,4489,ITA,10.0,9.0,(26.0),14.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,19.0,18.0,(47.0),38.0,33.0,32.0,-,-,-,-,-,-,-,-,-,-,-,-,263.0,190.0
36,"ALEXANDRA TEN HOVE, MARIAH MILLEN",133,CAN,6.0,14.0,24.0,6.0,23.0,28.0,16.0,6.0,19.0,3.0,21.0,7.0,31.0,11.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,252.0,215.0
36,MARTIN ARUJA,3224,EST,(48.0),45.0,(47.0),47.0,41.0,43.0,-,-,-,-,-,-,-,-,-,-,-,41.0,35.0,29.0,30.0,17.0,31.0,-,-,-,-,-,-,-,-,-,-,-,-,454.0,359.0
36,"JAMES GRUMMETT, DANIEL BUDDEN",2093,,14.0,4.0,14.0,13.0,6.0,23.0,16.0,8.0,6.0,19.0,13.0,8.0,14.0,(30.0),14.0,7.0,-,14.0,4.0,14.0,13.0,6.0,23.0,16.0,8.0,6.0,19.0,13.0,8.0,14.0,(30.0),14.0,7.0,-,-,209.0,179.0
36,CHUSITT PUNJAMALA,898,THA,3.0,18.0,(43.0),37.6,40.0,31.0,-,-,-,-,-,-,-,-,-,-,-,37.0,11.0,28.0,(41.0),29.0,36.0,-,-,-,-,-,-,-,-,-,-,-,-,354.6,270.6
36,JOAQUIN BLANCO ALBALAT,2249,ESP,9.0,(22.0),11.0,4.0,7.0,9.0,-,-,-,-,-,-,-,-,-,-,-,40.0,19.0,38.0,(41.0),38.0,24.0,-,-,-,-,-,-,-,-,-,-,-,-,262.0,199.0
36,CAROLINA ALBANO,760,ITA,18.0,19.0,13.0,(26.0),11.0,-,-,-,-,-,-,-,-,-,-,-,-,28.0,28.8,39.0,27.0,10.0,(40.0),-,-,-,-,-,-,-,-,-,-,-,-,260.0,193.8
36,LOUISA PANAYIOTOU,2884,CYP,35.0,(46.0),37.0,(57.0),43.0,-,-,-,-,-,-,-,-,-,-,-,-,41.0,44.0,31.0,36.0,24.0,24.0,-,-,-,-,-,-,-,-,-,-,-,-,418.0,315.0
37,KOICHIRO SUGIYAMA,2606,JPN,(49.0),33.0,(49.0),48.0,46.0,44.0,-,-,-,-,-,-,-,-,-,-,-,40.0,29.0,5.0,43.0,36.0,36.0,-,-,-,-,-,-,-,-,-,-,-,-,458.0,360.0
37,"SIRRE KRONLOF, SELMA VALJUS",4512,,21.0,5.0,21.0,14.0,(23.0),15.0,22.0,17.0,20.0,23.0,17.0,19.0,5.0,9.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,239.0,216.0
37,DONGSHUANG ZHANG,1170,CHN,25.0,27.0,29.0,(32.0),4.0,-,-,-,-,-,-,-,-,-,-,-,-,13.0,23.0,28.0,(50.0),24.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,276.0,194.0
37,DIMITRIS PAPADIMITRIOU,1134,GRE,18.0,14.0,30.0,32.0,(40.0),38.0,-,-,-,-,-,-,-,-,-,-,-,7.0,34.0,22.0,40.0,37.0,(50.0),-,-,-,-,-,-,-,-,-,-,-,-,362.0,272.0
37,"SIMONE FERRARESE, VALERIO GALATI",4502,,13.0,21.0,13.0,1.0,12.0,11.0,8.0,19.0,4.0,16.0,23.0,5.0,17.0,(29.0),13.0,25.0,-,13.0,21.0,13.0,1.0,12.0,11.0,8.0,19.0,4.0,16.0,23.0,5.0,17.0,(29.0),13.0,25.0,-,-,230.0,201.0
37,JOAO PEDRO HERRLEIN SOUTO DE OLIVEIRA,2245,BRA,(36.0),9.0,13.0,21.0,20.0,5.0,-,-,-,-,-,-,-,-,-,-,-,39.0,32.0,16.0,35.0,11.0,(50.0),-,-,-,-,-,-,-,-,-,-,-,-,287.0,201.0
37,DEISY NHAQUILE,1080,MOZ,32.0,(47.0),45.0,(51.0),40.0,-,-,-,-,-,-,-,-,-,-,-,-,46.0,32.0,43.0,42.0,19.0,19.0,-,-,-,-,-,-,-,-,-,-,-,-,416.0,318.0
38,"TESSA PARKINSON, ELLA CLARK",4724,,21.0,16.0,11.0,3.0,18.0,23.0,18.0,29.0,18.0,4.0,24.0,20.0,6.0,6.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,254.0,217.0
38,MATHILDE DE KERANGAT,3293,FRA,(37.0),23.0,9.0,21.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,43.0,29.0,19.0,32.0,(57.0),9.0,-,-,-,-,-,-,-,-,-,-,-,-,299.0,205.0
38,ALY BADAWY,175,EGY,42.0,47.0,46.0,47.0,(50.0),(50.6),-,-,-,-,-,-,-,-,-,-,-,34.0,16.0,35.0,29.0,38.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,469.6,369.0
38,"DANIEL NYBORG, SEBASTIAN WRIGHT OLSEN",1029,,9.0,11.0,11.0,18.0,5.0,(26.0),16.0,20.0,11.0,12.0,8.0,26.0,18.0,7.0,20.0,10.0,-,9.0,11.0,11.0,18.0,5.0,(26.0),16.0,20.0,11.0,12.0,8.0,26.0,18.0,7.0,20.0,10.0,-,-,228.0,202.0
38,LUKE ELLIOTT,2961,AUS,29.0,13.0,(53.0),10.0,12.0,16.0,-,-,-,-,-,-,-,-,-,-,-,(48.0),31.0,25.0,30.0,5.0,30.0,-,-,-,-,-,-,-,-,-,-,-,-,302.0,201.0
38,KAORU ARAI,2471,JPN,48.0,(50.0),48.0,49.0,45.0,-,-,-,-,-,-,-,-,-,-,-,-,40.0,12.0,44.0,30.0,10.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,-,427.0,326.0
