Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
14,GUILLAUME GIROD,1747,SUI,24.0,27.0,17.0,13.0,7.0,37.0,(41.0),27.0,4.0,27.0,(44.0),14.0,-,-,-,-,-,-,-,-,-,-,-,282.0,197.0
15,DANIELA RIVERA,1037,VEN,(46.0),22.0,21.0,(38.0),30.0,32.0,-,22.0,14.0,16.0,22.0,-,-,-,-,-,-,-,-,-,-,-,-,179.0,263.0
15,"TINA LUTZ, SUSANN BEUCKE",4826,GER,-,-,-,-,-,-,-,4.0,3.0,14.0,14.0,(19.0),15.0,13.0,12.0,6.0,14.0,(26.0),23.0,23.0,2.0,2.0,-,190.0,145.0
15,"JORGE LIMA, JOSE COSTA",2320,POR,-,-,-,-,-,-,-,18.0,(32.0),6.0,6.0,5.0,3.0,12.0,25.0,9.0,14.0,17.0,6.0,8.0,(19.0),15.0,-,195.0,144.0
15,ROBERT SCHEIDT,4173,BRA,3.0,12.0,26.0,4.0,(35.0),(35.0),14.0,8.0,19.0,13.0,19.0,1.0,13.0,-,-,-,-,-,-,-,-,-,-,202.0,132.0
15,VIKTORIJA ANDRULYTE,5044,LTU,13.0,8.0,1.0,(30.0),12.0,9.0,-,30.0,8.0,26.0,(40.0),11.0,-,-,-,-,-,-,-,-,-,-,-,188.0,118.0
15,RYAN LO,4257,SGP,(47.0),40.0,21.0,23.0,34.0,2.0,(46.0),19.0,38.0,12.0,8.0,1.0,-,-,-,-,-,-,-,-,-,-,-,291.0,198.0
15,RODNEY GOVINDEN,4183,SEY,35.0,34.0,47.0,(51.0),20.0,40.0,6.0,9.0,17.0,(53.0),12.0,41.0,-,-,-,-,-,-,-,-,-,-,-,365.0,261.0
16,"JOEL TURNER, LEWIS BRAKE",2253,,-,-,-,-,-,-,-,27.0,(32.0),11.0,1.0,4.0,2.0,23.0,12.0,(24.0),12.0,8.0,19.0,3.0,7.0,16.0,-,201.0,145.0
16,KAMOLWAN CHANYIM,2464,THA,20.0,(37.0),(36.0),16.0,34.0,24.0,-,29.0,27.0,19.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,183.0,256.0
16,GEORGII PACHES,1642,UKR,34.0,(42.0),40.0,42.0,(46.0),9.0,42.0,10.0,41.0,25.0,2.0,17.0,-,-,-,-,-,-,-,-,-,-,-,350.0,262.0
16,JONASZ STELMASZYK,2297,POL,(38.0),21.0,21.0,24.0,31.0,8.0,11.0,47.0,(54.0),26.0,6.0,8.0,-,-,-,-,-,-,-,-,-,-,-,295.0,203.0
16,JESPER STALHEIM,2195,SWE,(25.0),9.0,3.0,20.0,20.0,5.0,13.0,12.0,39.0,(46.0),4.0,5.0,3.0,-,-,-,-,-,-,-,-,-,-,204.0,133.0
16,"LILI SEBESI, JULIE BOSSARD",2800,FRA,-,-,-,-,-,-,-,15.0,12.0,8.0,1.0,9.0,5.0,12.0,(16.0),11.0,16.0,(26.0),15.0,17.0,23.0,3.0,-,189.0,147.0
16,PAIGE RAILEY,3859,USA,1.0,40.0,(51.0),2.0,8.0,2.0,-,18.0,(51.0),6.0,14.0,30.0,-,-,-,-,-,-,-,-,-,-,-,223.0,121.0
