Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,M0Q,M1Q,M2Q,M3Q,Total,Nett
32,ROI HILLEL,4194,,9.0,9.0,(15.0),7.0,14.0,32.0,24.0,34.0,(60.0),47.0,-,-,-,-,-,-,-,-,-,-,251.0,176.0
32,NEEV ROBINSON,3628,,-,-,-,-,23.0,29.0,23.0,25.0,21.0,15.0,26.0,24.0,(37.0),25.0,(41.0),12.0,-,-,-,-,301.0,223.0
33,BERNAT TOMAS,540,ESP,9.0,7.0,9.0,(19.0),21.0,40.0,22.0,31.0,38.0,(65.0),-,-,-,-,-,-,-,-,-,-,261.0,177.0
33,ODA SVERRE,3775,NOR,-,-,-,-,23.0,25.0,9.0,29.0,9.0,3.0,34.0,28.0,28.0,(44.0),(39.0),37.0,-,-,-,-,308.0,225.0
34,ALEKSANDRA BLINNIKKA,95,FIN,-,-,-,-,13.0,17.0,7.0,7.0,19.0,13.0,41.0,(47.0),32.0,(47.0),37.0,39.0,-,-,-,-,319.0,225.0
34,ALEXANDRE COUSIN,135,,5.0,5.0,7.0,(19.0),40.0,14.0,46.0,29.0,33.0,(51.0),-,-,-,-,-,-,-,-,-,-,249.0,179.0
35,DANIELE BENEDETTI,1038,,1.0,15.0,13.0,(21.0),31.0,13.0,41.0,25.0,(55.0),42.0,-,-,-,-,-,-,-,-,-,-,257.0,181.0
35,THERESA MARIE STEINLEIN,4748,GER,-,-,-,-,17.0,11.0,11.0,13.0,9.0,33.0,30.0,35.0,33.0,(41.0),35.0,(36.0),-,-,-,-,304.0,227.0
36,LOUIS PIGNOLET,2882,FRA,(5.0),5.0,3.0,5.0,28.0,21.0,30.0,(75.0),36.0,53.0,-,-,-,-,-,-,-,-,-,-,261.0,181.0
36,BARBORA SVIKOVA,449,CZE,-,-,-,-,15.0,17.0,21.0,25.0,5.0,13.0,(45.0),30.0,(51.0),42.0,21.0,40.0,-,-,-,-,325.0,229.0
37,FURMANSKI RADOSLAW,1580,,(7.0),5.0,3.0,3.0,34.0,(56.0),32.0,42.0,52.0,14.0,-,-,-,-,-,-,-,-,-,-,248.0,185.0
37,CATRIN WILLIAMS,789,,-,-,-,-,11.0,21.0,35.0,33.0,15.0,35.0,(42.0),27.0,26.0,8.0,(53.0),23.0,-,-,-,-,329.0,234.0
38,MIKA KAFRI,3479,,-,-,-,-,35.0,15.0,13.0,9.0,19.0,7.0,35.0,32.0,34.0,36.0,(46.0),(41.0),-,-,-,-,322.0,235.0
38,STEVEN VAN BROECKHOVEN,4614,,(31.0),25.0,7.0,11.0,27.0,(50.0),36.0,17.0,23.0,48.0,-,-,-,-,-,-,-,-,-,-,275.0,194.0
39,MATHURIN JOLIVET,3300,,17.0,3.0,9.0,(37.0),23.0,26.0,35.0,23.0,(75.0),59.0,-,-,-,-,-,-,-,-,-,-,307.0,195.0
39,ANDREA TORRES FULLANA,237,ESP,-,-,-,-,17.0,17.0,23.0,11.0,17.0,19.0,(44.0),29.0,(44.0),35.0,34.0,35.0,-,-,-,-,325.0,237.0
40,LINOY GEVA,2835,,-,-,-,-,15.0,3.0,1.0,19.0,27.0,23.0,27.0,42.0,(47.0),45.0,36.0,(69.0),-,-,-,-,354.0,238.0
40,TOM SQUIRES,4869,,13.0,(37.0),7.0,9.0,(75.0),51.0,33.0,24.0,30.0,34.0,-,-,-,-,-,-,-,-,-,-,313.0,201.0
41,MAJA KUCHTA,3019,,-,-,-,-,27.0,25.0,29.0,35.0,15.0,27.0,36.0,(44.0),(45.0),29.0,5.0,17.0,-,-,-,-,334.0,245.0
41,BLOODWORTH HENRY,594,,5.0,1.0,(37.0),11.0,51.0,41.0,43.0,(53.0),19.0,45.0,-,-,-,-,-,-,-,-,-,-,306.0,216.0
42,ANNA KHVORIKOVA,293,,-,-,-,-,15.0,21.0,17.0,17.0,7.0,21.0,(55.0),36.0,(52.0),46.0,40.0,45.0,-,-,-,-,372.0,265.0
42,SEBASTIAN KORNUM,4412,,7.0,(37.0),11.0,15.0,45.0,30.0,(57.0),38.0,26.0,44.0,-,-,-,-,-,-,-,-,-,-,310.0,216.0
43,BENJAMIN TILLIER,519,,(33.0),17.0,9.0,9.0,13.0,46.0,44.0,27.0,51.0,(63.0),-,-,-,-,-,-,-,-,-,-,312.0,216.0
43,SOFIA RENNA,4529,ITA,-,-,-,-,11.0,11.0,27.0,23.0,23.0,17.0,40.0,40.0,(69.0),30.0,(55.0),46.0,-,-,-,-,392.0,268.0
44,KAMIL MANOWIECKI,2460,,(5.0),3.0,5.0,5.0,44.0,29.0,(55.0),52.0,50.0,33.0,-,-,-,-,-,-,-,-,-,-,281.0,221.0
44,KAROLINA LIPINSKA,2491,,-,-,-,-,35.0,31.0,19.0,17.0,21.0,25.0,31.0,34.0,(40.0),(69.0),29.0,26.0,-,-,-,-,377.0,268.0
45,ANGEL GRANDA ROQUE,278,,(11.0),7.0,5.0,5.0,39.0,37.0,28.0,65.0,(71.0),37.0,-,-,-,-,-,-,-,-,-,-,305.0,223.0
45,JENNIE ROBERTS,2169,GBR,-,-,-,-,9.0,21.0,17.0,15.0,27.0,15.0,39.0,(58.0),(49.0),48.0,38.0,44.0,-,-,-,-,380.0,273.0
46,LINA ERZEN,2814,,-,-,-,-,21.0,23.0,17.0,23.0,9.0,35.0,38.0,39.0,(56.0),(69.0),54.0,21.0,-,-,-,-,405.0,280.0
46,BAZ BEL,476,,7.0,5.0,9.0,(37.0),19.0,25.0,63.0,39.0,(68.0),56.0,-,-,-,-,-,-,-,-,-,-,328.0,223.0
47,DANIEL BASIK TASHTASH,1017,,5.0,9.0,11.0,(17.0),43.0,33.0,34.0,(61.0),43.0,61.0,-,-,-,-,-,-,-,-,-,-,317.0,239.0
47,ZOFIA NOCETI-KLEPACKA,5291,,-,-,-,-,13.0,11.0,35.0,13.0,19.0,21.0,(51.0),37.0,43.0,43.0,48.0,(58.0),-,-,-,-,392.0,283.0
48,THOMAS BROUCKE,4758,BEL,1.0,19.0,(37.0),21.0,49.0,42.0,(53.0),35.0,40.0,35.0,-,-,-,-,-,-,-,-,-,-,332.0,242.0
48,INGRID PUUSTA,1993,EST,-,-,-,-,19.0,23.0,9.0,35.0,23.0,29.0,(47.0),41.0,41.0,40.0,28.0,(42.0),-,-,-,-,377.0,288.0
49,DANAE PONTIFEX,1013,GRE,-,-,-,-,17.0,19.0,9.0,13.0,27.0,21.0,48.0,43.0,50.0,(54.0),42.0,(51.0),-,-,-,-,394.0,289.0
49,EYAL ZROR,1387,,(25.0),11.0,5.0,15.0,53.0,28.0,48.0,46.0,42.0,(64.0),-,-,-,-,-,-,-,-,-,-,337.0,248.0
50,JENNA GIBSON,2168,,-,-,-,-,31.0,7.0,25.0,35.0,33.0,5.0,23.0,59.0,8.0,(69.0),(69.0),69.0,-,-,-,-,433.0,295.0
50,LEONIDAS TSORTANIDIS,2760,GRE,(19.0),11.0,13.0,17.0,48.0,54.0,(56.0),43.0,24.0,40.0,-,-,-,-,-,-,-,-,-,-,325.0,250.0
51,SARA CHOLNOKY,4340,,-,-,-,-,23.0,27.0,11.0,31.0,25.0,23.0,(53.0),49.0,(69.0),39.0,33.0,38.0,-,-,-,-,421.0,299.0
51,SIL HOEKSTRA,4474,,13.0,3.0,3.0,(17.0),(75.0),61.0,40.0,58.0,53.0,20.0,-,-,-,-,-,-,-,-,-,-,343.0,251.0
52,ALISA ENGELMANN,161,GER,-,-,-,-,27.0,19.0,35.0,29.0,21.0,19.0,43.0,46.0,(48.0),32.0,30.0,(53.0),-,-,-,-,402.0,301.0
52,JOAN CARLES CARDONA BOCARANDO,2235,,13.0,(37.0),7.0,3.0,(62.0),52.0,42.0,62.0,31.0,50.0,-,-,-,-,-,-,-,-,-,-,359.0,260.0
53,MADS JEPSEN,2991,,13.0,17.0,15.0,(21.0),52.0,47.0,39.0,50.0,(57.0),32.0,-,-,-,-,-,-,-,-,-,-,343.0,265.0
53,HELENA WANSER,1855,,-,-,-,-,23.0,13.0,25.0,15.0,25.0,21.0,(56.0),(61.0),46.0,55.0,43.0,49.0,-,-,-,-,432.0,315.0
54,JEROME PASQUETTE,2186,,11.0,(37.0),11.0,13.0,38.0,45.0,58.0,49.0,(69.0),41.0,-,-,-,-,-,-,-,-,-,-,372.0,266.0
54,IULIIA KAVALERCHIK,2026,,-,-,-,-,18.0,19.0,25.0,19.0,21.0,27.0,(65.0),(54.0),42.0,50.0,49.0,47.0,-,-,-,-,436.0,317.0
