Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
25,INES GMATI,1990,TUN,14.0,26.0,(32.0),24.0,32.0,31.0,31.0,-,23.0,23.0,11.0,26.0,(36.0),26.0,-,-,-,-,-,-,-,-,-,-,335.0,267.0
26,HUGH MACRAE,1932,CAN,36.0,41.0,(57.0),(43.0),36.0,35.0,29.0,38.0,26.0,23.0,20.0,34.0,27.0,-,-,-,-,-,-,-,-,-,-,-,445.0,345.0
26,"ERIN RAFUSE, DANIELLE BOYD",1346,CAN,-,-,-,-,-,-,-,-,4.0,12.0,3.0,14.0,(20.0),12.0,15.0,14.0,5.0,1.0,2.0,(10.0),3.0,-,-,-,115.0,85.0
26,VIOLET STAFFORD,5054,CAN,6.0,33.0,(34.0),32.0,32.0,29.0,(34.0),-,26.0,25.0,22.0,12.0,26.0,25.0,-,-,-,-,-,-,-,-,-,-,336.0,268.0
26,JOYCE FLORIDIA,2351,ITA,27.0,11.0,7.0,14.0,17.0,(37.0),6.0,-,22.0,23.0,(30.0),1.0,20.0,30.0,-,-,-,-,-,-,-,-,-,-,245.0,178.0
26,COLIN CHENG,930,SIN,14.0,9.0,23.0,17.0,(31.0),5.0,7.0,20.0,11.0,25.0,29.0,(50.0),26.0,34.0,-,-,-,-,-,-,-,-,-,-,301.0,220.0
26,"RUGGERO TITA, PIETRO ZUCCHETTI",4242,ITA,-,-,-,-,-,-,-,-,18.0,(32.0),10.0,11.0,9.0,10.0,8.0,11.0,28.0,(14.0),7.0,1.0,5.0,-,-,-,164.0,118.0
27,KELLY-ANN ARRINDELL,2535,TTO,20.0,(31.0),31.0,31.0,(34.0),27.0,28.0,-,24.0,29.0,25.0,6.0,20.0,29.0,-,-,-,-,-,-,-,-,-,-,335.0,270.0
27,"ARIELLE MORGAN, HEATHER MYATT",364,CAN,-,-,-,-,-,-,-,-,10.0,6.0,17.0,(20.0),14.0,14.0,6.0,19.0,1.0,7.0,(9.0),3.0,9.0,-,-,-,135.0,106.0
27,LINE FLEM HOST,2827,NOR,18.0,(22.0),20.0,19.0,3.0,7.0,6.0,-,30.0,15.0,10.0,18.0,(35.0),35.0,-,-,-,-,-,-,-,-,-,-,238.0,181.0
