,Rating
"HOUTMAN SCIPIO, BECKER ROBIN",1381.4016554077054
"LOUIS CHAMBET, MERIK REGNAULT",1383.213994011839
"DAVID LIEBENBERG ,  DANIEL MORRIS",1384.7344987940628
"JUSTUS SCHMIDT, MAX BOEHME",1389.5702244858624
"BENJAMIN GREZ, EXEQUIEL GREZ AHRENS",1390.2631831142044
"PVIOENT ZOCPKPEERN,,  PLAINULUS",1390.724397879382
"ARIE MOFFAT, HUNTER HOY",1391.2293864301444
"CHRISTOPHER TAYLOR, SAMUEL BATTEN",1391.2553125231993
"ARISTIDE GIROU, NOAH CHAUVIN",1391.5278621287682
"SAM MORGAN, PAT MORGAN",1391.9917367831656
"GRUMMETT JAMES, BUDDEN DANIEL",1393.600446784363
"SILEN VICTOR, SILEN CHRISTOFFER",1393.6131591396227
"JAKOB MEGGENDORFER ,  MARCO GRASSE",1394.0722019399254
"ANATOLE MARTIN, MALO KENNISH",1394.558950658991
"CARL P SYLVAN, MARCUS ANJEMARK",1396.1421607443604
"GLOGOWSKI, KRUSIEC",1399.7882138369075
"ALEXANDER HEINZEMANN, JUSTIN BARNES",1400.2481575438103
"SHINGEN FURUYA, AKIRA TAKAYANAGI",1401.5828843388929
"KELAPANDATCHHAEKNKGAARP,P,VAGRAUNNAPATHY",1401.6436566133082
"RUSSELL WILLIAMS AYLSWORTH, AKIRA LUKE SAKAI",1402.123716993585
"HENRY LLOYD WILLIAMS, WILLIAM ALLOWAY",1402.2451907448153
"GANZEVLES, GAST",1402.6938351763351
"ALONSO TELLECHEA ALONSO, TELLECHEA ALONSO",1402.8999999934852
"DAVID SCHUH, LORENZ PICHLER",1402.9324888195379
"JOLBERT VAN DIJK ,  DANIEL BRAMERVAER",1403.3809054289738
"GRUMMETT, JONES",1403.9379623240889
"LOGAN DUNNING-BECK, JACK SIMPSON",1404.3523348587482
"MISCHA VON RUTI, MIRJAM ABEGGLEN",1404.6077684049924
"NATHAN OUTTERIDGE, IAIN JENSEN",1405.5432985250663
"VAN DONGEN CAS, VUGT VAN",1405.7751669177196
"MARIO TINOCO, GABRIEL BORGES",1406.7586205006558
"HUGO FEDRIGUCCI, VIRGIL AUBRIOT",1411.7549936058533
"BMUATCOHWOSWKSIK, IT, YLTUUKSASZ",1412.531028398249
"GUSTAV PETTERSON ,  MARCUS ANJEMARK",1412.6631807451545
"PANAGIOTIS KAMBOURIDIS, STELIOS NOUTSOS",1413.8059521423122
"FREDEGUCCI HUGO, GUEZ MARTIN, YCPR",1413.8555903688857
"BENJAMIN JOSE GREZ, EXEQUIEL GREZ AHRENS",1414.6343192324448
"PHILIPP ROYLA, TOM HEINRICH",1415.9884320696387
"ARRAN HOLMAN, JAMES TAYLOR",1416.0830170358183
"SAM MORGAN, PATRICK MORGAN",1417.2102176818057
"BEN HEINRICH, TOBIAS MATERN",1417.551602395449
"THOMAS BARROWS, III, JOSEPH MORRIS",1420.6268883969387
"PRAEST, LANGAGERGAARD",1421.3101657048412
MISCHA VON RUTI,1421.744590337598
"ANDREW MOLLERUS ,  MATTHEW MOLLERUS",1421.9215863639201
"KBROERMHEORN, EEND, VVAIRLLDE",1423.3904456115918
"JANEZIC PETER LIN, PRINCIC SEBASTIAN",1423.9529568067546
"SIMON HEINDL, FYNN KAUFHOLD",1424.0913464598127
"ELLIOTT WELLS, LOUIS JOHNSON",1424.6331097615582
"JOSE MANUEL RUIZ IBANEZ, POL MARSANS BALCELLS",1424.7337343906129
"PRINCE NOBLE, MANU FRANCIS",1424.9904712875411
"NICK ZELTNER, TILL SEGER",1425.611203184244
"SADE, REUVENY",1426.39066522323
"SEBASTIEN SCOTTO DI FASANO, KEVIN FISCHER",1426.7354663255499
"KURT HANSEN, SIMON HOFFMAN",1428.439187429628
"MOLLERUS, MACDIARMID",1429.4616061692543
"LUIS BUGALLO ARRIOLA, JORGE LORENZO ROMAN",1430.3356511589577
"MARCUS HANSEN ,  JOSH POREBSKI",1430.687596957895
"NOSOV KONSTANTIN, GAIDAENKO ALEKSANDR",1430.9295227207372
"KAGIALIS, ORFANOS",1430.9405352495949
"OTTO HENRY, FLYNN TWOMEY",1432.078537168826
"BNIELRSTEHNE, TJ,E PMPATEHIAS",1434.2258253509701
"TIM ELSNER, MORITZ KLINGENBERG",1434.6419169742069
"STEFAN GLAN, Z-MICHAELIS, CLEMENS KRUSE",1436.8924706451355
"SEAN WADDILOVE, ROBERT DICKSON",1437.2655034660793
"EDOARDO VALLETTA, FRANCESCO PADOVANI",1439.7457807517178
"FREDRIK BERGSTROM, AXEL MUNKBY",1440.046072396486
"ALEC ANDERSON ,  CHRISTOPHER BROCKBANK",1440.3769617531427
"ROBINS, HUGHES",1440.8467126350629
"BRAD FUNK, TREVOR BURD",1440.891107971576
"CUNICH, DAVEY",1441.641732686726
"LOKE IDRISS KISE, LAURITZ SCHMIDT",1442.560961472051
"PAVEL KALINCHEV, PAVEL KARACHOV",1442.8385018032902
"KEVIN FISCHER, NOE DELPECH",1442.8466387763085
"BAUMANN MARCO, FLACHBERGER JAKOB",1444.103755052606
"LFYUNGGLBBJEEKR, GP,H IMLLIAPDS",1445.0410690406345
"CARL EMIL SLOTH, SIMON CHRISTOFFERSEN",1445.6041132244773
"SLOTH, CHRISTOFFERSEN",1446.6874764275467
"MATT JERWOOD, MAX PAUL",1446.8135967449587
"KYOUNGDUK KIM, SANGWOO BAE",1446.891169138521
"YANNICK LEFEBVRE, JAN HEUNINCK",1447.23610871919
