,Rating
LOVISA KARLSSON,1550.360313917064
MALIN KORNICH,1551.4725433866174
ZOE THOMSON,1552.5288630099515
MOLLY SACKER,1554.4059040738096
JONATHAN ERHARD,1554.6718272700637
ZOE CLAIRE AUBERSON,1554.739947091469
FRANCISCO GUARAGNA RIGONAT,1556.3917407072893
CICCHINE' MARIA GIULIA,1556.567530469741
VERONIKA KOZELSKA FENCLOVA,1557.0204846017184
ELLA HEIDER,1557.1103580922693
SANTIAGO GUINAND,1558.1368970694175
EVIE SAUNDERS,1558.3503542852152
SODERBERG MIKAELA,1558.411130887215
JACQUELINE RECKZIEGEL,1558.5825335502398
VICTORIA LAPPE,1558.5940292255846
LOUISE CERVERA,1559.0247490989157
UTE NOACK,1559.1245119554956
BOLAT EBRU,1560.0050480625368
ERIK RISSANEN,1561.2330084929256
ANGELINA PUKROPSKI,1561.5690203321185
RICARDS MUCINS,1561.5916426250997
THORBEN FILLMANN,1562.8154794394245
FLORIDIA JOYCE,1563.7595369414425
THEA LUBAC,1564.0980108315032
BOJUN LIU,1564.2070266539763
NOAH TSCHOPP,1564.940890881768
ROELAND DEPLANCKE,1565.0468066905667
ELIOT MERCERON,1565.098112294975
JONATHAN BRINKMANN,1565.2948690287246
DIRMA EISENGA,1565.6882384740977
MILLERET PERINE,1566.0494904028365
ARIEL ZERPA,1566.1438979669201
LEONIE HEIDER,1567.1077282964393
HIMMES LARA,1567.2592894169113
GIORGIA DELLA VALLE,1567.6723661268675
ANN-SOPHIE HEINRICH,1567.8234167395383
PELAYO SALVADORES-HANSEN,1569.6641086129268
LUISE JOHN,1570.3605630510745
JOSEF MAURER,1572.2592795373941
SAHLIN SVEA,1573.699999359487
STEFANO PESCHIERA,1573.819238306498
JUAN PABLO CAROSI WARBURG,1574.1644884736822
NAZLI CAGLA DONERTAS,1574.7545309110553
LEANDRO CASPAR,1575.096599953195
KLAUS SCHULTE,1575.9543545789077
SANDER WOLFF,1576.6607295516544
KARIN FENDL-RENN,1577.1102471368176
OKE NOMMENSEN,1577.2516626679762
CHRISTOPH WURM,1578.0621887148845
SARA SAVELLI,1579.7726505177711
HANNAH ANDERSSOHN,1580.1396106312116
SANTINO LEIBIK,1581.2050871910333
VIDELO CHARLOTTE,1581.363926442987
HADDON HUGHES,1581.4729861634726
PEDRO RODRIGUEZ REYNOSO,1582.200192792011
ALICE VIRGINIA GRASSI,1582.280699395127
BRUNO FONTES,1582.5570869931876
ANDREA BUSCHMANN,1584.193373455749
LULIC SANDRA,1584.6932458516183
SANCHEZ CARLOTA,1584.917165130058
BAS BLOKZIJL,1586.3550977013394
STEFAN DR DOMOK,1587.1187745459808
CIBULE ELZA,1588.7019183014856
TOWNSEND DRU,1589.0425353012386
VOROBEVA ELENA,1589.6807643015009
CRISTINA PUJOL BAJO,1590.069395774522
FELIPE ALVES TELES REVOREDO LIMA,1590.2525322059773
CHARLOTTE STROHFELDT,1590.62440118771
