,Unnamed: 0,RANK,COUNTRY,BOAT_NUMBER,BOW,SPONSOR,CREW,CLUB,CATEGORY,NETT,TOTAL,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11F,12F,13F,14F,15F,16F,17F,18F,19F,20F,QF,SF,F
47,47,48,CHN,11,,,MANJIA ZHENG,,OPEN,205.0,307.0,17-0-0,39-1-0,21-0-0,29-0-0,35-1-0,24-0-RDG,24-0-0,33-0-0,16-0-0,23-0-0,1-0-0,1-0-0,3-0-0,1-0-0,3-0-0,10-1-0,2-0-0,18-1-0,4-0-0,3-0-0,nan-0-0,nan-0-0,nan-0-0
48,48,49,ITA,239,,,CAROLA  COLASANTO,TOGNAZZI MARINE VILLAGE,U23,209.0,327.0,43-1-0,7-0-0,39-1-0,35-0-0,17-0-0,20-0-0,22-0-0,29-0-0,29-0-0,22-0-0,6-0-0,2-0-0,9-1-0,27-1-0,5-0-0,5-0-0,1-0-0,1-0-0,2-0-0,6-0-0,nan-0-0,nan-0-0,nan-0-0
49,49,50,GER,369,,"WüRTTEMBERGISCHER YACHT-CLUB, SEGELVERBAND BADEN-WüRTTEMBERG, SEGELSPORT GRöNWOHLD, XCEL WETSUITS",ALISA ENGELMANN,WÜRTTEMBERGISCHER YACHT-CLUB,OPEN,213.7,326.7,27-1-0,29-1-0,23-0-0,27-0-0,27-0-0,2220-0-RDG,20-0-0,26-0-0,19-0-0,24-0-0,3-0-0,9-1-0,350-0-RDG,1-0-0,1-0-0,1-0-0,5-0-0,6-0-0,5-0-0,48-1-DNC,nan-0-0,nan-0-0,nan-0-0
50,50,51,GBR,667,,,JENNIE ROBERTS,WEYMOUTH & PORTLAND NATIONAL SAILING ACADEMY,OPEN,239.0,368.0,25-0-0,33-1-0,29-0-0,35-1-0,9-0-0,17-0-0,25-0-0,17-0-0,25-0-0,25-0-0,9-0-0,6-0-0,8-0-0,5-0-0,33-1-0,17-0-0,4-0-0,28-1-0,14-0-0,4-0-0,nan-0-0,nan-0-0,nan-0-0
51,51,52,CZE,289,,RODOP/MYSTIC/AUTO POKORNY/OLYMPCSMV/CSJ/JIRKA&JIRKA/BCSN,KRISTYNA PINOSOVA,TJ RAPID BRNO,U23,240.0,321.0,25-0-0,27-1-0,29-1-0,23-0-0,25-0-0,25-0-0,14-0-0,22-0-0,23-0-0,48-0-DNE,5-0-0,3-0-0,12-1-0,3-0-0,7-0-0,13-1-0,3-0-0,3-0-0,1-0-0,10-0-0,nan-0-0,nan-0-0,nan-0-0
52,52,53,JPN,4,,ELLEAIR,RINA  NIIJIMA,,OPEN,242.0,344.0,19-0-0,15-0-0,23-0-0,19-0-0,23-0-0,27-0-0,31-1-0,28-0-0,35-1-0,29-0-0,2-0-0,19-1-0,4-0-0,17-1-0,15-0-0,6-0-0,6-0-0,9-0-0,8-0-0,9-0-0,nan-0-0,nan-0-0,nan-0-0
53,53,54,ITA,4,,STUFFER/UVEX/SUEDTIROLERSPORTHILFE,LINDA OPRANDI,WINDSURFING CLUB KALTERN,U23,246.0,371.0,45-1-0,11-0-0,21-0-0,23-0-0,29-1-0,22-0-0,28-0-0,20-0-0,22-0-0,25-0-0,4-0-0,15-0-0,7-0-0,13-0-0,11-0-0,3-0-0,9-0-0,32-1-0,12-0-0,19-1-0,nan-0-0,nan-0-0,nan-0-0
54,54,55,TUR,191,,FENERBAHçE DOğUş YELKEN,DILARA URALP PALOMBO,FENERBAHÇE SAILING CLUB,OPEN,249.0,348.0,15-0-0,41-1-0,25-0-0,33-1-0,13-0-0,27-0-0,31-0-0,23-0-0,32-0-0,29-0-0,14-1-0,8-0-0,2-0-0,7-0-0,5-0-0,7-0-0,10-0-0,11-1-0,10-0-0,5-0-0,nan-0-0,nan-0-0,nan-0-0
55,55,56,CHN,917,,,WUNIU AYU,SICHUAN QIONGHAI WATERSPORTS SCHOOL,OPEN,255.0,382.0,17-0-0,29-0-0,31-0-0,27-0-0,27-0-0,24-0-0,32-0-0,26-0-0,48-1-UFD,34-1-0,22-1-0,5-0-0,1-0-0,7-0-0,23-1-0,4-0-0,16-0-0,2-0-0,6-0-0,1-0-0,nan-0-0,nan-0-0,nan-0-0
56,56,57,CZE,80,,RODOP/PENZIONUSADILKU/LIBERECKY KRAJ,NELA SADILKOVA,TJ DELFÍN,U23,280.0,393.0,29-1-0,23-0-0,15-0-0,23-0-0,21-0-0,25-0-0,28-1-0,22-0-0,27-0-0,18-0-0,17-0-0,4-0-0,23-1-0,5-0-0,19-0-0,20-0-0,13-0-0,15-0-0,13-0-0,33-1-0,nan-0-0,nan-0-0,nan-0-0
57,57,58,GBR,469,,,LUCY KENYON,PARKSTONE YACHT CLUB,U23,282.0,418.0,37-1-0,31-1-0,17-0-0,27-0-0,11-0-0,18-0-0,27-0-0,25-0-0,17-0-0,21-0-0,8-0-0,32-1-0,24-0-0,19-0-0,31-0-0,36-1-0,8-0-0,7-0-0,15-0-0,7-0-0,nan-0-0,nan-0-0,nan-0-0
58,58,59,ESP,354,,,BARBARA WINAU ORDINAS,CN S’ARENAL,U23,295.0,457.0,17-0-0,21-0-0,15-0-0,17-0-0,21-0-0,48-1-BFD,36-0-0,31-0-0,33-0-0,41-1-0,48-1-UFD,13-0-0,10-0-0,21-0-0,3-0-0,22-0-0,7-0-0,14-0-0,25-1-0,14-0-0,nan-0-0,nan-0-0,nan-0-0
59,59,60,JPN,470,,,YUKI SUNAGA,,OPEN,305.0,443.0,27-0-0,17-0-0,27-0-0,23-0-0,19-0-0,26-0-0,30-1-0,30-0-0,28-0-0,33-1-0,15-0-0,7-0-0,48-1-DSQ,13-0-0,9-0-0,2-0-0,21-0-0,27-1-0,19-0-0,22-0-0,nan-0-0,nan-0-0,nan-0-0
60,60,61,CZE,11,,BETONOVY PES,KATERINA ALTMANNOVA,TJ LOKOMOTIVA PLZEN,U23,306.0,475.0,35-1-0,19-0-0,19-0-0,49-1-BFD,31-0-0,21-0-0,21-0-0,21-0-0,20-0-0,23-0-0,7-0-0,14-0-0,48-1-DNC,37-1-0,29-0-0,11-0-0,33-0-0,5-0-0,24-0-0,8-0-0,nan-0-0,nan-0-0,nan-0-0
61,61,62,BRA,16,,MANZA / MARINHA DO BRASIL,GIOVANNA PRADA,BL3,OPEN,308.0,443.0,35-1-0,25-0-0,31-0-0,33-0-0,25-0-0,34-1-0,33-0-0,27-0-0,24-0-0,28-0-0,10-0-0,48-1-DNC,11-0-0,15-0-0,13-0-0,14-0-0,18-1-0,8-0-0,9-0-0,2-0-0,nan-0-0,nan-0-0,nan-0-0
62,62,63,CHN,826,,,YU CHEN,SICHUAN QIONGHAI WATERSPORTS SCHOOL,U23,327.0,455.0,23-0-0,37-1-0,49-1-BFD,37-0-0,33-0-0,33-0-0,34-0-0,28-0-0,34-0-0,30-0-0,23-1-0,10-0-0,15-0-0,3-0-0,11-0-0,9-0-0,19-1-0,4-0-0,11-0-0,12-0-0,nan-0-0,nan-0-0,nan-0-0
63,63,64,GER,1247,,"VEREIN SEGLERHAUS AM WANNSEE, PATRIK, SURFLINE KIEL",SOPHIA  MEYER,VSAW,U23,338.0,457.0,35-1-0,31-0-0,35-0-0,31-0-0,33-0-0,29-0-0,37-1-0,24-0-0,25-0-0,27-0-0,21-0-0,12-0-0,6-0-0,21-0-0,25-1-0,16-0-0,11-0-0,22-1-0,3-0-0,13-0-0,nan-0-0,nan-0-0,nan-0-0
64,64,65,JPN,94,,HOMARE BATTERY CO.,FUJIKO ONISHI,,OPEN,355.0,510.0,39-1-0,19-0-0,33-0-0,25-0-0,19-0-0,48-1-BFD,35-0-0,38-0-0,32-0-0,35-0-0,48-1-UFD,11-0-0,20-1-0,17-0-0,19-0-0,12-0-0,14-0-0,10-0-0,16-0-0,20-0-0,nan-0-0,nan-0-0,nan-0-0
