,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,RANK,COUNTRY,BOAT_NUMBER,BOW,SPONSOR,CREW,CLUB,CATEGORY,NETT,TOTAL,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10F,11F,12F,13F,14F,15F,16F,17F,18F,19F,QF,SM,F
39,39,39,39,40,FRA,77,,ARMéE DE CHAMPIONS - ENGIE,PIERRE  LE COQ,CMVSB,OPEN,308.0,461.0,21-0-0,17-0-0,15-0-0,13-0-0,16-0-0,22-1-0,19-0-0,23-1-0,10-0-0,15-0-0,60-1-RET,18-0-0,28-0-0,21-0-0,27-0-0,41-0-BFD,32-0-0,15-0-0,48-1-0,nan-0-0,nan-0-0,nan-0-0
40,40,40,40,41,FIN,8,,,JAKOB EKLUND,ESF,OPEN,309.2,456.2,19-0-0,7-0-0,13-0-0,11-0-0,24-1-0,11-0-0,1720-0-RDG,11-0-0,23-1-0,40-1-0,40-0-0,60-1-BFD,23-0-0,26-0-0,29-0-0,17-0-0,31-0-0,30-0-0,24-0-0,nan-0-0,nan-0-0,nan-0-0
41,41,41,41,42,TUR,399,,FENERBAHçE DOGUS YELKEN,ONUR CAVIT BIRIZ,FENERBAHCE DOGUS YELKEN,OPEN,342.0,498.0,17-0-0,23-1-0,11-0-0,19-0-0,17-0-0,7-0-0,5-0-0,37-1-0,1-0-0,38-0-0,34-0-0,19-0-0,32-0-0,38-0-0,29-0-0,41-0-BFD,46-1-0,34-0-0,50-1-0,nan-0-0,nan-0-0,nan-0-0
42,42,42,42,43,ESP,95,,"FREERIDE SPORTSWEAR, PROYECTO FER, BECAS PODIUM",JORGE ARANZUEQUE CAMPELLO,CLUB NÁUTICO SANTA POLA,OPEN,343.0,509.0,27-1-0,15-0-0,17-0-0,7-0-0,9-0-0,15-0-0,37-1-0,6-0-0,11-0-0,18-0-0,38-0-0,32-0-0,49-1-0,28-0-0,35-0-0,31-0-0,53-1-0,37-0-0,44-0-0,nan-0-0,nan-0-0,nan-0-0
43,43,43,43,44,CHN,5,,,ZHEN HUANG,CYA,OPEN,370.0,543.0,1-0-0,1-0-0,21-0-0,11-0-0,34-0-0,36-1-0,22-0-0,27-0-0,35-1-0,47-1-0,29-0-0,29-0-0,41-0-0,15-0-0,33-0-0,41-0-BFD,26-0-0,39-0-0,55-1-0,nan-0-0,nan-0-0,nan-0-0
44,44,44,44,45,DEN,291,,,NIKLAS LILLELUND,EWK/ÅWK,OPEN,375.0,549.0,3-0-0,3-0-0,5-0-0,13-0-0,21-0-0,24-1-0,17-0-0,17-0-0,40-1-0,37-0-0,52-0-0,52-0-0,34-0-0,33-0-0,9-0-0,41-0-BFD,56-1-0,38-0-0,54-1-0,nan-0-0,nan-0-0,nan-0-0
45,45,45,45,46,KOR,71,,,TAEHOON LEE,,OPEN,379.0,563.0,17-0-0,7-0-0,11-0-0,7-0-0,45-1-0,18-0-0,34-0-0,41-1-0,22-0-0,43-0-0,48-1-0,50-1-0,21-0-0,45-0-0,33-0-0,41-0-BFD,28-0-0,35-0-0,17-0-0,nan-0-0,nan-0-0,nan-0-0
46,46,46,46,47,ITA,27,,"VAKAROS, BEST WIND",MANOLO MODENA,CIRCOLO SURF TORBOLE,U23,380.0,545.0,19-0-0,7-0-0,9-0-0,17-0-0,23-0-0,30-1-0,14-0-0,21-0-0,30-1-0,55-1-0,50-1-0,35-0-0,44-0-0,48-0-0,15-0-0,21-0-0,44-0-0,44-0-0,19-0-0,nan-0-0,nan-0-0,nan-0-0
47,47,47,47,48,CHN,620,,,QIANFAN JIANG,WSID,U23,383.0,552.0,33-1-0,23-0-0,15-0-0,15-0-0,22-0-0,33-0-0,21-0-0,35-1-0,4-0-0,50-1-0,23-0-0,37-0-0,51-1-0,42-0-0,25-0-0,15-0-0,40-0-0,50-0-0,18-0-0,nan-0-0,nan-0-0,nan-0-0
48,48,48,48,49,HKG,21,,,CHING YIN CHENG,WINDSURFING ASSOCIATION OF HONG KONG CHINA,OPEN,384.0,551.0,11-0-0,15-0-0,13-0-0,9-0-0,28-1-0,18-0-0,35-1-0,16-0-0,26-0-0,39-0-0,53-1-0,51-1-0,38-0-0,22-0-0,23-0-0,13-0-0,45-0-0,45-0-0,51-0-0,nan-0-0,nan-0-0,nan-0-0
49,49,49,49,50,NED,352,,"MARITEAM YACHTING, KREBER, TEAM ALLIANZ",HIDDE VAN DER MEER,KWV FRISIA,U23,388.0,570.0,7-0-0,19-0-0,27-0-0,7-0-0,13-0-0,29-1-0,60-1-RET,24-0-0,21-0-0,42-0-0,45-0-0,46-1-0,35-0-0,37-0-0,27-0-0,13-0-0,42-0-0,47-1-0,29-0-0,nan-0-0,nan-0-0,nan-0-0
50,50,50,50,51,NED,17,,TEAM ALLIANZ,JOOST VINK,ALMERE CENTRAAL,OPEN,390.0,570.0,11-0-0,19-0-0,3-0-0,41-1-RET,32-0-0,13-0-0,35-1-0,14-0-0,14-0-0,52-1-0,41-0-0,47-0-0,19-0-0,52-1-0,17-0-0,29-0-0,52-0-0,46-0-0,33-0-0,nan-0-0,nan-0-0,nan-0-0
51,51,51,51,52,POL,777,,,STANISŁAW  TREPCZYŃSKI,SKŻ ERGO HESTIA SOPOT,U23,423.0,597.0,15-0-0,7-0-0,13-0-0,15-0-0,30-1-0,30-1-0,20-0-0,26-0-0,30-0-0,54-1-0,31-0-0,60-1-BFD,37-0-0,43-0-0,31-0-0,27-0-0,49-0-0,40-0-0,39-0-0,nan-0-0,nan-0-0,nan-0-0
52,52,52,52,53,FRA,53,,MELTONE ADVISORY/LECLERC COMBOIRE/ FORWARD WIP,CLÉMENT BOURGEOIS,CLUB VOILE MAYENNE,OPEN,424.0,605.0,27-1-0,3-0-0,5-0-0,21-0-0,10-0-0,21-0-0,23-0-0,9-0-0,34-1-0,53-0-0,54-0-0,60-1-BFD,40-0-0,60-1-DNC,21-0-0,19-0-0,47-0-0,49-0-0,49-0-0,nan-0-0,nan-0-0,nan-0-0
53,53,53,53,54,GRE,8,,DIN DIN,VYRON KOKKALANIS,NAUTICAL ATHLETIC CLUB VARI VARKIZA,OPEN,428.0,611.0,9-0-0,13-0-0,9-0-0,17-0-0,19-0-0,23-0-0,43-1-0,26-1-RDG,19-0-0,58-1-0,56-1-0,44-0-0,52-0-0,39-0-0,21-0-0,15-0-0,51-0-0,52-0-0,45-0-0,nan-0-0,nan-0-0,nan-0-0
54,54,54,54,55,FRA,4,,BANQUE POPULAIRE / SOöRUZ,TITOUAN  LE BOSQ,CENTRE NAUTIQUE FOUESNANT CORNOUAILLE,OPEN,432.0,628.0,13-0-0,37-1-0,1-0-0,15-0-0,28-0-0,33-0-0,21-0-0,45-1-0,26-0-0,14-0-0,60-1-BFD,39-0-0,53-0-0,31-0-0,37-0-0,29-0-0,54-1-0,51-0-0,41-0-0,nan-0-0,nan-0-0,nan-0-0
55,55,55,55,56,SUI,63,,,ELIA COLOMBO,CIRCOLO VELICO LAGO DI LUGANO,OPEN,432.4,628.4,1-0-0,5-0-0,7-0-0,3-0-0,14-0-0,11-0-0,60-1-BFD,16-1-0,4-0-0,19-0-0,5320-0-RDG,5320-0-RDG,60-1-DNC,60-1-DNC,41-0-DNC,41-0-DNC,60-0-DNC,60-0-DNC,60-0-DNC,nan-0-0,nan-0-0,nan-0-0
56,56,56,56,57,FRA,312,,,FABIEN PIANAZZA,CN ANGOULINS,OPEN,441.0,621.0,21-0-0,19-0-0,15-0-0,17-0-0,33-1-0,20-0-0,27-0-0,22-0-0,36-1-0,56-1-0,49-0-0,27-0-0,50-0-0,50-0-0,29-0-0,17-0-0,55-1-0,32-0-0,46-0-0,nan-0-0,nan-0-0,nan-0-0
57,57,57,57,58,GBR,18,,,DUNCAN MONAGHAN,NOTTINGHAMSHIRE COUNTY SAILING CLUB,U23,448.0,638.0,23-0-0,13-0-0,19-0-0,9-0-0,26-1-0,25-0-0,16-0-0,50-1-0,17-0-0,49-0-0,47-0-0,60-1-BFD,47-0-0,4-0-0,37-0-0,41-0-BFD,48-0-0,54-1-0,53-0-0,nan-0-0,nan-0-0,nan-0-0
58,58,58,58,59,THA,11,,LADYBOARD,WILL MCMILLAN,WSC,U23,537.0,761.0,13-0-0,11-0-0,17-0-0,41-0-BFD,4-0-0,26-0-0,44-1-0,8-0-0,60-1-DNC,57-0-0,55-0-0,48-0-0,55-0-0,60-1-DNC,41-0-DNC,41-0-DNC,60-1-DNC,60-0-DNC,60-0-DNC,nan-0-0,nan-0-0,nan-0-0
59,59,59,59,60,NOR,252,,FOILVIKINGS,ENDRE FUNNEMARK FUNNEMARK,,OPEN,181.0,272.0,25-0-0,21-0-0,23-0-0,41-1-BFD,31-1-0,31-0-0,18-0-0,24-0-0,13-0-0,4-0-0,2-0-0,6-0-0,1-0-0,5-0-0,11-1-0,5-0-0,8-1-0,2-0-0,1-0-0,nan-0-0,nan-0-0,nan-0-0
60,60,60,60,61,ITA,155,,,LEONARDO TOMASINI,CIRCOLO SURF TORBOLE,U23,209.25,337.25,7-0-0,17-0-0,29-0-0,11-0-0,30-0-0,38-1-0,36-0-0,31-0-0,40-1-0,425-0-RDG,3-0-0,8-0-0,1-0-0,5-0-0,5-0-0,7-0-0,15-0-0,28-1-0,22-1-0,nan-0-0,nan-0-0,nan-0-0
61,61,61,61,62,CHN,381,,,HAO CHEN,,OPEN,213.0,378.0,27-0-0,35-1-0,25-0-0,23-0-0,22-0-0,25-0-0,28-0-0,28-0-0,43-1-0,1-0-0,1-0-0,1-0-0,1-0-0,5-0-0,27-1-0,19-0-0,3-0-0,60-1-DNC,4-0-0,nan-0-0,nan-0-0,nan-0-0
62,62,62,62,63,JPN,11,,TOYOTA MOTOR EAST JAPAN,MAKOTO TOMIZAWA,,OPEN,213.0,341.0,7-0-0,31-0-0,21-0-0,19-0-0,33-1-0,23-0-0,29-0-0,43-1-0,15-0-0,7-0-0,7-0-0,3-0-0,5-0-0,19-1-0,11-0-0,33-1-0,11-0-0,9-0-0,15-0-0,nan-0-0,nan-0-0,nan-0-0
63,63,63,63,64,ITA,286,,YOUNG AZZURRA,FEDERICO ALAN PILLONI,,U23,217.0,371.0,13-0-0,11-0-0,9-0-0,15-0-0,39-1-0,21-0-0,24-0-0,60-0-DNE,32-1-0,11-0-0,6-0-0,21-0-0,3-0-0,23-1-0,3-0-0,1-0-0,6-0-0,13-0-0,60-1-DNC,nan-0-0,nan-0-0,nan-0-0
