,RANK,NAT,SAILNO,HELMNAME,HELMID,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,F4,M/F5,TOTAL,NETT
54,55TH,SWE,222506,LUDVIG LINDQVIST,SWELL9,33.0-0-0-0-0,8.0-0-0,20.0-0-0,52.0-1-BFD,16.0-0-0,8.0-0-0,13.0-0-0,24.0-0-0,5.0-0-0,10.0-0-0,189.0-0-0,137.0,
55,56TH,NOR,224254,THEODOR MIDDELTHON,NORTM11,26.0-0-0-0-0,19.0-0-0,52.0-1-DSQ,21.0-0-0,15.0-0-0,31.0-0-0,8.0-0-0,5.0-0-0,10.0-0-0,3.0-0-0,190.0-0-0,138.0,
56,57TH,ITA,221118,DIMITRI PERONI,ITADP40,14.0-0-0-0-0,35.0-0-0,21.0-0-0,52.0-1-BFD,3.0-0-0,26.0-0-0,4.0-0-0,8.0-0-0,9.0-0-0,19.0-0-0,191.0-0-0,139.0,
57,58TH,GER,223181,JULIAN HOFFMANN,GERJH64,17.0-0-0-0-0,25.0-0-0,33.0-0-0,52.0-1-BFD,26.0-0-0,29.0-0-0,2.0-0-0,3.0-0-0,4.0-0-0,2.0-0-0,193.0-0-0,141.0,
58,59TH,FIN,224484,NOOA LAUKKANEN,FINNL2,38.0-1-0-0-0,11.0-0-0,8.0-0-0,14.0-0-0,29.0-0-0,28.0-0-0,11.0-0-0,7.0-0-0,23.0-0-0,12.0-0-0,181.0-0-0,143.0,
59,60TH,GBR,219895,JAMES PERCIVAL,COOKE,GBRJP113-0-0-0-0,37.0-1-0,24.0-0-0,28.0-0-0,11.0-0-0,28.0-0-0,21.0-0-0,18.0-0-0,6.0-0-0,6.0-0-0,15.0-0-0,194.0,157.0
60,61ST,ECU,197116,MATIAS DYCK,ECUMD2,23.0-0-0-0-0,20.0-0-0,33.0-0-0,31.0-0-0,22.0-0-0,16.0-0-0,6.0-0-0,49.0-1-0,3.0-0-0,5.0-0-0,208.0-0-0,159.0,
61,62ND,THA,213137,ARTHIT MIKHAIL ROMANYK,THAAR1,11.0-0-0-0-0,35.0-1-0,23.0-0-0,8.0-0-0,21.0-0-0,30.0-0-0,10.0-0-0,23.0-0-0,14.0-0-0,21.0-0-0,196.0-0-0,161.0,
62,63RD,FRA,203855,ALEXANDRE BOITE,FRAAB50,18.0-0-0-0-0,23.0-0-0,16.0-0-0,24.0-0-0,14.0-0-0,13.0-0-0,20.0-0-0,16.0-0-0,31.0-0-0,43.0-1-0,218.0-0-0,175.0,
63,64TH,GRE,210600,ANASTASIOS PANAGIOTIDIS,GREAP37,26.0-0-0-0-0,26.0-0-0,26.0-0-0,25.0-0-0,2.0-0-0,13.0-0-0,26.0-0-0,39.0-1-0,18.0-0-0,14.0-0-0,215.0-0-0,176.0,
64,65TH,DEN,218174,NIKOLAJ BORCH,DENNB11,22.0-0-0-0-0,21.0-0-0,38.0-0-0,23.0-0-0,33.0-0-0,12.0-0-0,5.0-0-0,12.0-0-0,39.0-1-0,22.0-0-0,227.0-0-0,188.0,
65,66TH,JPN,204996,YOSHIHIRO SUZUKI,JPNYS33,22.0-0-0-0-0,23.0-0-0,24.0-0-0,19.0-0-0,20.0-0-0,43.0-1-0,14.0-0-0,18.0-0-0,19.0-0-0,29.0-0-0,231.0-0-0,188.0,
66,67TH,GER,221387,JUSTIN BARTH,GERJB83,28.0-0-0-0-0,23.0-0-0,44.0-1-0,22.0-0-0,24.0-0-10%,30.0-0-0,3.0-0-0,41.0-0-0,11.0-0-0,7.0-0-0,233.0-0-0,189.0,
67,68TH,GER,211217,TIM,FELIPE CONRADI,GERTC4-0-0-0-0,27.0-0-0,12.0-0-0,31.0-0-0,25.0-0-0,35.0-0-0,42.0-1-0,12.0-0-0,31.0-0-0,12.0-0-0,4.0-0-0,231.0,189.0
68,69TH,POR,217531,SANTIAGO SAMPAIO,PORSS1,11.0-0-0-0-0,25.0-0-0,31.0-0-0,32.0-0-0,15.0-0-0,24.0-0-0,42.0-1-0,15.0-0-0,26.0-0-0,11.0-0-0,232.0-0-0,190.0,
69,70TH,USA,218111,CHAPMAN PETERSEN,USACP127,30.0-0-0-0-0,27.0-0-0,19.0-0-0,20.0-0-0,3.0-0-0,25.0-0-0,37.0-0-0,10.0-0-0,21.0-0-0,42.0-1-0,234.0-0-0,192.0,
70,71ST,CHN,211513,NING ZHAO,CHNNZ1,35.0-0-0-0-0,32.0-0-0,29.0-0-0,23.0-0-0,41.0-1-0,6.0-0-0,29.0-0-0,17.0-0-0,8.0-0-0,13.0-0-0,233.0-0-0,192.0,
71,72ND,GBR,221582,FINLEY DICKINSON,GBRFD18,32.0-1-0-0-0,10.0-0-0,21.0-0-0,17.0-0-0,29.0-0-0,32.0-0-0,19.0-0-0,25.0-0-0,22.0-0-0,20.0-0-0,227.0-0-0,195.0,
72,73RD,ESA,210211,ENRIQUE ARATHOON,ESAEA1,16.0-0-0-0-0,12.0-0-0,29.0-0-0,52.0-1-BFD,31.0-0-0,21.0-0-0,17.0-0-0,21.0-0-0,29.0-0-0,23.0-0-0,251.0-0-0,199.0,
73,74TH,BRA,171171,BRUNO FONTES,BRAFB1,32.0-0-0-0-0,36.0-1-0,22.0-0-0,13.0-0-0,27.0-0-0,14.0-0-0,21.0-0-0,11.0-0-0,27.0-0-0,33.0-0-0,236.0-0-0,200.0,
74,75TH,CRO,222212,BRUNO GASPIC,CROBG3,20.0-0-0-0-0,19.0-0-0,22.0-0-0,13.0-0-0,52.0-1-BFD,21.0-0-0,31.0-0-0,19.0-0-0,25.0-0-0,31.0-0-0,253.0-0-0,201.0,
75,76TH,GER,191899,PHILIP WALKENBACH,GERPW19,8.0-0-0-0-0,31.0-0-0,30.0-0-0,44.0-1-0,33.0-0-0,35.0-0-0,38.0-0-0,9.0-0-0,1.0-0-0,18.0-0-0,247.0-0-0,203.0,
76,77TH,CAN,217218,MICHAEL LEIGH,CANML1,27.0-0-0-0-0,27.0-0-0,20.0-0-0,27.0-0-0,17.0-0-0,15.0-0-0,25.0-0-0,38.0-1-0,20.0-0-0,25.0-0-0,241.0-0-0,203.0,
77,78TH,ITA,219281,GIACOMO MUSONE,ITAGM123,34.0-0-0-0-0,13.0-0-0,25.0-0-0,52.0-1-BFD,29.0-0-0,35.0-0-0,15.0-0-0,26.0-0-0,17.0-0-0,16.0-0-0,262.0-0-0,210.0,
