Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,"Yann Rocherieux, Gabriel Skoczek",,49er,35.0,G,27,,268,227,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Fritiof Hedström, Victor Vasternas",,49er,41.0,G,18,,220,179,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Ruggero Tita, Pietro Zucchetti",,49er,34.0,G,15,,208,173,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Erik Heil, Thomas Ploessel",,49er,22.0,G,10,,191,157,Semaine Olympique Francaise De Voile 2016,Race 12 - Medal,0
,,"Fynn Sterritt, James Peters",,49er,6.0,G,4,,126,106,Semaine Olympique Francaise De Voile 2016,Race 12 - Medal,0
,,"Alain Sign, Dylan Fletcher",,49er,2.0,G,5,,143,111,Semaine Olympique Francaise De Voile 2016,Race 12 - Medal,0
,,"Blair Tuke, Peter Burling",,49er,8.0,G,1,,80,52,Semaine Olympique Francaise De Voile 2016,Race 12 - Medal,0
,,"Tom Pelsmaekers, Yannick Lefebvre",,49er,18.0,G,9,,167,147,Semaine Olympique Francaise De Voile 2016,Race 12 - Medal,0
,,"Nico Delle - Karth, Nikolaus Resch",,49er,12.0,G,7,,165,124,Semaine Olympique Francaise De Voile 2016,Race 12 - Medal,0
,,"Christian Lubeck, Jonas Warrer",,49er,4.0,G,2,,139,98,Semaine Olympique Francaise De Voile 2016,Race 12 - Medal,0
,,"William Phillips, Sam Phillips",,49er,10.0,G,3,,143,102,Semaine Olympique Francaise De Voile 2016,Race 12 - Medal,0
,,"Stuart Bithell, John Pink",,49er,14.0,G,6,,145,123,Semaine Olympique Francaise De Voile 2016,Race 12 - Medal,0
,,"Petar Cupac, Pavle Kostov",,49er,16.0,G,8,,159,132,Semaine Olympique Francaise De Voile 2016,Race 12 - Medal,0
,,"Jack Hawkins, Christopher Thomas",,49er,27.0,G,38,,338,297,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Benjamin Bildstein, David Hussl",,49er,28.0,G,26,,264,223,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Lewis Brake, David Gilmour",,49er,16.0,G,21,,247,207,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Klaus Lange, Yago Lange",,49er,12.0,G,14,,201,160,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"William Phillips, Sam Phillips",,49er,2.0,G,3,,143,102,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Nico Delle - Karth, Nikolaus Resch",,49er,5.0,G,7,,165,124,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Tom Siganto, Joel Turner",,49er,37.0,G,36,,310,269,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Petar Cupac, Pavle Kostov",,49er,26.0,G,8,,159,132,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Yann Rocherieux, Gabriel Skoczek",,49er,25.0,G,27,,268,227,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Noe Delpech, Julien D'Ortoli",,49er,31.0,G,22,,251,210,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Andrea Tesei, Stefano Cherin",,49er,38.0,G,16,,217,176,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Iago Lopez Marra, Diego Botin le Chever",,49er,34.0,G,17,,211,177,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Stuart Bithell, John Pink",,49er,10.0,G,6,,145,123,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Gubreal Birgas, Murci Siffeutte Grual",,49er,40.0,G,13,,193,153,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Erik Heil, Thomas Ploessel",,49er,22.0,G,10,,191,157,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Blair Tuke, Peter Burling",,49er,1.0,G,1,,80,52,Semaine Olympique Francaise De Voile 2016,Race 04,0
