Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Maria ERDI,,Ilca 6,6.0,MR,1,,124.0,75,World Championship 2023,Medal Race,0
,,Charlotte ROSE,,Ilca 6,18.0,MR,5,,135.0,96,World Championship 2023,Medal Race,0
,,Vasileia KARACHALIOU,,Ilca 6,8.0,MR,8,,170.0,114,World Championship 2023,Medal Race,0
,,Josefin OLSSON,,Ilca 6,2.0,MR,7,,161.0,105,World Championship 2023,Medal Race,0
,,Emma PLASSCHAERT,,Ilca 6,4.0,MR,6,,129.0,98,World Championship 2023,Medal Race,0
,,Sandra LULIC,,Ilca 6,17.0,G,41,,313.0,263,World Championship 2023,Race 7 Gold,0
,,Charlotte ROSE,,Ilca 6,5.0,G,5,,135.0,96,World Championship 2023,Race 7 Gold,0
,,Matilda TALLURI,,Ilca 6,45.0,G,42,,326.0,278,World Championship 2023,Race 7 Gold,0
,,Casey IMENEO,,Ilca 6,36.0,G,16,,182.0,146,World Championship 2023,Race 7 Gold,1
,,Wiktoria GOLEBIOWSKA,,Ilca 6,39.0,G,40,,310.0,254,World Championship 2023,Race 7 Gold,0
,,Sarah DOUGLAS,,Ilca 6,10.0,G,24,,233.0,177,World Championship 2023,Race 7 Gold,0
,,Josefin OLSSON,,Ilca 6,1.0,G,7,,161.0,105,World Championship 2023,Race 7 Gold,0
,,NORTON Stephanie Louise,,Ilca 6,53.0,G,34,,282.0,229,World Championship 2023,Race 7 Gold,1
,,Elyse AINSWORTH,,Ilca 6,20.0,G,31,,248.0,202,World Championship 2023,Race 7 Gold,0
,,Carolina ALBANO,,Ilca 6,21.0,G,9,,150.0,126,World Championship 2023,Race 7 Gold,0
,,Hannah SNELLGROVE,,Ilca 6,3.0,G,11,,164.0,123,World Championship 2023,Race 7 Gold,0
,,Anna MUNCH,,Ilca 6,4.0,G,12,,162.0,125,World Championship 2023,Race 7 Gold,0
,,Monika MIKKOLA,,Ilca 6,32.0,G,25,,239.0,183,World Championship 2023,Race 7 Gold,0
,,Matilda NICHOLLS,,Ilca 6,46.0,G,36,,290.0,234,World Championship 2023,Race 7 Gold,0
,,Vasileia KARACHALIOU,,Ilca 6,12.0,G,8,,170.0,114,World Championship 2023,Race 7 Gold,0
