ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,ROGER TORRES,3,Ilca 6,6,0,P,38,,126,88,Central and South American Championship 2023,Q3
,,BENJAMIN GALVAN,3,Ilca 6,22,0,P,39,,123,94,Central and South American Championship 2023,Q3
,,TOMAS BODETTO,3,Ilca 6,26,0,P,40,,127,101,Central and South American Championship 2023,Q3
,,MANUEL CADARSO,3,Ilca 6,7,0,P,41,,149,115,Central and South American Championship 2023,Q3
,,ANDRES FONTAN,3,Ilca 6,12,0,P,42,,138,116,Central and South American Championship 2023,Q3
,,SOFIA ALEJANDRA D'AGOSTINO,3,Ilca 6,DSQ,0,P,43,DSQ,156,118,Central and South American Championship 2023,Q3
,,ANA CAROLINA TONNIGES ROTH,3,Ilca 6,UFD,0,P,44,UFD,161,123,Central and South American Championship 2023,Q3
,,"EDUARDO ""EDY"" BRANZ",3,Ilca 6,24,0,P,45,,165,127,Central and South American Championship 2023,Q3
,,HECTOR RENE DAVID,3,Ilca 6,30,0,P,46,,167,129,Central and South American Championship 2023,Q3
,,DANTE VOLKER,3,Ilca 6,26,0,P,47,,155,129,Central and South American Championship 2023,Q3
,,FELIPE BLAS ALFARO,3,Ilca 6,25,0,P,48,,182,144,Central and South American Championship 2023,Q3
,,BAUTISTA BECERRA,3,Ilca 6,18,0,P,49,,184,146,Central and South American Championship 2023,Q3
,,MATTEO WALLAU,3,Ilca 6,30,0,P,50,,178,148,Central and South American Championship 2023,Q3
,,VERONICA JORDANA,3,Ilca 6,21,0,P,51,,187,149,Central and South American Championship 2023,Q3
,,AGUSTIN SAGUIR,3,Ilca 6,UFD,0,P,52,UFD,187,149,Central and South American Championship 2023,Q3
,,FEDERICO ISEM,3,Ilca 6,24,0,P,53,,188,160,Central and South American Championship 2023,Q3
,,IGNACIO FRIAS,3,Ilca 6,15,0,P,54,,204,166,Central and South American Championship 2023,Q3
,,LIHUEL GOMEZ LACCHINI,3,Ilca 6,23,0,P,55,,212,174,Central and South American Championship 2023,Q3
,,JUAN BARTOLOME CHA VACCARI,3,Ilca 6,19,0,P,56,,210,176,Central and South American Championship 2023,Q3
,,JOSE LUIZ PEREZ FRAQUELLI,3,Ilca 6,20,0,P,57,,220,182,Central and South American Championship 2023,Q3
,,MARLENE RIQUELME ANTONETTI,3,Ilca 6,28,0,P,58,,220,182,Central and South American Championship 2023,Q3
,,IGNACIO GARCIA CANTELLI,3,Ilca 6,29,0,P,59,,222,184,Central and South American Championship 2023,Q3
,,TOMAS ELIAS,3,Ilca 6,29,0,P,60,,228,190,Central and South American Championship 2023,Q3
,,MARIA LAURA CUETO,3,Ilca 6,UFD,0,P,61,UFD,230,192,Central and South American Championship 2023,Q3
,,LISBETZY ROJO SALAZAR,3,Ilca 6,28,0,P,62,,228,195,Central and South American Championship 2023,Q3
,,SOFIA GIOVINAZZO VON THUMEN,3,Ilca 6,25,0,P,63,,229,199,Central and South American Championship 2023,Q3
,,BALTHAZAR REMOTTI,3,Ilca 6,21,0,P,64,,245,207,Central and South American Championship 2023,Q3
,,GABRIEL TORRE,3,Ilca 6,18,0,P,65,,246,208,Central and South American Championship 2023,Q3
,,INES ANTONI,3,Ilca 6,27,0,P,66,,248,211,Central and South American Championship 2023,Q3
,,FACUNDO ALFARO JAIME,3,Ilca 6,UFD,0,P,67,UFD,254,216,Central and South American Championship 2023,Q3
,,MARTIN IGLESIAS,3,Ilca 6,DNC,0,P,68,DNC,287,249,Central and South American Championship 2023,Q3
,,SABRINA FERRARA,3,Ilca 6,31,0,P,69,,287,249,Central and South American Championship 2023,Q3
,,MARCELO ADOLFO GONZALEZ PONDAL,3,Ilca 6,DSQ,0,P,70,DSQ,294,256,Central and South American Championship 2023,Q3
,,JUAN CRUZ PALOMBO,3,Ilca 6,31,0,P,71,,306,268,Central and South American Championship 2023,Q3
,,MARCELO FREZZA,3,Ilca 6,DNC,0,P,72,DNC,332,294,Central and South American Championship 2023,Q3
,,AGUSTINA CANCLINI,3,Ilca 6,DNC,0,P,73,DNC,342,304,Central and South American Championship 2023,Q3
,,VICENTE FRANCISCO CURZI GHDINI,3,Ilca 6,DNC,0,P,74,DNC,342,304,Central and South American Championship 2023,Q3
,,ERICK MARCONDES DE M.CARPES,3,Ilca 6,1,0,O,1,,24,15,Central and South American Championship 2023,Q4
,,LUCIA FALASCA,3,Ilca 6,1,0,O,2,,34,22,Central and South American Championship 2023,Q4
,,GABRIELLA MARQUES KIDD,3,Ilca 6,2,0,O,3,,52,33,Central and South American Championship 2023,Q4
,,DOLORES MOREIRA FRASCHINI,3,Ilca 6,14,0,O,4,,52,37,Central and South American Championship 2023,Q4
,,FLORENCIA CHIARELLA SALAS,3,Ilca 6,17,0,O,5,,61,44,Central and South American Championship 2023,Q4
,,STEFANO ANDRE PENDOLA DE LA TORRE,3,Ilca 6,2,0,O,6,,69,54,Central and South American Championship 2023,Q4
,,THOMAS VIVES POTTHOFF,3,Ilca 6,3,0,O,7,,86,60,Central and South American Championship 2023,Q4
,,LUCIANA ANDREA CARDOZO,3,Ilca 6,DNC,0,O,8,DNC,100,62,Central and South American Championship 2023,Q4
,,JULIAN MARIA DUARTE ARGERICH,3,Ilca 6,9,0,O,9,,80,63,Central and South American Championship 2023,Q4
,,FRANCISCO MAROTTA,3,Ilca 6,5,0,O,10,,105,78,Central and South American Championship 2023,Q4
,,JOAQUIN GALVAN,3,Ilca 6,8,0,O,11,,106,86,Central and South American Championship 2023,Q4
,,SOPHIE ZIMMERMANN VEJA,3,Ilca 6,14,0,O,12,,105,87,Central and South American Championship 2023,Q4
,,ANTONIO RIBEIRO MACHADO,3,Ilca 6,9,0,O,13,,120,89,Central and South American Championship 2023,Q4
,,CATERINA ISABEL ROMERO AGUIRRE,3,Ilca 6,13,0,O,14,,115,90,Central and South American Championship 2023,Q4
,,AGUSTIN GONZALEZ VILLALBA,3,Ilca 6,18,0,O,15,,122,90,Central and South American Championship 2023,Q4
,,FRANCISCO GOMEZ,3,Ilca 6,10,0,O,16,,130,92,Central and South American Championship 2023,Q4
