Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
DEWEY MAURA,7,Ilca 6,37.0,G,46,0,404,338,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
TOMBE YUMIKO,7,Ilca 6,54.0,G,47,0,419,353,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
HAJI-MICHAEL ANYA,7,Ilca 6,48.0,G,48,0,423,364,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
MONCADA SANCHEZ ANA,7,Ilca 6,66.0,G,49,DSQ,440,374,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
VITTECOQ CORALIE,7,Ilca 6,50.0,G,50,0,435,379,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
CALDECOAT PAIGE,7,Ilca 6,55.0,G,51,0,448,382,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
PENRUDDOCKE ADRIANA,7,Ilca 6,57.0,G,52,0,443,386,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",1
RADULIC MAILYS,7,Ilca 6,41.0,G,53,0,446,388,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
STANNAGE SYLVIE,7,Ilca 6,51.0,G,54,0,452,395,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
JUNG HYEWON,7,Ilca 6,32.0,G,55,0,454,396,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
LUBAC THEA,7,Ilca 6,28.0,G,56,0,472,414,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
JORDAN AGUSTINA,7,Ilca 6,40.0,G,57,0,479,422,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
PARK JEONGBIN,7,Ilca 6,36.0,G,58,0,497,437,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
MANSY KHOULOUD,7,Ilca 6,56.0,G,59,0,512,451,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
ROIHU KATARIINA,7,Ilca 6,58.0,G,60,0,531,469,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
NAUMENKO SOFIIA,7,Ilca 6,61.0,G,61,0,558,496,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
RAAMAT ELIISE,7,Ilca 6,59.0,G,62,0,565,504,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
NORSELL MICHALA,7,Ilca 6,66.0,G,63,DNF,600,534,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
VEERAVAMSHAM VAISHNAVI,7,Ilca 6,60.0,G,64,0,616,550,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
VLACHOU MARIA,7,Ilca 6,66.0,G,65,DNF,660,594,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
BARWINSKA AGATA,7,Ilca 6,12.0,G,1,0,105,86,Semaine Olympique Francaise De Voile 2022,"11 M*
2",0
BARRUE MARIE,7,Ilca 6,16.0,G,2,0,139,111,Semaine Olympique Francaise De Voile 2022,"11 M*
2",0
